S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
*1,GOBIND SAGAR(BHAKRA),512.06,470.52,6.229,1.192,12-04-2018,19,14,25,676,1200
*2,PONG DAM(BEAS),423.67,394.16,6.157,0.772,12-04-2018,13,17,25,-,360
*3,THEIN DAM,527.91,495.81,2.344,0.462,12-04-2018,20,50,36,348,600
*4,MAHI BAJAJ SAGAR,280.75,270.15,1.711,0.611,12-04-2018,36,36,27,63,140
5,JHAKAM,359.5,347.15,0.132,0.04,12-04-2018,30,29,17,28,-
*6,RANA PRATAP SAGAR,352.81,347.72,1.436,0.54,12-04-2018,38,30,31,229,172
7,TENUGHAT,269.14,258.27,0.821,0.352,12-04-2018,43,47,36,-,-
8,MAITHON,146.3,144.22,0.471,0.331,12-04-2018,70,80,49,342,-
*12,HIRAKUD,192.02,187.34,5.378,2.231,12-04-2018,41,43,40,153,307
*13,BALIMELA,462.08,444.0,2.676,0.379,12-04-2018,14,45,30,-,360
14,SALANADI,82.3,70.47,0.558,0.227,12-04-2018,41,30,20,42,-
*15,RENGALI,123.5,119.16,3.432,2.033,12-04-2018,59,75,37,3,200
*16,MACHKUND(JALAPUT),838.16,832.7,0.893,0.493,12-04-2018,55,33,48,-,115
*17,UPPER KOLAB,858.0,850.36,0.935,0.304,12-04-2018,33,51,34,89,320
*18,UPPER INDRAVATI,642.0,632.25,1.456,0.52,12-04-2018,36,46,36,128,600
19,MAYURAKSHI,121.31,115.95,0.48,0.243,12-04-2018,51,27,24,227,-
20,KANGSABATI,134.14,127.86,0.914,0.422,12-04-2018,46,31,20,341,-
21,GUMTI,93.55,90.35,0.312,0.172,10-04-2018,55,42,18,-,15
*22,UKAI,105.16,92.55,6.615,1.574,12-04-2018,24,52,40,348,300
23,SABARMATI(DHAROI),189.59,181.07,0.735,0.134,12-04-2018,18,32,23,95,1
*24,KADANA,127.7,122.43,1.472,0.707,12-04-2018,48,57,53,200,120
25,SHETRUNJI,55.53,50.07,0.3,0.052,12-04-2018,17,19,21,36,-
26,BHADAR,107.89,103.09,0.188,0.043,12-04-2018,23,3,21,27,-
27,DAMANGANGA,79.86,73.5,0.502,0.226,12-04-2018,45,33,46,51,1
28,DANTIWADA,184.1,174.57,0.399,0.119,12-04-2018,30,1,5,45,-
29,PANAM,127.41,123.15,0.697,0.307,12-04-2018,44,40,44,36,2
*30,SARDAR SAROVAR,138.68,105.1,5.76,0.0,12-04-2018,0,21,15,2120,1450
31,KARJAN,115.25,106.37,0.523,0.288,12-04-2018,55,40,51,51,3
32,JAYAKWADI(PAITHAN),463.91,460.62,2.171,1.066,11-04-2018,49,37,20,227,-
*33,KOYANA,657.9,646.07,2.652,1.581,11-04-2018,60,31,48,-,1920
34,BHIMA(UJJANI),496.83,493.3,1.517,0.497,09-04-2018,33,15,23,125,12
35,ISAPUR,441.0,425.92,0.965,0.01,11-04-2018,1,21,32,104,-
36,MULA,552.3,543.51,0.609,0.232,11-04-2018,38,34,32,139,-
37,YELDARI,461.77,447.66,0.809,0.0,11-04-2018,0,9,17,78,-
38,GIRNA,398.07,386.93,0.524,0.109,11-04-2018,21,34,18,79,-
39,KHADAKVASLA,582.47,581.44,0.056,0.042,11-04-2018,75,88,46,78,8
*40,UPPER VAITARNA,603.5,596.28,0.331,0.124,11-04-2018,37,44,50,-,61
41,UPPER TAPI,214.0,210.48,0.255,0.08,11-04-2018,31,43,48,45,-
*42,PENCH(TOTLADOH),490.0,471.56,1.091,0.13,11-04-2018,12,12,28,127,160
