WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,315.52200000000005,4.181682675670155,ALIYAR,10.4625785,76.9905585
2,315.13199999999995,3.6326945921725815,ALIYAR,10.4625785,76.9905585
3,315.14,3.6458606665641984,ALIYAR,10.4625785,76.9905585
4,313.996,3.4091025211923514,ALIYAR,10.4625785,76.9905585
5,311.5325,2.5965538058485884,ALIYAR,10.4625785,76.9905585
6,311.825,3.3985241895073783,ALIYAR,10.4625785,76.9905585
7,310.82,3.067278924388832,ALIYAR,10.4625785,76.9905585
8,309.34000000000003,3.1857285927502614,ALIYAR,10.4625785,76.9905585
9,308.10333333333335,4.6412749685117,ALIYAR,10.4625785,76.9905585
10,306.86333333333334,4.975704305255015,ALIYAR,10.4625785,76.9905585
11,306.365,4.056751574022394,ALIYAR,10.4625785,76.9905585
12,305.2975,4.915637462900089,ALIYAR,10.4625785,76.9905585
13,304.5,6.337980750996332,ALIYAR,10.4625785,76.9905585
14,304.4066666666667,6.224149205580909,ALIYAR,10.4625785,76.9905585
15,304.34999999999997,6.257579404210553,ALIYAR,10.4625785,76.9905585
16,304.41,6.4732140394089095,ALIYAR,10.4625785,76.9905585
17,304.87,6.305101109419262,ALIYAR,10.4625785,76.9905585
18,306.925,4.402889202936336,ALIYAR,10.4625785,76.9905585
19,307.515,3.7673376983399565,ALIYAR,10.4625785,76.9905585
20,308.02,3.724880311276239,ALIYAR,10.4625785,76.9905585
21,308.7,3.7187721988132987,ALIYAR,10.4625785,76.9905585
22,307.42333333333335,3.3573253243218946,ALIYAR,10.4625785,76.9905585
23,308.6725,3.859329604996201,ALIYAR,10.4625785,76.9905585
24,307.0,3.9610604640676916,ALIYAR,10.4625785,76.9905585
25,307.6033333333333,5.654682425506631,ALIYAR,10.4625785,76.9905585
26,306.76,5.227322450356386,ALIYAR,10.4625785,76.9905585
27,306.71,5.206082980514261,ALIYAR,10.4625785,76.9905585
28,307.7633333333333,5.649870204998809,ALIYAR,10.4625785,76.9905585
29,307.51,8.227117761808625,ALIYAR,10.4625785,76.9905585
30,309.12,8.765838997684893,ALIYAR,10.4625785,76.9905585
31,310.0575,9.4433446581883,ALIYAR,10.4625785,76.9905585
32,310.935,8.963096563130383,ALIYAR,10.4625785,76.9905585
33,313.96,8.05822561113797,ALIYAR,10.4625785,76.9905585
34,314.35,8.40433618239221,ALIYAR,10.4625785,76.9905585
35,314.3375,8.888837100543594,ALIYAR,10.4625785,76.9905585
36,314.0,9.254191842979399,ALIYAR,10.4625785,76.9905585
37,314.2075,9.393513276014826,ALIYAR,10.4625785,76.9905585
38,314.3875,9.586957720431084,ALIYAR,10.4625785,76.9905585
39,315.1825,9.096198381741672,ALIYAR,10.4625785,76.9905585
40,314.855,8.156741587995374,ALIYAR,10.4625785,76.9905585
41,316.42600000000004,6.434852756668181,ALIYAR,10.4625785,76.9905585
42,316.606,6.184454705145832,ALIYAR,10.4625785,76.9905585
43,253.862,139.23688491200883,ALIYAR,10.4625785,76.9905585
44,253.946,139.2931208997774,ALIYAR,10.4625785,76.9905585
45,316.06,6.960617788673654,ALIYAR,10.4625785,76.9905585
46,316.7,6.099795078525182,ALIYAR,10.4625785,76.9905585
47,316.3025,6.815621150465049,ALIYAR,10.4625785,76.9905585
48,316.75,5.9671266116951225,ALIYAR,10.4625785,76.9905585
49,316.265,6.692724905945748,ALIYAR,10.4625785,76.9905585
50,316.455,6.360657722804023,ALIYAR,10.4625785,76.9905585
51,316.62,5.155851045171891,ALIYAR,10.4625785,76.9905585
52,316.204,4.635728637442019,ALIYAR,10.4625785,76.9905585
53,316.75,,ALIYAR,10.4625785,76.9905585
