WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,516.9425,1.9299287551617144,ALMATTI,16.3450459,75.9012249
2,516.65,1.7859637920929021,ALMATTI,16.3450459,75.9012249
3,516.2975,1.6758555029198297,ALMATTI,16.3450459,75.9012249
4,515.9525,1.5021623303313678,ALMATTI,16.3450459,75.9012249
5,515.4566666666666,1.5844662613427212,ALMATTI,16.3450459,75.9012249
6,513.55,,ALMATTI,16.3450459,75.9012249
7,513.47,,ALMATTI,16.3450459,75.9012249
8,513.36,,ALMATTI,16.3450459,75.9012249
9,513.2,,ALMATTI,16.3450459,75.9012249
10,512.825,0.21920310216791172,ALMATTI,16.3450459,75.9012249
11,512.395,0.1484924240492007,ALMATTI,16.3450459,75.9012249
12,512.165,0.04949747468313389,ALMATTI,16.3450459,75.9012249
13,511.28,0.8485281374238289,ALMATTI,16.3450459,75.9012249
14,510.7,0.9899494936611505,ALMATTI,16.3450459,75.9012249
15,510.22,0.8768124086712651,ALMATTI,16.3450459,75.9012249
16,510.06,0.8343860018000907,ALMATTI,16.3450459,75.9012249
17,509.95500000000004,0.8273149339882919,ALMATTI,16.3450459,75.9012249
18,509.5133333333333,0.6140304009846329,ALMATTI,16.3450459,75.9012249
19,509.315,1.0394469683442442,ALMATTI,16.3450459,75.9012249
20,508.75,0.404474968323134,ALMATTI,16.3450459,75.9012249
21,508.5566666666667,0.2685764943797961,ALMATTI,16.3450459,75.9012249
22,508.015,0.021213203435577133,ALMATTI,16.3450459,75.9012249
23,507.81,0.07071067811867082,ALMATTI,16.3450459,75.9012249
24,508.25,0.7495331880577017,ALMATTI,16.3450459,75.9012249
25,507.58,,ALMATTI,16.3450459,75.9012249
26,507.47,,ALMATTI,16.3450459,75.9012249
27,507.37,,ALMATTI,16.3450459,75.9012249
28,508.22,,ALMATTI,16.3450459,75.9012249
29,513.84,4.978031739553329,ALMATTI,16.3450459,75.9012249
30,517.26,0.15556349186105975,ALMATTI,16.3450459,75.9012249
31,518.1800000000001,1.1879393923933241,ALMATTI,16.3450459,75.9012249
32,518.1433333333333,1.2788406207707732,ALMATTI,16.3450459,75.9012249
33,519.4000000000001,0.2828427124745627,ALMATTI,16.3450459,75.9012249
34,518.79,1.1313708498984518,ALMATTI,16.3450459,75.9012249
35,519.52,0.08544003745321403,ALMATTI,16.3450459,75.9012249
36,519.47,0.18384776310849593,ALMATTI,16.3450459,75.9012249
37,519.34,0.3535533905932738,ALMATTI,16.3450459,75.9012249
38,519.36,0.33941125496955565,ALMATTI,16.3450459,75.9012249
39,519.125,0.6717514421272524,ALMATTI,16.3450459,75.9012249
40,519.3933333333333,0.3579571668975542,ALMATTI,16.3450459,75.9012249
41,519.4533333333334,0.25403411844345863,ALMATTI,16.3450459,75.9012249
42,519.31,0.45133136385589845,ALMATTI,16.3450459,75.9012249
43,518.9533333333334,0.7849416114165961,ALMATTI,16.3450459,75.9012249
44,518.8433333333334,1.31058511106044,ALMATTI,16.3450459,75.9012249
45,518.63,1.6800892833417844,ALMATTI,16.3450459,75.9012249
46,518.5066666666667,1.893708882941965,ALMATTI,16.3450459,75.9012249
47,518.3833333333333,2.0043037028687283,ALMATTI,16.3450459,75.9012249
48,518.455,2.0128503835771494,ALMATTI,16.3450459,75.9012249
49,517.1,3.379970414071678,ALMATTI,16.3450459,75.9012249
50,517.5766666666667,2.6298732542336736,ALMATTI,16.3450459,75.9012249
51,517.455,2.0920404712465115,ALMATTI,16.3450459,75.9012249
52,517.2850000000001,2.0815138721613193,ALMATTI,16.3450459,75.9012249
53,518.0,,ALMATTI,16.3450459,75.9012249
