WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,346.0414285714286,1.616296472097341,BARNA DAM,23.0524678,78.0640063
2,345.5311111111111,1.889553151173882,BARNA DAM,23.0524678,78.0640063
3,345.2944444444445,1.9724230727148295,BARNA DAM,23.0524678,78.0640063
4,345.0444444444445,2.0460028782427964,BARNA DAM,23.0524678,78.0640063
5,344.7322222222222,2.097729592784659,BARNA DAM,23.0524678,78.0640063
6,344.4188888888889,2.2895056477569775,BARNA DAM,23.0524678,78.0640063
7,343.8125,2.3608336905181675,BARNA DAM,23.0524678,78.0640063
8,343.8177777777778,2.4100818335576157,BARNA DAM,23.0524678,78.0640063
9,343.21500000000003,2.7939168614279732,BARNA DAM,23.0524678,78.0640063
10,343.05555555555554,2.5727325507673404,BARNA DAM,23.0524678,78.0640063
11,342.9,2.6909690235516304,BARNA DAM,23.0524678,78.0640063
12,343.2475,2.289148809651151,BARNA DAM,23.0524678,78.0640063
13,341.9816666666666,2.9767325487296685,BARNA DAM,23.0524678,78.0640063
14,342.1028571428572,2.7304011566417232,BARNA DAM,23.0524678,78.0640063
15,342.4425,2.728451942035995,BARNA DAM,23.0524678,78.0640063
16,342.3775,2.7674937088585083,BARNA DAM,23.0524678,78.0640063
17,342.31374999999997,2.784153821181592,BARNA DAM,23.0524678,78.0640063
18,342.40333333333336,2.647465769372684,BARNA DAM,23.0524678,78.0640063
19,342.35333333333335,2.637967967963231,BARNA DAM,23.0524678,78.0640063
20,342.2711111111111,2.608703914036848,BARNA DAM,23.0524678,78.0640063
21,341.88222222222225,2.841367530687361,BARNA DAM,23.0524678,78.0640063
22,342.53142857142853,2.721478939666376,BARNA DAM,23.0524678,78.0640063
23,341.92875,2.732332533098517,BARNA DAM,23.0524678,78.0640063
24,341.91375,2.7526243970851967,BARNA DAM,23.0524678,78.0640063
25,341.78000000000003,3.0070773661005625,BARNA DAM,23.0524678,78.0640063
26,341.883,2.745622981320556,BARNA DAM,23.0524678,78.0640063
27,342.0725,2.972088010617634,BARNA DAM,23.0524678,78.0640063
28,344.34714285714284,1.7287733058030328,BARNA DAM,23.0524678,78.0640063
29,344.43,1.9659094587492865,BARNA DAM,23.0524678,78.0640063
30,356.80285714285714,31.855888892681328,BARNA DAM,23.0524678,78.0640063
31,345.29375,1.6076596788055493,BARNA DAM,23.0524678,78.0640063
32,345.56125,1.826029553038903,BARNA DAM,23.0524678,78.0640063
33,345.8328571428571,1.5309660815501829,BARNA DAM,23.0524678,78.0640063
34,346.23777777777775,1.417301818401587,BARNA DAM,23.0524678,78.0640063
35,359.3233333333333,36.193764656360365,BARNA DAM,23.0524678,78.0640063
36,347.09375,1.4315420007809598,BARNA DAM,23.0524678,78.0640063
37,347.4,1.244002756083302,BARNA DAM,23.0524678,78.0640063
38,347.67,1.138189351557991,BARNA DAM,23.0524678,78.0640063
39,347.89875,0.8901434475087753,BARNA DAM,23.0524678,78.0640063
40,347.35249999999996,1.3401785595317508,BARNA DAM,23.0524678,78.0640063
41,347.23555555555555,1.5304746903421116,BARNA DAM,23.0524678,78.0640063
42,347.06111111111113,1.4933975060616365,BARNA DAM,23.0524678,78.0640063
43,347.007,1.3798796243795282,BARNA DAM,23.0524678,78.0640063
44,346.9625,1.5682269332866865,BARNA DAM,23.0524678,78.0640063
45,346.9811111111111,1.4799615235238743,BARNA DAM,23.0524678,78.0640063
46,346.96444444444444,1.4896737152067108,BARNA DAM,23.0524678,78.0640063
47,346.66625,1.4947903579718889,BARNA DAM,23.0524678,78.0640063
48,346.7444444444444,1.4897408424883107,BARNA DAM,23.0524678,78.0640063
49,346.35875,1.5834270022418426,BARNA DAM,23.0524678,78.0640063
50,346.21125,1.5702996756761534,BARNA DAM,23.0524678,78.0640063
51,346.1166666666667,1.737023315905692,BARNA DAM,23.0524678,78.0640063
52,344.61125,4.310145630618859,BARNA DAM,23.0524678,78.0640063
53,345.93,1.8384776310850397,BARNA DAM,23.0524678,78.0640063
