WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,69.43333333333332,0.7300228306932138,BARVI DAM,19.1881163,73.3362814
2,69.2,0.5332916650389381,BARVI DAM,19.1881163,73.3362814
3,68.98333333333333,0.3481857741685248,BARVI DAM,19.1881163,73.3362814
4,68.63333333333333,0.0577350269189675,BARVI DAM,19.1881163,73.3362814
5,68.73,0.4355456348076481,BARVI DAM,19.1881163,73.3362814
6,68.34333333333333,0.431315816233683,BARVI DAM,19.1881163,73.3362814
7,68.0,0.47127486671792623,BARVI DAM,19.1881163,73.3362814
8,67.53333333333333,0.5412331598611984,BARVI DAM,19.1881163,73.3362814
9,66.715,0.16263455967291376,BARVI DAM,19.1881163,73.3362814
10,66.245,0.14849242404916552,BARVI DAM,19.1881163,73.3362814
11,66.19,0.6502307282803611,BARVI DAM,19.1881163,73.3362814
12,65.75,0.6148983655857243,BARVI DAM,19.1881163,73.3362814
13,64.95,0.22627416997969038,BARVI DAM,19.1881163,73.3362814
14,64.44,0.21213203435595723,BARVI DAM,19.1881163,73.3362814
15,63.910000000000004,0.2969848480983512,BARVI DAM,19.1881163,73.3362814
16,63.415,0.41719300090006545,BARVI DAM,19.1881163,73.3362814
17,62.885,0.38890872965259915,BARVI DAM,19.1881163,73.3362814
18,62.75666666666666,0.8235492294534271,BARVI DAM,19.1881163,73.3362814
19,62.23333333333333,0.88596463435813,BARVI DAM,19.1881163,73.3362814
20,61.72666666666667,0.9079831129119837,BARVI DAM,19.1881163,73.3362814
21,61.26666666666667,0.888950692295886,BARVI DAM,19.1881163,73.3362814
22,60.22,0.4525483399593908,BARVI DAM,19.1881163,73.3362814
23,60.26666666666667,0.9776672917374946,BARVI DAM,19.1881163,73.3362814
24,59.239999999999995,0.3394112549695381,BARVI DAM,19.1881163,73.3362814
25,59.795,1.0818733752154186,BARVI DAM,19.1881163,73.3362814
26,60.19,0.4666904755831215,BARVI DAM,19.1881163,73.3362814
27,61.435,0.0919238815542555,BARVI DAM,19.1881163,73.3362814
28,64.455,2.552655480083444,BARVI DAM,19.1881163,73.3362814
29,68.035,2.425376259469863,BARVI DAM,19.1881163,73.3362814
30,70.77000000000001,0.183847763108511,BARVI DAM,19.1881163,73.3362814
31,71.91499999999999,1.0111626970967527,BARVI DAM,19.1881163,73.3362814
32,72.55000000000001,0.09899494936612208,BARVI DAM,19.1881163,73.3362814
33,72.555,0.04949747468306858,BARVI DAM,19.1881163,73.3362814
34,72.425,0.02121320343559723,BARVI DAM,19.1881163,73.3362814
35,74.0,2.06475180106471,BARVI DAM,19.1881163,73.3362814
36,74.06,2.276883835420682,BARVI DAM,19.1881163,73.3362814
37,72.37,0.014142135623723113,BARVI DAM,19.1881163,73.3362814
38,72.445,0.2474873734153027,BARVI DAM,19.1881163,73.3362814
39,72.47999999999999,0.25455844122715166,BARVI DAM,19.1881163,73.3362814
40,72.47,0.0,BARVI DAM,19.1881163,73.3362814
41,72.24,,BARVI DAM,19.1881163,73.3362814
42,72.28999999999999,0.1272792206135683,BARVI DAM,19.1881163,73.3362814
43,72.1,0.0,BARVI DAM,19.1881163,73.3362814
44,71.97999999999999,0.14142135623730648,BARVI DAM,19.1881163,73.3362814
45,38.32,47.12159589827153,BARVI DAM,19.1881163,73.3362814
46,71.63,0.1272792206135683,BARVI DAM,19.1881163,73.3362814
47,71.41499999999999,0.12020815280171931,BARVI DAM,19.1881163,73.3362814
48,71.215,0.0777817459305148,BARVI DAM,19.1881163,73.3362814
49,70.97,0.08485281374238891,BARVI DAM,19.1881163,73.3362814
50,70.705,0.10606601717798615,BARVI DAM,19.1881163,73.3362814
51,70.475,0.10606601717798111,BARVI DAM,19.1881163,73.3362814
52,70.155,0.1626345596728987,BARVI DAM,19.1881163,73.3362814
