WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,668.3,,BHAMA ASKHED,18.8382955,73.725155
2,667.78,,BHAMA ASKHED,18.8382955,73.725155
3,667.64,,BHAMA ASKHED,18.8382955,73.725155
4,667.54,,BHAMA ASKHED,18.8382955,73.725155
5,667.38,,BHAMA ASKHED,18.8382955,73.725155
6,667.17,,BHAMA ASKHED,18.8382955,73.725155
7,666.84,,BHAMA ASKHED,18.8382955,73.725155
8,666.68,,BHAMA ASKHED,18.8382955,73.725155
9,666.26,,BHAMA ASKHED,18.8382955,73.725155
10,666.72,,BHAMA ASKHED,18.8382955,73.725155
11,664.18,,BHAMA ASKHED,18.8382955,73.725155
12,663.79,,BHAMA ASKHED,18.8382955,73.725155
13,664.015,2.679934700696989,BHAMA ASKHED,18.8382955,73.725155
14,662.4200000000001,2.7435743110038415,BHAMA ASKHED,18.8382955,73.725155
15,660.7,2.8991378028649013,BHAMA ASKHED,18.8382955,73.725155
16,659.825,3.075914498161458,BHAMA ASKHED,18.8382955,73.725155
17,659.6300000000001,3.0971277015970347,BHAMA ASKHED,18.8382955,73.725155
18,659.24,3.097127701597115,BHAMA ASKHED,18.8382955,73.725155
19,659.125,3.005203820042827,BHAMA ASKHED,18.8382955,73.725155
20,657.755,3.768879143724247,BHAMA ASKHED,18.8382955,73.725155
21,656.34,3.1678383797157457,BHAMA ASKHED,18.8382955,73.725155
22,655.825,2.5809397513309227,BHAMA ASKHED,18.8382955,73.725155
23,655.69,2.4748737341529163,BHAMA ASKHED,18.8382955,73.725155
24,655.415,2.5809397513308423,BHAMA ASKHED,18.8382955,73.725155
25,657.05,,BHAMA ASKHED,18.8382955,73.725155
26,657.22,,BHAMA ASKHED,18.8382955,73.725155
27,658.56,,BHAMA ASKHED,18.8382955,73.725155
28,659.37,,BHAMA ASKHED,18.8382955,73.725155
29,661.63,,BHAMA ASKHED,18.8382955,73.725155
30,666.31,,BHAMA ASKHED,18.8382955,73.725155
31,668.36,,BHAMA ASKHED,18.8382955,73.725155
32,668.96,,BHAMA ASKHED,18.8382955,73.725155
33,669.14,,BHAMA ASKHED,18.8382955,73.725155
34,669.4,,BHAMA ASKHED,18.8382955,73.725155
35,669.84,,BHAMA ASKHED,18.8382955,73.725155
36,669.96,,BHAMA ASKHED,18.8382955,73.725155
37,671.22,,BHAMA ASKHED,18.8382955,73.725155
38,671.48,,BHAMA ASKHED,18.8382955,73.725155
39,671.73,,BHAMA ASKHED,18.8382955,73.725155
40,671.71,,BHAMA ASKHED,18.8382955,73.725155
41,671.7,,BHAMA ASKHED,18.8382955,73.725155
42,671.66,,BHAMA ASKHED,18.8382955,73.725155
43,671.36,,BHAMA ASKHED,18.8382955,73.725155
44,669.95,,BHAMA ASKHED,18.8382955,73.725155
45,669.8,,BHAMA ASKHED,18.8382955,73.725155
46,669.71,,BHAMA ASKHED,18.8382955,73.725155
47,669.61,,BHAMA ASKHED,18.8382955,73.725155
48,669.56,,BHAMA ASKHED,18.8382955,73.725155
49,669.46,,BHAMA ASKHED,18.8382955,73.725155
50,669.36,,BHAMA ASKHED,18.8382955,73.725155
51,669.24,,BHAMA ASKHED,18.8382955,73.725155
52,669.13,,BHAMA ASKHED,18.8382955,73.725155
