WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,685.6,152.71488292457505,BHANDARDARA,19.5551306,73.7558419
2,697.0233333333333,134.35089327950146,BHANDARDARA,19.5551306,73.7558419
3,696.8722222222223,134.37125155495298,BHANDARDARA,19.5551306,73.7558419
4,696.8344444444444,134.40203719727532,BHANDARDARA,19.5551306,73.7558419
5,696.6044444444444,134.4633273527685,BHANDARDARA,19.5551306,73.7558419
6,696.2766666666666,134.4839786926309,BHANDARDARA,19.5551306,73.7558419
7,689.82125,142.4103144777191,BHANDARDARA,19.5551306,73.7558419
8,695.3433333333334,134.3579690602683,BHANDARDARA,19.5551306,73.7558419
9,688.83875,142.23916764555398,BHANDARDARA,19.5551306,73.7558419
10,688.23125,142.04160732862746,BHANDARDARA,19.5551306,73.7558419
11,693.411111111111,133.84616210826184,BHANDARDARA,19.5551306,73.7558419
12,692.5666666666667,133.57715916278505,BHANDARDARA,19.5551306,73.7558419
13,685.575,141.1931494695931,BHANDARDARA,19.5551306,73.7558419
14,684.24125,140.7193644342729,BHANDARDARA,19.5551306,73.7558419
15,683.24,140.32750957263204,BHANDARDARA,19.5551306,73.7558419
16,682.2425,139.95118993522604,BHANDARDARA,19.5551306,73.7558419
17,681.36875,139.62201601236512,BHANDARDARA,19.5551306,73.7558419
18,686.2044444444444,131.45811986247853,BHANDARDARA,19.5551306,73.7558419
19,684.6333333333333,130.9658923155185,BHANDARDARA,19.5551306,73.7558419
20,682.9966666666667,130.42925735815564,BHANDARDARA,19.5551306,73.7558419
21,676.60875,138.0186073829488,BHANDARDARA,19.5551306,73.7558419
22,668.2442857142858,147.00772585787715,BHANDARDARA,19.5551306,73.7558419
23,678.951111111111,129.1729414819958,BHANDARDARA,19.5551306,73.7558419
24,672.965,136.821537987054,BHANDARDARA,19.5551306,73.7558419
25,673.995,137.16715506480196,BHANDARDARA,19.5551306,73.7558419
26,636.6588888888889,170.0434441873932,BHANDARDARA,19.5551306,73.7558419
27,639.7255555555555,171.34677747999166,BHANDARDARA,19.5551306,73.7558419
28,620.16,192.1129340604982,BHANDARDARA,19.5551306,73.7558419
29,638.56875,184.7194469178675,BHANDARDARA,19.5551306,73.7558419
30,626.0457142857142,195.4317829710359,BHANDARDARA,19.5551306,73.7558419
31,641.09875,185.66393937415143,BHANDARDARA,19.5551306,73.7558419
32,642.03125,185.48728038312643,BHANDARDARA,19.5551306,73.7558419
33,686.0928571428573,151.76467262555818,BHANDARDARA,19.5551306,73.7558419
34,654.9677777777778,177.39732070819008,BHANDARDARA,19.5551306,73.7558419
35,655.0033333333333,177.3302814665335,BHANDARDARA,19.5551306,73.7558419
36,699.6855555555555,133.97968046602358,BHANDARDARA,19.5551306,73.7558419
37,687.2585714285715,152.04628850326813,BHANDARDARA,19.5551306,73.7558419
38,655.3422222222222,177.3705380536588,BHANDARDARA,19.5551306,73.7558419
39,644.16875,186.19399510322563,BHANDARDARA,19.5551306,73.7558419
40,644.1725,186.1963093657567,BHANDARDARA,19.5551306,73.7558419
41,655.3011111111111,177.3416090095923,BHANDARDARA,19.5551306,73.7558419
42,655.218888888889,177.30947813388633,BHANDARDARA,19.5551306,73.7558419
43,655.0766666666667,177.28062817183385,BHANDARDARA,19.5551306,73.7558419
44,654.5077777777777,177.072061374584,BHANDARDARA,19.5551306,73.7558419
45,654.0122222222222,176.9391034916941,BHANDARDARA,19.5551306,73.7558419
46,653.52,176.77546846211436,BHANDARDARA,19.5551306,73.7558419
47,641.9775,185.42021378094523,BHANDARDARA,19.5551306,73.7558419
48,652.8655555555556,176.6827176120454,BHANDARDARA,19.5551306,73.7558419
49,641.28625,185.38329327850911,BHANDARDARA,19.5551306,73.7558419
50,641.0825,185.4509148573513,BHANDARDARA,19.5551306,73.7558419
51,697.3066666666667,134.05677230188707,BHANDARDARA,19.5551306,73.7558419
52,691.355,142.14254967662364,BHANDARDARA,19.5551306,73.7558419
53,542.0350000000001,286.25803822775003,BHANDARDARA,19.5551306,73.7558419
