WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,621.7,2.3005325470421454,BHATGHAR,22.3578313,91.7843113
2,621.2479999999999,2.6985588746588136,BHATGHAR,22.3578313,91.7843113
3,620.768,2.930139928399366,BHATGHAR,22.3578313,91.7843113
4,620.342,2.811204368237944,BHATGHAR,22.3578313,91.7843113
5,619.604,2.805303905105454,BHATGHAR,22.3578313,91.7843113
6,618.562,3.001994337103236,BHATGHAR,22.3578313,91.7843113
7,617.335,3.626398580777768,BHATGHAR,22.3578313,91.7843113
8,616.606,3.3263237966258883,BHATGHAR,22.3578313,91.7843113
9,615.1949999999999,3.052785613173671,BHATGHAR,22.3578313,91.7843113
10,614.8975,2.997325196459888,BHATGHAR,22.3578313,91.7843113
11,614.9979999999999,2.759197347055846,BHATGHAR,22.3578313,91.7843113
12,613.702,3.4520530123391526,BHATGHAR,22.3578313,91.7843113
13,611.695,4.061399594556844,BHATGHAR,22.3578313,91.7843113
14,610.415,4.349839077483238,BHATGHAR,22.3578313,91.7843113
15,608.9125,5.156015095659354,BHATGHAR,22.3578313,91.7843113
16,607.2950000000001,5.939767111035019,BHATGHAR,22.3578313,91.7843113
17,606.8275,5.3631916803336095,BHATGHAR,22.3578313,91.7843113
18,606.574,4.726000423190862,BHATGHAR,22.3578313,91.7843113
19,605.332,4.1861820313980695,BHATGHAR,22.3578313,91.7843113
20,603.638,3.9113002952982265,BHATGHAR,22.3578313,91.7843113
21,601.8100000000001,3.7595012967147645,BHATGHAR,22.3578313,91.7843113
22,599.8475,4.298964022490376,BHATGHAR,22.3578313,91.7843113
23,599.01,4.081899067835965,BHATGHAR,22.3578313,91.7843113
24,599.2075,4.536976783424502,BHATGHAR,22.3578313,91.7843113
25,600.3725,3.994682924421786,BHATGHAR,22.3578313,91.7843113
26,600.615,4.440153901236614,BHATGHAR,22.3578313,91.7843113
27,601.925,2.1609334402830225,BHATGHAR,22.3578313,91.7843113
28,606.265,2.5229942528670097,BHATGHAR,22.3578313,91.7843113
29,610.1675,3.816467607618335,BHATGHAR,22.3578313,91.7843113
30,614.5225,3.958698228795287,BHATGHAR,22.3578313,91.7843113
31,616.17,4.668218789502726,BHATGHAR,22.3578313,91.7843113
32,618.79,3.7545084010204923,BHATGHAR,22.3578313,91.7843113
33,621.1800000000001,2.3184585396336166,BHATGHAR,22.3578313,91.7843113
34,622.322,1.036252864893473,BHATGHAR,22.3578313,91.7843113
35,622.7360000000001,0.7411005329912702,BHATGHAR,22.3578313,91.7843113
36,622.8799999999999,0.5542562584220259,BHATGHAR,22.3578313,91.7843113
37,623.1659999999999,0.2549117494349264,BHATGHAR,22.3578313,91.7843113
38,623.28,0.0,BHATGHAR,22.3578313,91.7843113
39,623.234,0.10285912696500958,BHATGHAR,22.3578313,91.7843113
40,623.28,0.0,BHATGHAR,22.3578313,91.7843113
41,623.286,0.013416407864997659,BHATGHAR,22.3578313,91.7843113
42,623.28,0.0,BHATGHAR,22.3578313,91.7843113
43,623.27,0.01732050807567302,BHATGHAR,22.3578313,91.7843113
44,623.22,0.07348469228346204,BHATGHAR,22.3578313,91.7843113
45,623.185,0.11445523142260472,BHATGHAR,22.3578313,91.7843113
46,623.094,0.2566709956345019,BHATGHAR,22.3578313,91.7843113
47,622.7225000000001,0.6856323115684068,BHATGHAR,22.3578313,91.7843113
48,622.646,1.0335521273743864,BHATGHAR,22.3578313,91.7843113
49,622.2375,1.6100388194077324,BHATGHAR,22.3578313,91.7843113
50,621.945,2.0775706967514402,BHATGHAR,22.3578313,91.7843113
51,621.932,2.3499085088572937,BHATGHAR,22.3578313,91.7843113
52,621.8439999999999,2.340337582486778,BHATGHAR,22.3578313,91.7843113
53,622.85,,BHATGHAR,22.3578313,91.7843113
