WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,647.8050000000001,0.7424621202458829,CHASKAMAN,18.9607567,73.7854046
2,647.0866666666667,0.617764788032871,CHASKAMAN,18.9607567,73.7854046
3,647.42,,CHASKAMAN,18.9607567,73.7854046
4,646.12,0.9050966799187615,CHASKAMAN,18.9607567,73.7854046
5,645.19,0.5798275605729641,CHASKAMAN,18.9607567,73.7854046
6,645.6266666666667,1.6698602735957402,CHASKAMAN,18.9607567,73.7854046
7,644.9266666666666,1.7514660525779864,CHASKAMAN,18.9607567,73.7854046
8,644.2433333333333,1.8735082955069557,CHASKAMAN,18.9607567,73.7854046
9,642.45,1.0040916292849087,CHASKAMAN,18.9607567,73.7854046
10,641.5999999999999,1.1455129855222503,CHASKAMAN,18.9607567,73.7854046
11,641.735,1.7276863141207055,CHASKAMAN,18.9607567,73.7854046
12,642.3599999999999,1.4849242404918062,CHASKAMAN,18.9607567,73.7854046
13,639.905,0.8414570696120302,CHASKAMAN,18.9607567,73.7854046
14,638.995,1.0818733752153984,CHASKAMAN,18.9607567,73.7854046
15,638.15,1.400071426749377,CHASKAMAN,18.9607567,73.7854046
16,637.46,1.428355697996813,CHASKAMAN,18.9607567,73.7854046
17,609.0550000000001,40.439436816058574,CHASKAMAN,18.9607567,73.7854046
18,637.0633333333334,2.5094288858888523,CHASKAMAN,18.9607567,73.7854046
19,635.7800000000001,2.7051247660690096,CHASKAMAN,18.9607567,73.7854046
20,634.1333333333333,3.202082655606048,CHASKAMAN,18.9607567,73.7854046
21,633.1899999999999,2.95614613982466,CHASKAMAN,18.9607567,73.7854046
22,631.425,0.3464823227814147,CHASKAMAN,18.9607567,73.7854046
23,632.03,1.2211060560000693,CHASKAMAN,18.9607567,73.7854046
24,631.355,0.28991378028650217,CHASKAMAN,18.9607567,73.7854046
25,631.37,0.07071067811859044,CHASKAMAN,18.9607567,73.7854046
26,631.6700000000001,0.4242640687119044,CHASKAMAN,18.9607567,73.7854046
27,632.95,1.7111984104714564,CHASKAMAN,18.9607567,73.7854046
28,640.585,6.809438302826409,CHASKAMAN,18.9607567,73.7854046
29,644.685,6.484169183480572,CHASKAMAN,18.9607567,73.7854046
30,648.45,1.2020815280171229,CHASKAMAN,18.9607567,73.7854046
31,649.23,0.1131370849897849,CHASKAMAN,18.9607567,73.7854046
32,649.42,0.15556349186105975,CHASKAMAN,18.9607567,73.7854046
33,649.505,0.03535533905929522,CHASKAMAN,18.9607567,73.7854046
34,649.53,0.0,CHASKAMAN,18.9607567,73.7854046
35,649.51,0.028284271247436175,CHASKAMAN,18.9607567,73.7854046
36,649.4366666666666,0.08082903768655614,CHASKAMAN,18.9607567,73.7854046
37,649.53,,CHASKAMAN,18.9607567,73.7854046
38,649.53,0.0,CHASKAMAN,18.9607567,73.7854046
39,649.53,0.0,CHASKAMAN,18.9607567,73.7854046
40,649.53,0.0,CHASKAMAN,18.9607567,73.7854046
41,649.53,,CHASKAMAN,18.9607567,73.7854046
42,649.3499999999999,0.25455844122720694,CHASKAMAN,18.9607567,73.7854046
43,324.84,458.64360041321845,CHASKAMAN,18.9607567,73.7854046
44,324.805,458.59410293853546,CHASKAMAN,18.9607567,73.7854046
45,324.78999999999996,458.5728897350998,CHASKAMAN,18.9607567,73.7854046
46,649.285,0.3464823227814147,CHASKAMAN,18.9607567,73.7854046
47,649.175,0.3606244584051328,CHASKAMAN,18.9607567,73.7854046
48,649.23,0.4242640687119044,CHASKAMAN,18.9607567,73.7854046
49,649.01,0.2828427124746833,CHASKAMAN,18.9607567,73.7854046
50,648.9649999999999,0.2757716446627037,CHASKAMAN,18.9607567,73.7854046
51,648.77,0.4242640687119848,CHASKAMAN,18.9607567,73.7854046
52,648.3,0.6222539674441184,CHASKAMAN,18.9607567,73.7854046
