WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,176.71714285714285,4.210735146763627,DANTIWADA,24.3239388,72.3255763
2,174.45222222222222,5.181403713709683,DANTIWADA,24.3239388,72.3255763
3,173.8411111111111,5.379538652255521,DANTIWADA,24.3239388,72.3255763
4,173.33777777777777,5.694220266590013,DANTIWADA,24.3239388,72.3255763
5,172.94,5.626328731953008,DANTIWADA,24.3239388,72.3255763
6,172.51222222222225,5.512988703456994,DANTIWADA,24.3239388,72.3255763
7,172.68875,5.456295021087369,DANTIWADA,24.3239388,72.3255763
8,171.57222222222222,5.395024971623816,DANTIWADA,24.3239388,72.3255763
9,171.49625,5.446356416383875,DANTIWADA,24.3239388,72.3255763
10,171.1525,5.290457042098132,DANTIWADA,24.3239388,72.3255763
11,170.5922222222222,4.826494011644939,DANTIWADA,24.3239388,72.3255763
12,170.39888888888888,4.684918474329203,DANTIWADA,24.3239388,72.3255763
13,170.4425,4.82470354381637,DANTIWADA,24.3239388,72.3255763
14,170.1675,4.601135729360742,DANTIWADA,24.3239388,72.3255763
15,169.91,4.451025564005288,DANTIWADA,24.3239388,72.3255763
16,169.59125,4.302917407327934,DANTIWADA,24.3239388,72.3255763
17,169.145,4.151147861908632,DANTIWADA,24.3239388,72.3255763
18,168.59888888888887,3.9326404756996447,DANTIWADA,24.3239388,72.3255763
19,168.29,3.819662943245124,DANTIWADA,24.3239388,72.3255763
20,167.99125,3.9288727481847237,DANTIWADA,24.3239388,72.3255763
21,168.39499999999998,3.7367441901817644,DANTIWADA,24.3239388,72.3255763
22,168.72125,4.005925744622411,DANTIWADA,24.3239388,72.3255763
23,167.20875,3.936548297684153,DANTIWADA,24.3239388,72.3255763
24,167.60500000000002,4.201244713517306,DANTIWADA,24.3239388,72.3255763
25,167.81625,5.419301318963013,DANTIWADA,24.3239388,72.3255763
26,167.22555555555556,5.351999885816325,DANTIWADA,24.3239388,72.3255763
27,168.06777777777776,4.854059583940487,DANTIWADA,24.3239388,72.3255763
28,168.15285714285713,6.335854886505619,DANTIWADA,24.3239388,72.3255763
29,169.17125,6.166896504725863,DANTIWADA,24.3239388,72.3255763
30,170.23,7.7668397691725355,DANTIWADA,24.3239388,72.3255763
31,173.1625,8.513410849108258,DANTIWADA,24.3239388,72.3255763
32,173.04125,8.659477776237022,DANTIWADA,24.3239388,72.3255763
33,173.45428571428573,8.326883885229531,DANTIWADA,24.3239388,72.3255763
34,175.8022222222222,7.345996831230222,DANTIWADA,24.3239388,72.3255763
35,176.86777777777777,6.393195167085428,DANTIWADA,24.3239388,72.3255763
36,176.93,6.109131338765415,DANTIWADA,24.3239388,72.3255763
37,177.32625,6.054511747449174,DANTIWADA,24.3239388,72.3255763
38,178.33777777777777,5.626621494684399,DANTIWADA,24.3239388,72.3255763
39,179.32375000000002,5.301999454383762,DANTIWADA,24.3239388,72.3255763
40,178.04874999999998,5.381243715775324,DANTIWADA,24.3239388,72.3255763
41,178.77444444444444,5.34087331602031,DANTIWADA,24.3239388,72.3255763
42,178.71333333333334,5.387970397097596,DANTIWADA,24.3239388,72.3255763
43,178.20999999999998,5.300488447094072,DANTIWADA,24.3239388,72.3255763
44,178.61,5.989827090278037,DANTIWADA,24.3239388,72.3255763
45,177.91666666666666,5.646959358805404,DANTIWADA,24.3239388,72.3255763
46,177.59,5.522291191163321,DANTIWADA,24.3239388,72.3255763
47,177.08625,5.733502887166173,DANTIWADA,24.3239388,72.3255763
48,176.92111111111112,5.350727624455489,DANTIWADA,24.3239388,72.3255763
49,176.42000000000002,5.641286580711378,DANTIWADA,24.3239388,72.3255763
50,175.92375,5.792337148583222,DANTIWADA,24.3239388,72.3255763
51,175.88,5.15800833655782,DANTIWADA,24.3239388,72.3255763
52,176.19125,5.000964014210516,DANTIWADA,24.3239388,72.3255763
53,177.38,1.598061325481591,DANTIWADA,24.3239388,72.3255763
