WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,568.07,,DARNA DAM,19.7394692,73.6697073
2,568.07,,DARNA DAM,19.7394692,73.6697073
3,567.76,,DARNA DAM,19.7394692,73.6697073
4,567.73,,DARNA DAM,19.7394692,73.6697073
5,567.59,,DARNA DAM,19.7394692,73.6697073
6,567.54,,DARNA DAM,19.7394692,73.6697073
7,567.08,,DARNA DAM,19.7394692,73.6697073
8,566.68,,DARNA DAM,19.7394692,73.6697073
9,566.01,,DARNA DAM,19.7394692,73.6697073
10,565.02,,DARNA DAM,19.7394692,73.6697073
11,564.58,,DARNA DAM,19.7394692,73.6697073
12,564.2,,DARNA DAM,19.7394692,73.6697073
13,566.495,3.401183617507255,DARNA DAM,19.7394692,73.6697073
14,566.53,3.4931074990615834,DARNA DAM,19.7394692,73.6697073
15,566.4749999999999,3.4577521600021677,DARNA DAM,19.7394692,73.6697073
16,566.4000000000001,3.478965363437745,DARNA DAM,19.7394692,73.6697073
17,566.39,3.6628131265463613,DARNA DAM,19.7394692,73.6697073
18,566.5,3.6910973977937975,DARNA DAM,19.7394692,73.6697073
19,566.52,3.2668333290818126,DARNA DAM,19.7394692,73.6697073
20,566.105,2.892066735052962,DARNA DAM,19.7394692,73.6697073
21,565.385,2.0293964620054346,DARNA DAM,19.7394692,73.6697073
22,563.97,2.418305191658004,DARNA DAM,19.7394692,73.6697073
23,561.6500000000001,5.034600282048262,DARNA DAM,19.7394692,73.6697073
24,560.92,4.440630585851499,DARNA DAM,19.7394692,73.6697073
25,562.72,,DARNA DAM,19.7394692,73.6697073
26,561.89,,DARNA DAM,19.7394692,73.6697073
27,565.71,,DARNA DAM,19.7394692,73.6697073
28,567.78,,DARNA DAM,19.7394692,73.6697073
29,569.09,,DARNA DAM,19.7394692,73.6697073
30,569.87,,DARNA DAM,19.7394692,73.6697073
31,570.59,,DARNA DAM,19.7394692,73.6697073
32,570.98,,DARNA DAM,19.7394692,73.6697073
33,571.04,,DARNA DAM,19.7394692,73.6697073
34,571.04,,DARNA DAM,19.7394692,73.6697073
35,571.2,,DARNA DAM,19.7394692,73.6697073
36,570.66,,DARNA DAM,19.7394692,73.6697073
37,571.29,,DARNA DAM,19.7394692,73.6697073
38,571.5,,DARNA DAM,19.7394692,73.6697073
39,571.5,,DARNA DAM,19.7394692,73.6697073
40,571.5,,DARNA DAM,19.7394692,73.6697073
41,571.5,,DARNA DAM,19.7394692,73.6697073
42,571.45,,DARNA DAM,19.7394692,73.6697073
43,571.41,,DARNA DAM,19.7394692,73.6697073
44,571.36,,DARNA DAM,19.7394692,73.6697073
45,571.27,,DARNA DAM,19.7394692,73.6697073
46,571.23,,DARNA DAM,19.7394692,73.6697073
47,571.2,,DARNA DAM,19.7394692,73.6697073
48,569.37,,DARNA DAM,19.7394692,73.6697073
49,569.4,0.0,DARNA DAM,19.7394692,73.6697073
51,568.51,,DARNA DAM,19.7394692,73.6697073
52,568.13,,DARNA DAM,19.7394692,73.6697073
