WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,716.56,0.6026607669328201,DIMBHE DAM,19.096012,73.7440799
2,715.12,1.0392304845413494,DIMBHE DAM,19.096012,73.7440799
3,715.55,,DIMBHE DAM,19.096012,73.7440799
4,713.1466666666666,1.432492001141175,DIMBHE DAM,19.096012,73.7440799
5,712.2199999999999,1.0708407911543045,DIMBHE DAM,19.096012,73.7440799
6,711.6833333333334,1.0031118249394615,DIMBHE DAM,19.096012,73.7440799
7,711.1633333333333,1.1292622960735468,DIMBHE DAM,19.096012,73.7440799
8,710.62,1.5026975743642135,DIMBHE DAM,19.096012,73.7440799
9,710.6600000000001,0.5798275605730445,DIMBHE DAM,19.096012,73.7440799
10,709.385,1.22329473145274,DIMBHE DAM,19.096012,73.7440799
11,707.3075,1.2648418873519436,DIMBHE DAM,19.096012,73.7440799
12,706.22,2.06475180106473,DIMBHE DAM,19.096012,73.7440799
13,556.75,211.778480965371,DIMBHE DAM,19.096012,73.7440799
14,702.405,0.4737615433949981,DIMBHE DAM,19.096012,73.7440799
15,702.21,2.1778888860546353,DIMBHE DAM,19.096012,73.7440799
16,700.845,2.3405234457274338,DIMBHE DAM,19.096012,73.7440799
17,699.25,2.7294321753800026,DIMBHE DAM,19.096012,73.7440799
18,696.5433333333334,2.6909539820169854,DIMBHE DAM,19.096012,73.7440799
19,694.5500000000001,2.871880916751245,DIMBHE DAM,19.096012,73.7440799
20,693.0566666666667,2.792871879147541,DIMBHE DAM,19.096012,73.7440799
21,691.5133333333333,2.8471447685942413,DIMBHE DAM,19.096012,73.7440799
22,690.065,4.702260094890565,DIMBHE DAM,19.096012,73.7440799
23,688.3133333333334,3.977754810610279,DIMBHE DAM,19.096012,73.7440799
24,686.975,5.607356774809367,DIMBHE DAM,19.096012,73.7440799
25,688.575,0.7990306627407553,DIMBHE DAM,19.096012,73.7440799
26,687.6400000000001,0.09899494936606681,DIMBHE DAM,19.096012,73.7440799
27,689.0350000000001,0.84145706961199,DIMBHE DAM,19.096012,73.7440799
28,696.97,7.113494218736629,DIMBHE DAM,19.096012,73.7440799
29,705.125,9.722718241315029,DIMBHE DAM,19.096012,73.7440799
30,711.415,4.617407281148136,DIMBHE DAM,19.096012,73.7440799
31,714.535,0.8838834764831844,DIMBHE DAM,19.096012,73.7440799
32,716.395,1.209152595829022,DIMBHE DAM,19.096012,73.7440799
33,717.085,1.590990257669732,DIMBHE DAM,19.096012,73.7440799
34,717.695,1.0535891039679621,DIMBHE DAM,19.096012,73.7440799
35,718.1700000000001,0.46669047558305865,DIMBHE DAM,19.096012,73.7440799
36,717.9666666666667,0.9641749495467007,DIMBHE DAM,19.096012,73.7440799
37,719.15,,DIMBHE DAM,19.096012,73.7440799
38,719.0899999999999,0.08485281374234872,DIMBHE DAM,19.096012,73.7440799
39,719.15,0.0,DIMBHE DAM,19.096012,73.7440799
40,719.15,,DIMBHE DAM,19.096012,73.7440799
41,719.02,0.18384776310849593,DIMBHE DAM,19.096012,73.7440799
42,719.1,0.49497474683061543,DIMBHE DAM,19.096012,73.7440799
43,359.39,508.0420801469107,DIMBHE DAM,19.096012,73.7440799
44,359.31,507.92894306192085,DIMBHE DAM,19.096012,73.7440799
45,359.22999999999996,507.81580597693096,DIMBHE DAM,19.096012,73.7440799
46,718.7,0.6363961030679168,DIMBHE DAM,19.096012,73.7440799
47,718.645,0.7141778489984065,DIMBHE DAM,19.096012,73.7440799
48,718.615,0.7566042558695608,DIMBHE DAM,19.096012,73.7440799
49,718.56,0.8343860018000505,DIMBHE DAM,19.096012,73.7440799
50,718.5,0.9192388155424797,DIMBHE DAM,19.096012,73.7440799
51,718.4,1.0606601717798212,DIMBHE DAM,19.096012,73.7440799
52,717.36,1.0323759005323851,DIMBHE DAM,19.096012,73.7440799
