WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,640.49,3.190848521273634,DUDHGANGA,33.8893255,74.6836692
2,640.15,3.323096662538047,DUDHGANGA,33.8893255,74.6836692
3,639.6655555555556,3.252322674301832,DUDHGANGA,33.8893255,74.6836692
4,639.1533333333333,3.3286558848880645,DUDHGANGA,33.8893255,74.6836692
5,638.5999999999999,3.421103623101797,DUDHGANGA,33.8893255,74.6836692
6,637.9366666666667,3.5561917833548065,DUDHGANGA,33.8893255,74.6836692
7,637.2677777777777,3.5974740366601967,DUDHGANGA,33.8893255,74.6836692
8,636.1775,3.727334359642493,DUDHGANGA,33.8893255,74.6836692
9,635.45,3.7663396402494467,DUDHGANGA,33.8893255,74.6836692
10,634.6525,3.8805623671981206,DUDHGANGA,33.8893255,74.6836692
11,633.64,3.616676651291892,DUDHGANGA,33.8893255,74.6836692
12,632.7711111111112,3.6591817543148824,DUDHGANGA,33.8893255,74.6836692
13,631.5955555555555,3.299534478949671,DUDHGANGA,33.8893255,74.6836692
14,629.9300000000001,3.7685673670507787,DUDHGANGA,33.8893255,74.6836692
15,629.075,3.76262066726295,DUDHGANGA,33.8893255,74.6836692
16,628.1375,4.487225518863845,DUDHGANGA,33.8893255,74.6836692
17,626.5600000000001,4.214148127966589,DUDHGANGA,33.8893255,74.6836692
18,626.4875,5.134682491227116,DUDHGANGA,33.8893255,74.6836692
19,624.95125,5.91960770297689,DUDHGANGA,33.8893255,74.6836692
20,622.9566666666667,6.405509347428996,DUDHGANGA,33.8893255,74.6836692
21,621.5074999999999,7.466123013796643,DUDHGANGA,33.8893255,74.6836692
22,618.9114285714286,8.153253805631682,DUDHGANGA,33.8893255,74.6836692
23,618.71,7.602183896749693,DUDHGANGA,33.8893255,74.6836692
24,615.52875,10.25116639704964,DUDHGANGA,33.8893255,74.6836692
25,620.3842857142857,9.183533918818796,DUDHGANGA,33.8893255,74.6836692
26,620.0477777777778,10.841481422962662,DUDHGANGA,33.8893255,74.6836692
27,624.911111111111,6.983524261510872,DUDHGANGA,33.8893255,74.6836692
28,630.1514285714286,4.9621615873576275,DUDHGANGA,33.8893255,74.6836692
29,634.63,4.884017666985702,DUDHGANGA,33.8893255,74.6836692
30,637.59,3.2003281081788946,DUDHGANGA,33.8893255,74.6836692
31,1280.6333333333334,1925.2584029423165,DUDHGANGA,33.8893255,74.6836692
32,642.5671428571429,0.9356764805158183,DUDHGANGA,33.8893255,74.6836692
33,643.6385714285715,0.8684934958771706,DUDHGANGA,33.8893255,74.6836692
34,644.04,1.8482905014574005,DUDHGANGA,33.8893255,74.6836692
35,643.99875,1.7107762440316032,DUDHGANGA,33.8893255,74.6836692
36,644.85625,1.1673650120799988,DUDHGANGA,33.8893255,74.6836692
37,645.3025,0.7718761928851355,DUDHGANGA,33.8893255,74.6836692
38,644.3155555555555,2.328347649681584,DUDHGANGA,33.8893255,74.6836692
39,645.00625,1.8150083628299771,DUDHGANGA,33.8893255,74.6836692
40,645.13375,1.875495648774336,DUDHGANGA,33.8893255,74.6836692
41,644.996,1.74264294806606,DUDHGANGA,33.8893255,74.6836692
42,644.66875,1.9961995140766753,DUDHGANGA,33.8893255,74.6836692
43,573.651111111111,213.6262118423465,DUDHGANGA,33.8893255,74.6836692
44,644.2966666666666,2.090137555281954,DUDHGANGA,33.8893255,74.6836692
45,643.618,2.546050536288174,DUDHGANGA,33.8893255,74.6836692
46,644.37875,1.5912478257195402,DUDHGANGA,33.8893255,74.6836692
47,642.4922222222223,2.9438952842185664,DUDHGANGA,33.8893255,74.6836692
48,643.7950000000001,1.8952346255053292,DUDHGANGA,33.8893255,74.6836692
49,642.465,2.7227821905439,DUDHGANGA,33.8893255,74.6836692
50,642.01,2.7826297941746883,DUDHGANGA,33.8893255,74.6836692
51,641.7955555555556,2.8339773777815918,DUDHGANGA,33.8893255,74.6836692
52,641.1687499999999,3.018861836141951,DUDHGANGA,33.8893255,74.6836692
53,638.89,6.024549775709372,DUDHGANGA,33.8893255,74.6836692
