WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,496.34714285714284,4.324799472367535,GOBIND SAGAR(BHAKRA),,
2,495.24666666666667,5.614579236238455,GOBIND SAGAR(BHAKRA),,
3,493.865,6.078345639586947,GOBIND SAGAR(BHAKRA),,
4,492.71125,6.01384221727556,GOBIND SAGAR(BHAKRA),,
5,491.55222222222227,5.70807055356224,GOBIND SAGAR(BHAKRA),,
6,490.2922222222222,5.7303659956799,GOBIND SAGAR(BHAKRA),,
7,488.1975,5.853677110525129,GOBIND SAGAR(BHAKRA),,
8,487.1833333333333,6.388172665168026,GOBIND SAGAR(BHAKRA),,
9,485.335,7.2507635065951055,GOBIND SAGAR(BHAKRA),,
10,483.4275,7.865877028569124,GOBIND SAGAR(BHAKRA),,
11,481.5955555555555,7.860591757480979,GOBIND SAGAR(BHAKRA),,
12,478.70799999999997,9.127435808837246,GOBIND SAGAR(BHAKRA),,
13,480.75428571428574,8.241352755348789,GOBIND SAGAR(BHAKRA),,
14,477.9325,9.791290225793237,GOBIND SAGAR(BHAKRA),,
15,477.55,9.84848066599977,GOBIND SAGAR(BHAKRA),,
16,477.43625,9.734275139937225,GOBIND SAGAR(BHAKRA),,
17,477.31375,9.63520470165822,GOBIND SAGAR(BHAKRA),,
18,476.1244444444444,9.407494500544644,GOBIND SAGAR(BHAKRA),,
19,474.76,9.954976142613287,GOBIND SAGAR(BHAKRA),,
20,475.7125,9.817447660743028,GOBIND SAGAR(BHAKRA),,
21,473.815,11.336445651084816,GOBIND SAGAR(BHAKRA),,
22,473.8728571428572,12.833058500458488,GOBIND SAGAR(BHAKRA),,
23,475.0133333333333,10.99486812108267,GOBIND SAGAR(BHAKRA),,
24,476.30625,9.926853821111399,GOBIND SAGAR(BHAKRA),,
25,475.655,9.391669560991664,GOBIND SAGAR(BHAKRA),,
26,476.90000000000003,11.197902705417645,GOBIND SAGAR(BHAKRA),,
27,478.9411111111111,10.713580685798348,GOBIND SAGAR(BHAKRA),,
28,484.24142857142857,8.17009063305793,GOBIND SAGAR(BHAKRA),,
29,485.22625,11.639570362100368,GOBIND SAGAR(BHAKRA),,
30,492.0157142857143,7.91812237242908,GOBIND SAGAR(BHAKRA),,
31,493.1725,8.901347811266712,GOBIND SAGAR(BHAKRA),,
32,449.48625,183.3571769554479,GOBIND SAGAR(BHAKRA),,
33,502.3,6.758389847688087,GOBIND SAGAR(BHAKRA),,
34,503.8977777777778,6.333474121242197,GOBIND SAGAR(BHAKRA),,
35,505.3888888888889,5.209979473194803,GOBIND SAGAR(BHAKRA),,
36,505.7575,4.759810170284404,GOBIND SAGAR(BHAKRA),,
37,506.435,4.040456127009145,GOBIND SAGAR(BHAKRA),,
38,507.03333333333336,3.749733323851175,GOBIND SAGAR(BHAKRA),,
39,507.61375,3.4867583696854303,GOBIND SAGAR(BHAKRA),,
40,507.1975,3.5076192577220944,GOBIND SAGAR(BHAKRA),,
41,507.0222222222222,3.427877542218268,GOBIND SAGAR(BHAKRA),,
42,506.2655555555556,3.8773899439929598,GOBIND SAGAR(BHAKRA),,
43,454.988,159.7933068268714,GOBIND SAGAR(BHAKRA),,
44,441.4925,178.37167814506233,GOBIND SAGAR(BHAKRA),,
45,448.09777777777776,168.07575463000143,GOBIND SAGAR(BHAKRA),,
46,504.1311111111111,4.588097221192139,GOBIND SAGAR(BHAKRA),,
47,504.08375,4.5606545191295735,GOBIND SAGAR(BHAKRA),,
48,502.6711111111111,4.904687667029498,GOBIND SAGAR(BHAKRA),,
49,502.32375,4.895224896336664,GOBIND SAGAR(BHAKRA),,
50,501.105,5.1151092712807955,GOBIND SAGAR(BHAKRA),,
51,499.1766666666667,5.383569912242245,GOBIND SAGAR(BHAKRA),,
52,498.94,4.674104956337333,GOBIND SAGAR(BHAKRA),,
53,495.80499999999995,7.459976541518064,GOBIND SAGAR(BHAKRA),,
