WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,861.0114285714286,6.164334050464362,HARANGI,12.4948912,75.8392181
2,860.411111111111,5.565344653398481,HARANGI,12.4948912,75.8392181
3,860.5611111111111,5.493242313161835,HARANGI,12.4948912,75.8392181
4,860.6888888888889,5.411532695190045,HARANGI,12.4948912,75.8392181
5,860.7955555555556,5.333549735193066,HARANGI,12.4948912,75.8392181
6,860.8477777777778,5.288174963486385,HARANGI,12.4948912,75.8392181
7,860.49875,5.462214196511469,HARANGI,12.4948912,75.8392181
8,859.8799999999999,5.685392588809408,HARANGI,12.4948912,75.8392181
9,860.0671428571429,2.9853906181364587,HARANGI,12.4948912,75.8392181
10,858.9425,4.003875800842406,HARANGI,12.4948912,75.8392181
11,859.9233333333334,4.880307367369411,HARANGI,12.4948912,75.8392181
12,859.7866666666666,4.8560271827904415,HARANGI,12.4948912,75.8392181
13,858.24125,3.7636776752077408,HARANGI,12.4948912,75.8392181
14,857.9575,3.7887116166694215,HARANGI,12.4948912,75.8392181
15,857.8175,3.7351678103438037,HARANGI,12.4948912,75.8392181
16,857.68875,3.6722022878454257,HARANGI,12.4948912,75.8392181
17,857.68125,3.594652526422293,HARANGI,12.4948912,75.8392181
18,858.7944444444445,4.785786537004961,HARANGI,12.4948912,75.8392181
19,858.7877777777778,4.760970956059732,HARANGI,12.4948912,75.8392181
20,858.8611111111111,4.914166878638833,HARANGI,12.4948912,75.8392181
21,858.6475,6.055523452659939,HARANGI,12.4948912,75.8392181
22,857.0057142857142,5.308354601138508,HARANGI,12.4948912,75.8392181
23,858.3544444444445,5.840464688513887,HARANGI,12.4948912,75.8392181
24,751.815,303.79760057361494,HARANGI,12.4948912,75.8392181
25,861.15,4.983068475203973,HARANGI,12.4948912,75.8392181
26,862.3088888888889,4.335425136144283,HARANGI,12.4948912,75.8392181
27,864.8333333333334,4.405959032946202,HARANGI,12.4948912,75.8392181
28,867.8100000000001,2.729468812791227,HARANGI,12.4948912,75.8392181
29,869.6075,1.3939845254316037,HARANGI,12.4948912,75.8392181
30,870.5385714285713,0.684748824300536,HARANGI,12.4948912,75.8392181
31,870.9375,0.25733524549007064,HARANGI,12.4948912,75.8392181
32,870.6928571428572,0.47605021743906695,HARANGI,12.4948912,75.8392181
33,870.8414285714287,0.3435805859585349,HARANGI,12.4948912,75.8392181
34,870.8933333333333,0.46386959374376113,HARANGI,12.4948912,75.8392181
35,870.7788888888889,0.3747480635188046,HARANGI,12.4948912,75.8392181
36,870.61625,0.4885821322971049,HARANGI,12.4948912,75.8392181
37,870.495,1.4456041742369965,HARANGI,12.4948912,75.8392181
38,870.1544444444444,1.7789541246973437,HARANGI,12.4948912,75.8392181
39,870.28,1.1460366486286544,HARANGI,12.4948912,75.8392181
40,869.92,1.8942620123490184,HARANGI,12.4948912,75.8392181
41,869.4133333333334,2.581506343203496,HARANGI,12.4948912,75.8392181
42,869.4022222222222,2.7412715014103193,HARANGI,12.4948912,75.8392181
43,868.9888888888888,3.153694042089548,HARANGI,12.4948912,75.8392181
44,771.0422222222222,288.9465824671482,HARANGI,12.4948912,75.8392181
45,866.7322222222223,4.52543859139029,HARANGI,12.4948912,75.8392181
46,865.2766666666666,5.376083611700982,HARANGI,12.4948912,75.8392181
47,863.6025,5.968533560024859,HARANGI,12.4948912,75.8392181
48,862.7444444444444,6.082777143523992,HARANGI,12.4948912,75.8392181
49,861.30375,6.500920676554781,HARANGI,12.4948912,75.8392181
50,860.47375,6.502384040818066,HARANGI,12.4948912,75.8392181
51,860.0666666666667,6.04410870186829,HARANGI,12.4948912,75.8392181
52,860.045,6.356180344470146,HARANGI,12.4948912,75.8392181
53,854.3199999999999,7.170062761231622,HARANGI,12.4948912,75.8392181
