WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,178.90333333333334,1.258676553633496,HATHMATI,23.5378487,72.899316
2,178.335,1.4582752369380312,HATHMATI,23.5378487,72.899316
3,178.472,1.4114070993161476,HATHMATI,23.5378487,72.899316
4,178.294,1.3594410616131851,HATHMATI,23.5378487,72.899316
5,178.05,1.5597275403095219,HATHMATI,23.5378487,72.899316
6,177.892,1.6100217389836653,HATHMATI,23.5378487,72.899316
7,177.39249999999998,1.6626359593529045,HATHMATI,23.5378487,72.899316
8,177.392,1.8208294813078967,HATHMATI,23.5378487,72.899316
9,177.8725,1.2511694529519108,HATHMATI,23.5378487,72.899316
10,177.7225,1.169540508062887,HATHMATI,23.5378487,72.899316
11,176.778,2.2077182791289354,HATHMATI,23.5378487,72.899316
12,176.74200000000002,2.1865200662239466,HATHMATI,23.5378487,72.899316
13,177.5775,1.1521971764126804,HATHMATI,23.5378487,72.899316
14,177.515,1.1504347004502227,HATHMATI,23.5378487,72.899316
15,177.4775,1.1652574822759223,HATHMATI,23.5378487,72.899316
16,177.425,1.150434700450224,HATHMATI,23.5378487,72.899316
17,177.37,1.1373653766490228,HATHMATI,23.5378487,72.899316
18,176.422,2.213406876288232,HATHMATI,23.5378487,72.899316
19,176.362,2.213406876288232,HATHMATI,23.5378487,72.899316
20,175.9825,2.47808225583145,HATHMATI,23.5378487,72.899316
21,176.21599999999998,2.2682548357713115,HATHMATI,23.5378487,72.899316
22,177.07999999999998,1.1293065718985846,HATHMATI,23.5378487,72.899316
23,176.028,2.3372355465378227,HATHMATI,23.5378487,72.899316
24,176.93,1.1540363945734216,HATHMATI,23.5378487,72.899316
25,176.14249999999998,2.6908657219068663,HATHMATI,23.5378487,72.899316
26,176.10500000000002,2.707846622933672,HATHMATI,23.5378487,72.899316
27,176.265,2.5994037777921375,HATHMATI,23.5378487,72.899316
28,176.4325,2.1604224123999507,HATHMATI,23.5378487,72.899316
29,176.66750000000002,1.6840303837322308,HATHMATI,23.5378487,72.899316
30,176.9975,1.2327307086302415,HATHMATI,23.5378487,72.899316
31,177.1,1.1153474794879015,HATHMATI,23.5378487,72.899316
32,176.53,1.7203197377231916,HATHMATI,23.5378487,72.899316
33,177.476,1.8299535513230878,HATHMATI,23.5378487,72.899316
34,177.954,2.0244085556033506,HATHMATI,23.5378487,72.899316
35,178.43800000000002,2.0704516415507084,HATHMATI,23.5378487,72.899316
36,178.748,2.076359795411185,HATHMATI,23.5378487,72.899316
37,178.984,1.8102983179575738,HATHMATI,23.5378487,72.899316
38,179.12800000000001,1.648975439477504,HATHMATI,23.5378487,72.899316
39,179.188,1.5949200606926979,HATHMATI,23.5378487,72.899316
40,179.4825,1.2803742942332614,HATHMATI,23.5378487,72.899316
41,179.798,1.2801445230910509,HATHMATI,23.5378487,72.899316
42,179.96166666666667,1.2234282433664276,HATHMATI,23.5378487,72.899316
43,179.5675,1.4028869044462045,HATHMATI,23.5378487,72.899316
44,179.788,1.3255263105649744,HATHMATI,23.5378487,72.899316
45,179.76600000000002,1.3478612688255425,HATHMATI,23.5378487,72.899316
46,179.738,1.3498407313457355,HATHMATI,23.5378487,72.899316
47,179.405,1.438181722407379,HATHMATI,23.5378487,72.899316
48,179.48399999999998,1.3532479447610541,HATHMATI,23.5378487,72.899316
49,179.0625,1.434395923957778,HATHMATI,23.5378487,72.899316
50,178.88,1.4789410626075115,HATHMATI,23.5378487,72.899316
51,179.046,1.394858415754089,HATHMATI,23.5378487,72.899316
52,178.918,1.383047359998928,HATHMATI,23.5378487,72.899316
53,179.65,,HATHMATI,23.5378487,72.899316
