WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,881.5728571428572,4.580348292017819,HEMAVATHY,13.1463734,76.4483751
2,880.0755555555556,4.778274037534635,HEMAVATHY,13.1463734,76.4483751
3,879.8922222222222,4.752361985838642,HEMAVATHY,13.1463734,76.4483751
4,879.7344444444444,4.797267740889351,HEMAVATHY,13.1463734,76.4483751
5,879.6455555555555,4.801635427411941,HEMAVATHY,13.1463734,76.4483751
6,879.531111111111,4.838567568104394,HEMAVATHY,13.1463734,76.4483751
7,878.87625,4.935877219762581,HEMAVATHY,13.1463734,76.4483751
8,879.3044444444445,4.899676293162444,HEMAVATHY,13.1463734,76.4483751
9,878.09875,4.80309554201397,HEMAVATHY,13.1463734,76.4483751
10,877.90375,4.807431561061028,HEMAVATHY,13.1463734,76.4483751
11,878.5388888888889,5.081051673729679,HEMAVATHY,13.1463734,76.4483751
12,878.2911111111111,5.103678684156281,HEMAVATHY,13.1463734,76.4483751
13,877.27,4.8121869100381875,HEMAVATHY,13.1463734,76.4483751
14,877.10375,4.8250949287478795,HEMAVATHY,13.1463734,76.4483751
15,876.84625,4.74690256152066,HEMAVATHY,13.1463734,76.4483751
16,876.63875,4.755028729070488,HEMAVATHY,13.1463734,76.4483751
17,876.46,4.716006179566987,HEMAVATHY,13.1463734,76.4483751
18,877.1844444444445,5.213358109489299,HEMAVATHY,13.1463734,76.4483751
19,877.0677777777778,5.269439670823105,HEMAVATHY,13.1463734,76.4483751
20,877.0544444444445,5.37106393350312,HEMAVATHY,13.1463734,76.4483751
21,878.0875,4.973020783616878,HEMAVATHY,13.1463734,76.4483751
22,876.9914285714286,4.043914887710618,HEMAVATHY,13.1463734,76.4483751
23,876.8688888888888,4.952424770868427,HEMAVATHY,13.1463734,76.4483751
24,876.44875,4.094401883757176,HEMAVATHY,13.1463734,76.4483751
25,878.4225,5.570641794263907,HEMAVATHY,13.1463734,76.4483751
26,879.1522222222222,5.272762031842864,HEMAVATHY,13.1463734,76.4483751
27,881.048888888889,5.032008655707106,HEMAVATHY,13.1463734,76.4483751
28,881.2885714285715,6.387710671206677,HEMAVATHY,13.1463734,76.4483751
29,884.54375,4.522132674808578,HEMAVATHY,13.1463734,76.4483751
30,885.9057142857143,3.8266515264343126,HEMAVATHY,13.1463734,76.4483751
31,886.90875,3.567814206805867,HEMAVATHY,13.1463734,76.4483751
32,776.26875,313.6717301546543,HEMAVATHY,13.1463734,76.4483751
33,888.0200000000001,3.347645939064244,HEMAVATHY,13.1463734,76.4483751
34,888.0588888888889,2.949205165991539,HEMAVATHY,13.1463734,76.4483751
35,887.5633333333333,3.2533751704960334,HEMAVATHY,13.1463734,76.4483751
36,887.2475000000001,3.9730152277584136,HEMAVATHY,13.1463734,76.4483751
37,886.40375,5.230271605894722,HEMAVATHY,13.1463734,76.4483751
38,885.7411111111111,5.3057432194850325,HEMAVATHY,13.1463734,76.4483751
39,885.30375,5.403572726843375,HEMAVATHY,13.1463734,76.4483751
40,884.9725,5.050243982790732,HEMAVATHY,13.1463734,76.4483751
41,885.0433333333334,5.47267302147683,HEMAVATHY,13.1463734,76.4483751
42,884.8866666666667,5.518679642813094,HEMAVATHY,13.1463734,76.4483751
43,788.6522222222222,285.6697356554321,HEMAVATHY,13.1463734,76.4483751
44,784.9666666666667,294.41699857515016,HEMAVATHY,13.1463734,76.4483751
45,784.6033333333334,294.2789335392528,HEMAVATHY,13.1463734,76.4483751
46,883.1266666666667,6.068743692066765,HEMAVATHY,13.1463734,76.4483751
47,882.2525,6.146908049696916,HEMAVATHY,13.1463734,76.4483751
48,882.5211111111112,5.776498603056277,HEMAVATHY,13.1463734,76.4483751
49,881.71625,5.854529229579413,HEMAVATHY,13.1463734,76.4483751
50,881.275,5.676032316428702,HEMAVATHY,13.1463734,76.4483751
51,881.1133333333332,5.2636180522526415,HEMAVATHY,13.1463734,76.4483751
52,881.555,4.55485612129672,HEMAVATHY,13.1463734,76.4483751
53,878.24,5.2891587232753885,HEMAVATHY,13.1463734,76.4483751
