WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,158.56428571428572,3.6534087148983496,IDAMALAYAR,10.1925052,76.7211181
2,156.99333333333334,3.667843371792196,IDAMALAYAR,10.1925052,76.7211181
3,156.32666666666668,3.456855507538605,IDAMALAYAR,10.1925052,76.7211181
4,155.44,3.208749756525119,IDAMALAYAR,10.1925052,76.7211181
5,154.4322222222222,3.0429581732985485,IDAMALAYAR,10.1925052,76.7211181
6,153.49444444444444,3.005865562159724,IDAMALAYAR,10.1925052,76.7211181
7,152.38,3.007894375045198,IDAMALAYAR,10.1925052,76.7211181
8,151.34,2.784492772481189,IDAMALAYAR,10.1925052,76.7211181
9,149.575,2.1503023043283878,IDAMALAYAR,10.1925052,76.7211181
10,148.48625,2.110348227865998,IDAMALAYAR,10.1925052,76.7211181
11,147.84666666666666,2.5225780463644614,IDAMALAYAR,10.1925052,76.7211181
12,146.77444444444444,2.428719369910359,IDAMALAYAR,10.1925052,76.7211181
13,145.22333333333333,2.212577682252072,IDAMALAYAR,10.1925052,76.7211181
14,143.43,2.512979639126965,IDAMALAYAR,10.1925052,76.7211181
15,142.23875,2.2554723135394186,IDAMALAYAR,10.1925052,76.7211181
16,140.83,2.4852996370084424,IDAMALAYAR,10.1925052,76.7211181
17,139.51,2.6165626306282057,IDAMALAYAR,10.1925052,76.7211181
18,138.5,2.8756434062658025,IDAMALAYAR,10.1925052,76.7211181
19,137.48333333333332,3.1144501922490297,IDAMALAYAR,10.1925052,76.7211181
20,136.3111111111111,3.4421048954253406,IDAMALAYAR,10.1925052,76.7211181
21,135.385,4.2722058537882805,IDAMALAYAR,10.1925052,76.7211181
22,133.6042857142857,4.512519093746707,IDAMALAYAR,10.1925052,76.7211181
23,132.99777777777777,4.764511459157638,IDAMALAYAR,10.1925052,76.7211181
24,132.9875,4.802421264320737,IDAMALAYAR,10.1925052,76.7211181
25,133.95375,6.344320153829384,IDAMALAYAR,10.1925052,76.7211181
26,134.96333333333334,6.468939248439419,IDAMALAYAR,10.1925052,76.7211181
27,137.52,7.509948401953236,IDAMALAYAR,10.1925052,76.7211181
28,141.04285714285714,6.762143926018623,IDAMALAYAR,10.1925052,76.7211181
29,145.35500000000002,9.222653786039174,IDAMALAYAR,10.1925052,76.7211181
30,146.01285714285714,7.344763926965737,IDAMALAYAR,10.1925052,76.7211181
31,149.94125,9.826842884234408,IDAMALAYAR,10.1925052,76.7211181
32,148.5575,8.318692805964165,IDAMALAYAR,10.1925052,76.7211181
33,151.70857142857145,6.675585938256468,IDAMALAYAR,10.1925052,76.7211181
34,154.12,7.3863692027951044,IDAMALAYAR,10.1925052,76.7211181
35,155.11777777777777,6.816518132041047,IDAMALAYAR,10.1925052,76.7211181
36,156.66375,6.5343136867725455,IDAMALAYAR,10.1925052,76.7211181
37,157.67625,5.855900412648524,IDAMALAYAR,10.1925052,76.7211181
38,157.5,5.692563130963072,IDAMALAYAR,10.1925052,76.7211181
39,157.8025,5.798164118309956,IDAMALAYAR,10.1925052,76.7211181
40,157.72125,5.01377085777618,IDAMALAYAR,10.1925052,76.7211181
41,158.482,4.480326872995863,IDAMALAYAR,10.1925052,76.7211181
42,159.0325,5.205038081375727,IDAMALAYAR,10.1925052,76.7211181
43,159.30444444444444,4.94720656307959,IDAMALAYAR,10.1925052,76.7211181
44,159.26,4.854817195322606,IDAMALAYAR,10.1925052,76.7211181
45,141.43666666666667,53.23829683601834,IDAMALAYAR,10.1925052,76.7211181
46,159.32777777777778,4.4644310325554795,IDAMALAYAR,10.1925052,76.7211181
47,158.7875,4.28340902286284,IDAMALAYAR,10.1925052,76.7211181
48,159.25777777777776,4.22703139856382,IDAMALAYAR,10.1925052,76.7211181
49,158.6325,4.1979510308176335,IDAMALAYAR,10.1925052,76.7211181
50,158.51,4.106093033529566,IDAMALAYAR,10.1925052,76.7211181
51,158.59444444444443,4.047965881498731,IDAMALAYAR,10.1925052,76.7211181
52,158.71625,3.725817024492751,IDAMALAYAR,10.1925052,76.7211181
53,156.635,6.158900064134845,IDAMALAYAR,10.1925052,76.7211181
