WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,295.5,4.186072144624332,JAISAMAND,24.2408582,73.9493619
2,295.275,4.263853890554922,JAISAMAND,24.2408582,73.9493619
3,295.08500000000004,4.136574669941299,JAISAMAND,24.2408582,73.9493619
4,294.885,4.2779960261786005,JAISAMAND,24.2408582,73.9493619
5,293.01,1.7677669529663689,JAISAMAND,24.2408582,73.9493619
6,292.89,1.7394826817188724,JAISAMAND,24.2408582,73.9493619
7,292.65,1.8243354954613014,JAISAMAND,24.2408582,73.9493619
8,292.44000000000005,1.8101933598375834,JAISAMAND,24.2408582,73.9493619
9,292.24,1.8101933598375834,JAISAMAND,24.2408582,73.9493619
10,292.01,1.7677669529663689,JAISAMAND,24.2408582,73.9493619
11,291.93,1.796051224213805,JAISAMAND,24.2408582,73.9493619
12,291.91999999999996,1.8101933598375433,JAISAMAND,24.2408582,73.9493619
13,290.66499999999996,0.06363961030679169,JAISAMAND,24.2408582,73.9493619
14,291.90999999999997,1.8243354954612614,JAISAMAND,24.2408582,73.9493619
15,291.68,2.1496046148070787,JAISAMAND,24.2408582,73.9493619
16,291.895,1.8172644276494423,JAISAMAND,24.2408582,73.9493619
17,291.505,2.057680733252831,JAISAMAND,24.2408582,73.9493619
18,291.71,1.7677669529663689,JAISAMAND,24.2408582,73.9493619
19,291.65999999999997,1.8384776310849793,JAISAMAND,24.2408582,73.9493619
20,291.56,1.8384776310850397,JAISAMAND,24.2408582,73.9493619
21,291.525,1.8879751057681133,JAISAMAND,24.2408582,73.9493619
22,290.41499999999996,0.41719300090002526,JAISAMAND,24.2408582,73.9493619
23,291.1766666666667,1.4283673663778793,JAISAMAND,24.2408582,73.9493619
24,291.33000000000004,1.880904037956254,JAISAMAND,24.2408582,73.9493619
25,291.58500000000004,1.3505739520663034,JAISAMAND,24.2408582,73.9493619
26,291.6,1.4707821048679874,JAISAMAND,24.2408582,73.9493619
27,291.645,1.435426765808692,JAISAMAND,24.2408582,73.9493619
28,291.725,1.4354267658087325,JAISAMAND,24.2408582,73.9493619
29,291.725,1.435426765808692,JAISAMAND,24.2408582,73.9493619
30,291.765,1.4919953083036248,JAISAMAND,24.2408582,73.9493619
31,291.825,1.5768481220460138,JAISAMAND,24.2408582,73.9493619
32,291.845,1.6051323932935102,JAISAMAND,24.2408582,73.9493619
33,294.525,2.1566756826189577,JAISAMAND,24.2408582,73.9493619
34,296.00666666666666,2.5692086978938242,JAISAMAND,24.2408582,73.9493619
35,293.06,,JAISAMAND,24.2408582,73.9493619
36,295.815,3.8961583643378703,JAISAMAND,24.2408582,73.9493619
37,295.91999999999996,4.0446507883870515,JAISAMAND,24.2408582,73.9493619
38,296.075,3.9527269068328232,JAISAMAND,24.2408582,73.9493619
39,296.215,4.065863991822648,JAISAMAND,24.2408582,73.9493619
40,293.44,,JAISAMAND,24.2408582,73.9493619
41,296.265,3.9951533137039776,JAISAMAND,24.2408582,73.9493619
42,296.255,4.009295449327696,JAISAMAND,24.2408582,73.9493619
43,149.69,203.20834677739003,JAISAMAND,24.2408582,73.9493619
44,149.67,203.18006250614255,JAISAMAND,24.2408582,73.9493619
45,149.66,203.16592037051882,JAISAMAND,24.2408582,73.9493619
46,296.18499999999995,4.108290398693823,JAISAMAND,24.2408582,73.9493619
47,296.115,4.179001076812473,JAISAMAND,24.2408582,73.9493619
48,295.95500000000004,4.263853890554882,JAISAMAND,24.2408582,73.9493619
49,295.885,4.2779960261786005,JAISAMAND,24.2408582,73.9493619
50,295.865,4.306280297426097,JAISAMAND,24.2408582,73.9493619
51,295.72,4.1295036021294,JAISAMAND,24.2408582,73.9493619
52,295.655,4.094148263070104,JAISAMAND,24.2408582,73.9493619
