WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,693.0199999999999,1.6579706471064886,KABINI,12.0140065,76.4152088
2,692.6622222222222,2.063000107717999,KABINI,12.0140065,76.4152088
3,692.6266666666667,2.097391236751046,KABINI,12.0140065,76.4152088
4,692.5777777777778,2.117768741965094,KABINI,12.0140065,76.4152088
5,692.4888888888888,2.1895173237750716,KABINI,12.0140065,76.4152088
6,692.3288888888889,2.273402980360289,KABINI,12.0140065,76.4152088
7,691.79,2.217501811885223,KABINI,12.0140065,76.4152088
8,691.781111111111,2.275518866349184,KABINI,12.0140065,76.4152088
9,691.15,2.254569962162585,KABINI,12.0140065,76.4152088
10,690.6424999999999,2.300669157316769,KABINI,12.0140065,76.4152088
11,690.4755555555556,2.2368902024412924,KABINI,12.0140065,76.4152088
12,690.2166666666667,2.116482931658078,KABINI,12.0140065,76.4152088
13,689.65125,2.084263744621314,KABINI,12.0140065,76.4152088
14,689.285,2.017140833669551,KABINI,12.0140065,76.4152088
15,688.8675000000001,1.978518565565093,KABINI,12.0140065,76.4152088
16,688.49125,1.943439054136467,KABINI,12.0140065,76.4152088
17,688.2075,1.9123639073894367,KABINI,12.0140065,76.4152088
18,688.05,1.9012035661653837,KABINI,12.0140065,76.4152088
19,687.7922222222222,1.8733911616222516,KABINI,12.0140065,76.4152088
20,687.8011111111111,2.030181300059461,KABINI,12.0140065,76.4152088
21,688.0550000000001,2.1685742518332694,KABINI,12.0140065,76.4152088
22,687.8514285714285,2.2864997162433487,KABINI,12.0140065,76.4152088
23,687.6544444444445,2.3206955375011495,KABINI,12.0140065,76.4152088
24,688.16125,3.154373098233188,KABINI,12.0140065,76.4152088
25,688.9712499999999,4.008980766443534,KABINI,12.0140065,76.4152088
26,689.8777777777777,3.3872473255498288,KABINI,12.0140065,76.4152088
27,691.5711111111111,3.2212825258134195,KABINI,12.0140065,76.4152088
28,692.9628571428572,2.247366713034855,KABINI,12.0140065,76.4152088
29,693.83625,2.0312693955117527,KABINI,12.0140065,76.4152088
30,694.63,1.296508130839651,KABINI,12.0140065,76.4152088
31,694.85625,1.472926508689417,KABINI,12.0140065,76.4152088
32,608.48375,243.681873347638,KABINI,12.0140065,76.4152088
33,694.7414285714286,1.7966026139302145,KABINI,12.0140065,76.4152088
34,694.9022222222222,1.4983639225650058,KABINI,12.0140065,76.4152088
35,694.8311111111111,1.2001400381251952,KABINI,12.0140065,76.4152088
36,694.98,1.2115397523104996,KABINI,12.0140065,76.4152088
37,695.0575,1.4538004382602625,KABINI,12.0140065,76.4152088
38,695.0377777777778,1.5857945782618015,KABINI,12.0140065,76.4152088
39,694.625,1.56009157240389,KABINI,12.0140065,76.4152088
40,694.5174999999999,1.6509196571262057,KABINI,12.0140065,76.4152088
41,694.49,1.7869597085553124,KABINI,12.0140065,76.4152088
42,694.7544444444444,1.7750219090979513,KABINI,12.0140065,76.4152088
43,617.99,229.54954693921746,KABINI,12.0140065,76.4152088
44,617.76,229.6141221157793,KABINI,12.0140065,76.4152088
45,617.5633333333333,229.77966930300863,KABINI,12.0140065,76.4152088
46,694.0433333333333,2.0150310171310357,KABINI,12.0140065,76.4152088
47,693.5055555555556,2.0490980400600307,KABINI,12.0140065,76.4152088
48,693.635,1.8624331243986039,KABINI,12.0140065,76.4152088
49,693.18375,2.047102045750118,KABINI,12.0140065,76.4152088
50,692.98375,2.0952663485649055,KABINI,12.0140065,76.4152088
51,692.7755555555556,1.9845031564040736,KABINI,12.0140065,76.4152088
52,693.11875,1.6018778043284085,KABINI,12.0140065,76.4152088
53,691.375,1.2657211383238944,KABINI,12.0140065,76.4152088
