WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,208.27,,KADDAM (K.N.R.),19.0991812,78.7800368
2,208.21,,KADDAM (K.N.R.),19.0991812,78.7800368
3,208.13,,KADDAM (K.N.R.),19.0991812,78.7800368
4,208.0,,KADDAM (K.N.R.),19.0991812,78.7800368
5,207.87,,KADDAM (K.N.R.),19.0991812,78.7800368
6,207.43,,KADDAM (K.N.R.),19.0991812,78.7800368
7,206.81,,KADDAM (K.N.R.),19.0991812,78.7800368
8,206.62,,KADDAM (K.N.R.),19.0991812,78.7800368
9,206.49,,KADDAM (K.N.R.),19.0991812,78.7800368
10,206.37,,KADDAM (K.N.R.),19.0991812,78.7800368
11,206.24,,KADDAM (K.N.R.),19.0991812,78.7800368
12,206.11,,KADDAM (K.N.R.),19.0991812,78.7800368
13,205.99,,KADDAM (K.N.R.),19.0991812,78.7800368
14,205.85,,KADDAM (K.N.R.),19.0991812,78.7800368
15,205.76,,KADDAM (K.N.R.),19.0991812,78.7800368
16,205.57,,KADDAM (K.N.R.),19.0991812,78.7800368
17,205.43,,KADDAM (K.N.R.),19.0991812,78.7800368
18,205.28,,KADDAM (K.N.R.),19.0991812,78.7800368
19,205.21,,KADDAM (K.N.R.),19.0991812,78.7800368
20,205.11,,KADDAM (K.N.R.),19.0991812,78.7800368
21,205.02,,KADDAM (K.N.R.),19.0991812,78.7800368
22,204.89,,KADDAM (K.N.R.),19.0991812,78.7800368
23,204.8,,KADDAM (K.N.R.),19.0991812,78.7800368
24,204.69,,KADDAM (K.N.R.),19.0991812,78.7800368
35,212.2,,KADDAM (K.N.R.),19.0991812,78.7800368
36,212.17,,KADDAM (K.N.R.),19.0991812,78.7800368
37,212.58,,KADDAM (K.N.R.),19.0991812,78.7800368
38,212.33,,KADDAM (K.N.R.),19.0991812,78.7800368
39,213.17,,KADDAM (K.N.R.),19.0991812,78.7800368
40,213.06,,KADDAM (K.N.R.),19.0991812,78.7800368
41,211.89,,KADDAM (K.N.R.),19.0991812,78.7800368
42,211.14,,KADDAM (K.N.R.),19.0991812,78.7800368
43,210.61,,KADDAM (K.N.R.),19.0991812,78.7800368
44,209.84,,KADDAM (K.N.R.),19.0991812,78.7800368
45,208.95,,KADDAM (K.N.R.),19.0991812,78.7800368
46,208.21,,KADDAM (K.N.R.),19.0991812,78.7800368
47,208.09,,KADDAM (K.N.R.),19.0991812,78.7800368
48,208.13,,KADDAM (K.N.R.),19.0991812,78.7800368
49,208.29,,KADDAM (K.N.R.),19.0991812,78.7800368
50,208.38,,KADDAM (K.N.R.),19.0991812,78.7800368
51,208.39,,KADDAM (K.N.R.),19.0991812,78.7800368
52,208.34,,KADDAM (K.N.R.),19.0991812,78.7800368
