WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,976.0500000000001,1.816461762144565,KAKKI,,
2,974.1555555555556,3.8143122286695346,KAKKI,,
3,973.7877777777778,3.9470868301121222,KAKKI,,
4,973.2755555555555,3.837613552427805,KAKKI,,
5,972.6477777777777,3.7672064509984655,KAKKI,,
6,972.0477777777778,3.7450326359651713,KAKKI,,
7,971.60375,3.8905340709397196,KAKKI,,
8,970.7344444444445,3.6345154804702244,KAKKI,,
9,969.75375,3.7432260246248505,KAKKI,,
10,968.90125,3.701723295593944,KAKKI,,
11,967.8488888888888,3.5099374796584626,KAKKI,,
12,859.4599999999999,322.31498390549575,KAKKI,,
13,965.321111111111,3.694950758956184,KAKKI,,
14,964.5885714285714,4.786221295104754,KAKKI,,
15,962.455,4.228427603731633,KAKKI,,
16,960.675,4.340862323811417,KAKKI,,
17,958.7275,4.583525623671954,KAKKI,,
18,956.4433333333333,4.370397579168247,KAKKI,,
19,954.3011111111113,4.574900120342631,KAKKI,,
20,952.1388888888889,5.451012393226694,KAKKI,,
21,951.74625,5.414662468045171,KAKKI,,
22,949.2299999999999,7.821777291638983,KAKKI,,
23,946.7277777777776,8.872524693932679,KAKKI,,
24,946.4475,11.188943203001813,KAKKI,,
25,947.02,13.314766239029495,KAKKI,,
26,948.0022222222223,12.131019925976746,KAKKI,,
27,951.7544444444445,11.416317391250882,KAKKI,,
28,956.5328571428571,8.520097249612624,KAKKI,,
29,960.07875,10.704269425260678,KAKKI,,
30,960.2928571428572,9.889948962264183,KAKKI,,
31,963.9625,11.244711455359154,KAKKI,,
32,849.82125,323.93359294934424,KAKKI,,
33,966.0114285714286,8.326316569711201,KAKKI,,
34,968.5444444444444,8.044443907305073,KAKKI,,
35,969.1377777777777,7.26519404038491,KAKKI,,
36,971.00875,5.983659743716373,KAKKI,,
37,971.8025,4.906112077224215,KAKKI,,
38,971.4655555555556,4.739501849116386,KAKKI,,
39,971.98,4.6365720095777485,KAKKI,,
40,972.54125,4.3729801459808515,KAKKI,,
41,973.0888888888888,4.037726601828165,KAKKI,,
42,973.7866666666666,4.32519941736796,KAKKI,,
43,874.2766666666666,298.8685893499014,KAKKI,,
44,874.3677777777777,298.98494229550164,KAKKI,,
45,866.8644444444444,322.4742252533957,KAKKI,,
46,974.7199999999999,3.9584971895910064,KAKKI,,
47,974.5725,3.862851463436218,KAKKI,,
48,975.1244444444445,3.5867990991659457,KAKKI,,
49,975.1487500000001,3.812526112322718,KAKKI,,
50,975.12625,3.7467926760287704,KAKKI,,
51,975.3388888888888,3.691525580449217,KAKKI,,
52,975.9962499999999,2.214400515457204,KAKKI,,
53,976.075,2.5243712088359698,KAKKI,,
