WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,129.68,3.2067532905832787,KANGSABATI,22.792957,86.9767406
2,129.04777777777778,3.051101349421943,KANGSABATI,22.792957,86.9767406
3,128.84888888888887,2.893507579238581,KANGSABATI,22.792957,86.9767406
4,128.60444444444445,2.831881490772131,KANGSABATI,22.792957,86.9767406
5,128.20666666666668,2.872429285465527,KANGSABATI,22.792957,86.9767406
6,128.11777777777777,2.8741380350366725,KANGSABATI,22.792957,86.9767406
7,127.38777777777779,2.482109877592937,KANGSABATI,22.792957,86.9767406
8,127.76875,2.747089043748973,KANGSABATI,22.792957,86.9767406
9,126.455,2.2600505683343806,KANGSABATI,22.792957,86.9767406
10,126.03555555555555,2.243279469388017,KANGSABATI,22.792957,86.9767406
11,127.03125,2.44493901472292,KANGSABATI,22.792957,86.9767406
12,126.11500000000001,2.4705161404046736,KANGSABATI,22.792957,86.9767406
13,126.29375,2.284131204012342,KANGSABATI,22.792957,86.9767406
14,124.98142857142857,1.5639632196381545,KANGSABATI,22.792957,86.9767406
15,125.22,1.9226989958314915,KANGSABATI,22.792957,86.9767406
16,125.15875,1.854018319373203,KANGSABATI,22.792957,86.9767406
17,125.15625,1.853205234952983,KANGSABATI,22.792957,86.9767406
18,125.53666666666666,2.1472598818028494,KANGSABATI,22.792957,86.9767406
19,125.42444444444443,1.9753804134337751,KANGSABATI,22.792957,86.9767406
20,125.58,2.0490555315629124,KANGSABATI,22.792957,86.9767406
21,125.13000000000001,2.1808026045472353,KANGSABATI,22.792957,86.9767406
22,125.56166666666667,1.8603162813528995,KANGSABATI,22.792957,86.9767406
23,125.34666666666665,2.0418986262789867,KANGSABATI,22.792957,86.9767406
24,125.13374999999999,1.991330764661098,KANGSABATI,22.792957,86.9767406
25,126.1425,2.431517750588832,KANGSABATI,22.792957,86.9767406
26,125.99444444444445,2.6612643194124446,KANGSABATI,22.792957,86.9767406
27,126.16888888888889,2.792397914178978,KANGSABATI,22.792957,86.9767406
28,126.40857142857143,3.2620005547282838,KANGSABATI,22.792957,86.9767406
29,127.20375,3.009157155369968,KANGSABATI,22.792957,86.9767406
30,128.21571428571428,3.472112023648129,KANGSABATI,22.792957,86.9767406
31,128.49375,3.2149247380659745,KANGSABATI,22.792957,86.9767406
32,112.625,45.59044260744632,KANGSABATI,22.792957,86.9767406
33,128.6542857142857,2.356882525306513,KANGSABATI,22.792957,86.9767406
34,129.80555555555554,2.158686586278278,KANGSABATI,22.792957,86.9767406
35,129.65333333333334,1.9009800104156884,KANGSABATI,22.792957,86.9767406
36,129.93125,2.2939139197948446,KANGSABATI,22.792957,86.9767406
37,130.26375000000002,1.9680297435324974,KANGSABATI,22.792957,86.9767406
38,130.1688888888889,2.120757202300899,KANGSABATI,22.792957,86.9767406
39,129.8375,2.4558138016900677,KANGSABATI,22.792957,86.9767406
40,130.07125,2.4919438052595453,KANGSABATI,22.792957,86.9767406
41,129.94444444444446,2.4143379584842277,KANGSABATI,22.792957,86.9767406
42,129.88444444444445,2.579884256663035,KANGSABATI,22.792957,86.9767406
43,115.10333333333334,43.25657464478665,KANGSABATI,22.792957,86.9767406
44,115.05777777777777,43.24047721110909,KANGSABATI,22.792957,86.9767406
45,115.01666666666668,43.225277905410856,KANGSABATI,22.792957,86.9767406
46,129.33666666666667,2.9356302560097665,KANGSABATI,22.792957,86.9767406
47,128.8722222222222,3.4557046234370903,KANGSABATI,22.792957,86.9767406
48,130.02125,2.33495449634463,KANGSABATI,22.792957,86.9767406
49,129.48874999999998,3.150557490349922,KANGSABATI,22.792957,86.9767406
50,129.525,3.1641925171699476,KANGSABATI,22.792957,86.9767406
51,129.38555555555556,2.9935059341477377,KANGSABATI,22.792957,86.9767406
52,129.31625,3.188837394501563,KANGSABATI,22.792957,86.9767406
53,126.125,3.01934595566655,KANGSABATI,22.792957,86.9767406
