WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,111.69000000000001,3.3680261281646864,KARJAN,21.7118499,73.5043874
2,110.61888888888888,3.244755169671681,KARJAN,21.7118499,73.5043874
3,110.15666666666667,3.3666155111625073,KARJAN,21.7118499,73.5043874
4,109.83444444444444,3.3228681553407697,KARJAN,21.7118499,73.5043874
5,109.09700000000001,3.2733504751757563,KARJAN,21.7118499,73.5043874
6,109.51125,3.252012289117529,KARJAN,21.7118499,73.5043874
7,108.865,3.514854193277436,KARJAN,21.7118499,73.5043874
8,108.4388888888889,3.4592356252662393,KARJAN,21.7118499,73.5043874
9,107.60875,3.567946338081414,KARJAN,21.7118499,73.5043874
10,107.08125,3.581561660584868,KARJAN,21.7118499,73.5043874
11,107.2911111111111,3.543015821459327,KARJAN,21.7118499,73.5043874
12,107.00555555555555,3.512634734466108,KARJAN,21.7118499,73.5043874
13,106.45777777777778,3.44101648418668,KARJAN,21.7118499,73.5043874
14,105.47749999999999,3.6774554479189225,KARJAN,21.7118499,73.5043874
15,104.7225,3.724700371458471,KARJAN,21.7118499,73.5043874
16,103.77142857142857,3.787032385089189,KARJAN,21.7118499,73.5043874
17,103.57375,3.7544561618733274,KARJAN,21.7118499,73.5043874
18,103.49222222222222,4.056675910698863,KARJAN,21.7118499,73.5043874
19,102.98555555555555,4.278767670460475,KARJAN,21.7118499,73.5043874
20,102.1575,4.693137086670887,KARJAN,21.7118499,73.5043874
21,102.23375,4.6182771602158565,KARJAN,21.7118499,73.5043874
22,100.8442857142857,4.5419043624998565,KARJAN,21.7118499,73.5043874
23,100.30000000000001,4.663137355901066,KARJAN,21.7118499,73.5043874
24,99.0125,5.056694996310759,KARJAN,21.7118499,73.5043874
25,98.44,4.839659078902149,KARJAN,21.7118499,73.5043874
26,98.96125,5.105443698361861,KARJAN,21.7118499,73.5043874
27,99.49,4.9823714233284555,KARJAN,21.7118499,73.5043874
28,100.28571428571429,6.41849114445354,KARJAN,21.7118499,73.5043874
29,101.09125,6.109041162782538,KARJAN,21.7118499,73.5043874
30,102.17999999999999,6.678358081644515,KARJAN,21.7118499,73.5043874
31,104.60625,5.678644047154714,KARJAN,21.7118499,73.5043874
32,92.13499999999999,37.34377362521668,KARJAN,21.7118499,73.5043874
33,106.79142857142857,3.885650647237982,KARJAN,21.7118499,73.5043874
34,108.566,3.336878781136651,KARJAN,21.7118499,73.5043874
35,109.08500000000001,3.598090763565747,KARJAN,21.7118499,73.5043874
36,110.275,3.500102039328898,KARJAN,21.7118499,73.5043874
37,111.2525,3.4755544264805507,KARJAN,21.7118499,73.5043874
38,111.98,3.3171335517280554,KARJAN,21.7118499,73.5043874
39,112.4575,3.257092261511791,KARJAN,21.7118499,73.5043874
40,112.89874999999999,2.973643448220188,KARJAN,21.7118499,73.5043874
41,113.33111111111111,2.6373966541100935,KARJAN,21.7118499,73.5043874
42,113.42444444444445,2.581976525411837,KARJAN,21.7118499,73.5043874
43,112.955,2.7455347586783705,KARJAN,21.7118499,73.5043874
44,99.99125,38.448137773035064,KARJAN,21.7118499,73.5043874
45,112.48599999999999,2.982795854749553,KARJAN,21.7118499,73.5043874
46,113.29285714285713,2.217894754684529,KARJAN,21.7118499,73.5043874
47,112.35875,2.911516234836117,KARJAN,21.7118499,73.5043874
48,112.38888888888889,3.0614924646503905,KARJAN,21.7118499,73.5043874
49,111.90125,3.3543040048783426,KARJAN,21.7118499,73.5043874
50,111.7225,3.4717091303440526,KARJAN,21.7118499,73.5043874
51,111.74222222222222,3.3311888935400322,KARJAN,21.7118499,73.5043874
52,111.9875,3.0361477001527537,KARJAN,21.7118499,73.5043874
53,108.92,5.741707063234768,KARJAN,21.7118499,73.5043874
