WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,716.15,,KHANDONG,25.523157,92.6523398
2,714.8,,KHANDONG,25.523157,92.6523398
3,713.2,,KHANDONG,25.523157,92.6523398
4,711.3,,KHANDONG,25.523157,92.6523398
5,709.15,,KHANDONG,25.523157,92.6523398
6,709.2,,KHANDONG,25.523157,92.6523398
7,709.75,,KHANDONG,25.523157,92.6523398
8,710.35,,KHANDONG,25.523157,92.6523398
9,711.25,,KHANDONG,25.523157,92.6523398
10,710.95,,KHANDONG,25.523157,92.6523398
11,710.05,,KHANDONG,25.523157,92.6523398
12,710.5,,KHANDONG,25.523157,92.6523398
13,711.1,,KHANDONG,25.523157,92.6523398
14,711.4,,KHANDONG,25.523157,92.6523398
15,709.3,,KHANDONG,25.523157,92.6523398
16,706.7,,KHANDONG,25.523157,92.6523398
17,707.4,,KHANDONG,25.523157,92.6523398
18,713.55,,KHANDONG,25.523157,92.6523398
19,720.35,,KHANDONG,25.523157,92.6523398
20,719.35,,KHANDONG,25.523157,92.6523398
21,718.7,,KHANDONG,25.523157,92.6523398
22,728.35,,KHANDONG,25.523157,92.6523398
23,720.8,,KHANDONG,25.523157,92.6523398
24,719.45,,KHANDONG,25.523157,92.6523398
35,719.7,,KHANDONG,25.523157,92.6523398
36,719.3,,KHANDONG,25.523157,92.6523398
37,720.9,,KHANDONG,25.523157,92.6523398
38,721.6,,KHANDONG,25.523157,92.6523398
39,722.15,,KHANDONG,25.523157,92.6523398
40,722.2,,KHANDONG,25.523157,92.6523398
41,721.65,,KHANDONG,25.523157,92.6523398
42,722.4,,KHANDONG,25.523157,92.6523398
43,722.4,,KHANDONG,25.523157,92.6523398
44,722.1,,KHANDONG,25.523157,92.6523398
45,721.6,,KHANDONG,25.523157,92.6523398
46,720.95,0.0,KHANDONG,25.523157,92.6523398
48,720.4,,KHANDONG,25.523157,92.6523398
49,719.65,,KHANDONG,25.523157,92.6523398
50,719.3,,KHANDONG,25.523157,92.6523398
51,718.35,,KHANDONG,25.523157,92.6523398
52,717.35,,KHANDONG,25.523157,92.6523398
