WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,456.776,1.6394907746004386,KOLAR DAM,,
2,456.31800000000004,1.6603824860555365,KOLAR DAM,,
3,455.646,1.6722081210184303,KOLAR DAM,,
4,454.796,1.7582036287074636,KOLAR DAM,,
5,454.09400000000005,1.8663145501227947,KOLAR DAM,,
6,453.508,1.459784230631359,KOLAR DAM,,
7,452.7975,1.0903019459458623,KOLAR DAM,,
8,452.83000000000004,1.0153078350923836,KOLAR DAM,,
9,453.07,0.5704968594713358,KOLAR DAM,,
10,453.0571428571429,0.43068605293237294,KOLAR DAM,,
11,452.245,1.0842662649614125,KOLAR DAM,,
12,452.11,1.0890668788769136,KOLAR DAM,,
13,452.43,0.6636264009214758,KOLAR DAM,,
14,452.3925,0.5702850164610708,KOLAR DAM,,
15,452.2375,0.573141925413457,KOLAR DAM,,
16,452.1,0.5751521537819447,KOLAR DAM,,
17,451.96,0.5751521537819249,KOLAR DAM,,
18,451.45200000000006,1.0395287393814532,KOLAR DAM,,
19,451.29200000000003,1.01139507612009,KOLAR DAM,,
20,451.15600000000006,1.0036333992051114,KOLAR DAM,,
21,451.008,0.9993597950688269,KOLAR DAM,,
22,451.265,0.5669509091035307,KOLAR DAM,,
23,450.718,1.0276769920553828,KOLAR DAM,,
24,451.135,0.3652852766446226,KOLAR DAM,,
25,450.635,1.3009868049548647,KOLAR DAM,,
26,450.9625,1.6919884751380214,KOLAR DAM,,
27,450.97,1.8278767281557402,KOLAR DAM,,
28,452.0425,1.1961431073802544,KOLAR DAM,,
29,453.69,2.3849108998032054,KOLAR DAM,,
30,455.21,3.6142864671559436,KOLAR DAM,,
31,455.555,3.615941555574888,KOLAR DAM,,
32,456.02,3.4160893821249454,KOLAR DAM,,
33,455.58599999999996,3.2752908267816263,KOLAR DAM,,
34,456.774,3.1192675422284597,KOLAR DAM,,
35,458.608,2.5718514731609226,KOLAR DAM,,
36,459.288,2.456312276564203,KOLAR DAM,,
37,460.27200000000005,2.3159166651673777,KOLAR DAM,,
38,460.994,1.6959009405033179,KOLAR DAM,,
39,461.192,1.3858282721896096,KOLAR DAM,,
40,461.06,1.4390506129621385,KOLAR DAM,,
41,461.304,1.3564770547266796,KOLAR DAM,,
42,461.36400000000003,1.2504719109200162,KOLAR DAM,,
43,461.10249999999996,1.3098186897429818,KOLAR DAM,,
44,461.23400000000004,1.2151049337402928,KOLAR DAM,,
45,460.942,1.273958398064868,KOLAR DAM,,
46,460.51000000000005,1.4599486292332375,KOLAR DAM,,
47,460.095,1.8548405142581061,KOLAR DAM,,
48,459.812,1.7511624710460199,KOLAR DAM,,
49,459.13,1.574865073585673,KOLAR DAM,,
50,458.6525,1.6734669601359689,KOLAR DAM,,
51,458.166,1.5538114428720005,KOLAR DAM,,
52,457.58000000000004,1.5886472232689182,KOLAR DAM,,
53,456.88,,KOLAR DAM,,
