WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,641.212,0.19690099034793562,KOL DAM,31.3826712,76.8815127
2,641.312,0.3515252480263504,KOL DAM,31.3826712,76.8815127
3,641.078,0.581136816937279,KOL DAM,31.3826712,76.8815127
4,641.024,0.7484851367929425,KOL DAM,31.3826712,76.8815127
5,640.936,0.9842916234530947,KOL DAM,31.3826712,76.8815127
6,640.908,0.8664121421125217,KOL DAM,31.3826712,76.8815127
7,640.5525,1.1690843995766123,KOL DAM,31.3826712,76.8815127
8,640.5600000000001,1.3048179949709215,KOL DAM,31.3826712,76.8815127
9,640.1775,1.8358354138284465,KOL DAM,31.3826712,76.8815127
10,640.1949999999999,2.0320843158360535,KOL DAM,31.3826712,76.8815127
11,640.314,1.9408580576642063,KOL DAM,31.3826712,76.8815127
12,640.2180000000001,1.9266992500128062,KOL DAM,31.3826712,76.8815127
13,640.2075,1.9879365348689564,KOL DAM,31.3826712,76.8815127
14,640.14,1.9158114033832705,KOL DAM,31.3826712,76.8815127
15,640.1175000000001,1.8015063141715588,KOL DAM,31.3826712,76.8815127
16,640.19,1.587366792311546,KOL DAM,31.3826712,76.8815127
17,639.7475,1.4607389682394862,KOL DAM,31.3826712,76.8815127
18,640.054,1.4436862540039375,KOL DAM,31.3826712,76.8815127
19,639.808,1.1942863978124798,KOL DAM,31.3826712,76.8815127
20,639.415,1.1177507175871395,KOL DAM,31.3826712,76.8815127
21,638.594,0.7813961863229025,KOL DAM,31.3826712,76.8815127
22,638.695,1.5989267233574558,KOL DAM,31.3826712,76.8815127
23,638.0,1.200229144788587,KOL DAM,31.3826712,76.8815127
24,637.985,0.7485764267372743,KOL DAM,31.3826712,76.8815127
25,638.1025,1.324874207865255,KOL DAM,31.3826712,76.8815127
26,638.605,1.3295237242461113,KOL DAM,31.3826712,76.8815127
27,639.3375,1.0784672765859122,KOL DAM,31.3826712,76.8815127
28,637.98,0.5504543577809143,KOL DAM,31.3826712,76.8815127
29,638.1475,0.573141925413473,KOL DAM,31.3826712,76.8815127
30,638.3625,1.0800424374378579,KOL DAM,31.3826712,76.8815127
31,638.1625,0.4930432705824698,KOL DAM,31.3826712,76.8815127
32,638.6975,1.2660272508914854,KOL DAM,31.3826712,76.8815127
33,638.0600000000001,0.7183313998426986,KOL DAM,31.3826712,76.8815127
34,639.14,0.6462713568359894,KOL DAM,31.3826712,76.8815127
35,639.6925,1.5211043137580333,KOL DAM,31.3826712,76.8815127
36,640.0899999999999,1.1911758896149611,KOL DAM,31.3826712,76.8815127
37,639.928,0.9220466365645655,KOL DAM,31.3826712,76.8815127
38,640.192,0.5572880763124471,KOL DAM,31.3826712,76.8815127
39,640.642,0.3584968619109286,KOL DAM,31.3826712,76.8815127
40,640.655,1.0684724298423995,KOL DAM,31.3826712,76.8815127
41,640.9739999999999,0.3282986445296287,KOL DAM,31.3826712,76.8815127
42,641.24,0.09300537618868522,KOL DAM,31.3826712,76.8815127
43,641.296,0.16979399282665888,KOL DAM,31.3826712,76.8815127
44,641.322,0.3206555784638504,KOL DAM,31.3826712,76.8815127
45,641.368,0.27985710639538003,KOL DAM,31.3826712,76.8815127
46,641.386,0.27097970403704785,KOL DAM,31.3826712,76.8815127
47,641.265,0.1300000000000523,KOL DAM,31.3826712,76.8815127
48,641.346,0.25491174943498524,KOL DAM,31.3826712,76.8815127
49,641.365,0.23951339558922335,KOL DAM,31.3826712,76.8815127
50,641.3725,0.13671747023209693,KOL DAM,31.3826712,76.8815127
51,641.4440000000001,0.14293355099487595,KOL DAM,31.3826712,76.8815127
52,641.3199999999999,0.20579115627255587,KOL DAM,31.3826712,76.8815127
53,641.26,,KOL DAM,31.3826712,76.8815127
