WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,276.0128571428571,4.47998777634386,LOWER BHAWANI,27.709805,85.6071765
2,274.32,6.19186765039434,LOWER BHAWANI,27.709805,85.6071765
3,274.00444444444446,6.236395415444542,LOWER BHAWANI,27.709805,85.6071765
4,273.59,6.368111965096089,LOWER BHAWANI,27.709805,85.6071765
5,273.2366666666667,6.512309498173453,LOWER BHAWANI,27.709805,85.6071765
6,272.7055555555555,6.636090925972747,LOWER BHAWANI,27.709805,85.6071765
7,271.2975,6.540091196393444,LOWER BHAWANI,27.709805,85.6071765
8,271.84,6.499076857523694,LOWER BHAWANI,27.709805,85.6071765
9,270.765,6.563909984583443,LOWER BHAWANI,27.709805,85.6071765
10,270.16125,6.5745883901579765,LOWER BHAWANI,27.709805,85.6071765
11,270.41555555555556,6.311458054822002,LOWER BHAWANI,27.709805,85.6071765
12,270.0888888888889,6.301169424091921,LOWER BHAWANI,27.709805,85.6071765
13,268.7025,6.625939825521264,LOWER BHAWANI,27.709805,85.6071765
14,268.1325,6.576177243874834,LOWER BHAWANI,27.709805,85.6071765
15,267.94375,6.543688207512863,LOWER BHAWANI,27.709805,85.6071765
16,267.22375,6.979619182202664,LOWER BHAWANI,27.709805,85.6071765
17,266.65999999999997,6.8659054131889405,LOWER BHAWANI,27.709805,85.6071765
18,267.23333333333335,6.534164062831608,LOWER BHAWANI,27.709805,85.6071765
19,267.1355555555555,6.643863919270004,LOWER BHAWANI,27.709805,85.6071765
20,267.1433333333333,6.586994762408712,LOWER BHAWANI,27.709805,85.6071765
21,268.3775,6.0873915361413875,LOWER BHAWANI,27.709805,85.6071765
22,267.93,5.884499412297818,LOWER BHAWANI,27.709805,85.6071765
23,267.8688888888889,5.91608072215982,LOWER BHAWANI,27.709805,85.6071765
24,267.73,5.659454794538823,LOWER BHAWANI,27.709805,85.6071765
25,269.15375,6.107533842956359,LOWER BHAWANI,27.709805,85.6071765
26,269.44,5.807366012229643,LOWER BHAWANI,27.709805,85.6071765
27,270.33666666666664,5.361739456556973,LOWER BHAWANI,27.709805,85.6071765
28,271.4871428571428,5.879729909572711,LOWER BHAWANI,27.709805,85.6071765
29,272.755,5.861896328956076,LOWER BHAWANI,27.709805,85.6071765
30,272.9614285714286,5.721964780770752,LOWER BHAWANI,27.709805,85.6071765
31,273.8275,5.619470615636324,LOWER BHAWANI,27.709805,85.6071765
32,239.48,96.62802166777797,LOWER BHAWANI,27.709805,85.6071765
33,274.26714285714286,6.232909203803395,LOWER BHAWANI,27.709805,85.6071765
34,274.8755555555556,5.721134308664472,LOWER BHAWANI,27.709805,85.6071765
35,274.7288888888889,5.597460237564099,LOWER BHAWANI,27.709805,85.6071765
36,274.90375,5.859326966469792,LOWER BHAWANI,27.709805,85.6071765
37,275.04,5.700333323587302,LOWER BHAWANI,27.709805,85.6071765
38,274.7944444444445,5.341317981339232,LOWER BHAWANI,27.709805,85.6071765
39,274.1475,5.671320707862399,LOWER BHAWANI,27.709805,85.6071765
40,274.01375,5.763079378992727,LOWER BHAWANI,27.709805,85.6071765
41,274.4344444444444,5.83497667328481,LOWER BHAWANI,27.709805,85.6071765
42,274.4377777777778,5.8213138074187665,LOWER BHAWANI,27.709805,85.6071765
43,243.37444444444444,90.71394216314148,LOWER BHAWANI,27.709805,85.6071765
44,242.91333333333336,90.57798822009683,LOWER BHAWANI,27.709805,85.6071765
45,273.30625,6.966230662478609,LOWER BHAWANI,27.709805,85.6071765
46,274.3966666666667,6.579038683576807,LOWER BHAWANI,27.709805,85.6071765
47,274.14375,6.679178601124114,LOWER BHAWANI,27.709805,85.6071765
48,276.8666666666667,10.03704388751986,LOWER BHAWANI,27.709805,85.6071765
49,274.66,6.355876920502118,LOWER BHAWANI,27.709805,85.6071765
50,274.78375,6.3453311013464235,LOWER BHAWANI,27.709805,85.6071765
51,274.98,5.930638667125155,LOWER BHAWANI,27.709805,85.6071765
52,276.28749999999997,3.8700821327570996,LOWER BHAWANI,27.709805,85.6071765
53,274.475,3.66988419435816,LOWER BHAWANI,27.709805,85.6071765
