WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,276.9214285714286,3.7635330412234915,LOWER MANAIR,18.3996537,79.1310126
2,276.38666666666666,3.2703096183695064,LOWER MANAIR,18.3996537,79.1310126
3,276.1433333333333,3.177797979733769,LOWER MANAIR,18.3996537,79.1310126
4,275.7922222222222,3.0452084402293895,LOWER MANAIR,18.3996537,79.1310126
5,275.51222222222225,3.06121617081258,LOWER MANAIR,18.3996537,79.1310126
6,275.2422222222222,3.1451700183685496,LOWER MANAIR,18.3996537,79.1310126
7,275.30333333333334,3.248965219881529,LOWER MANAIR,18.3996537,79.1310126
8,274.59749999999997,3.3972751686356744,LOWER MANAIR,18.3996537,79.1310126
9,273.3522222222222,3.5228567164226896,LOWER MANAIR,18.3996537,79.1310126
10,274.5857142857143,2.227426445795382,LOWER MANAIR,18.3996537,79.1310126
11,273.4133333333333,2.906290591114383,LOWER MANAIR,18.3996537,79.1310126
12,272.77555555555557,2.733039110180784,LOWER MANAIR,18.3996537,79.1310126
13,272.2525,2.8764847098001973,LOWER MANAIR,18.3996537,79.1310126
14,271.7677777777778,2.507781777676143,LOWER MANAIR,18.3996537,79.1310126
15,271.2314285714286,2.3585477775630523,LOWER MANAIR,18.3996537,79.1310126
16,271.14375,2.267169018212551,LOWER MANAIR,18.3996537,79.1310126
17,271.145,2.273757117321775,LOWER MANAIR,18.3996537,79.1310126
18,271.2977777777778,2.1620752633626035,LOWER MANAIR,18.3996537,79.1310126
19,271.43555555555554,2.241306042863808,LOWER MANAIR,18.3996537,79.1310126
20,271.6588888888889,2.477258789692963,LOWER MANAIR,18.3996537,79.1310126
21,271.45625,2.6176430920090685,LOWER MANAIR,18.3996537,79.1310126
22,270.99285714285713,2.5887430301577994,LOWER MANAIR,18.3996537,79.1310126
23,271.43333333333334,2.4803024009180703,LOWER MANAIR,18.3996537,79.1310126
24,271.09125,2.512866533321197,LOWER MANAIR,18.3996537,79.1310126
25,271.8025,3.2904960546571425,LOWER MANAIR,18.3996537,79.1310126
26,271.812,3.4316915168276263,LOWER MANAIR,18.3996537,79.1310126
27,271.41555555555556,3.696874054897962,LOWER MANAIR,18.3996537,79.1310126
28,273.2683333333333,3.890272055610854,LOWER MANAIR,18.3996537,79.1310126
29,272.84375,4.437563480431255,LOWER MANAIR,18.3996537,79.1310126
30,273.7557142857143,4.711340421942428,LOWER MANAIR,18.3996537,79.1310126
31,274.6788888888889,5.285772044943952,LOWER MANAIR,18.3996537,79.1310126
32,273.34857142857146,4.623953678298226,LOWER MANAIR,18.3996537,79.1310126
33,274.7528571428571,4.32519253631449,LOWER MANAIR,18.3996537,79.1310126
34,274.1077777777778,4.927042159799785,LOWER MANAIR,18.3996537,79.1310126
35,274.4144444444444,4.996686679968799,LOWER MANAIR,18.3996537,79.1310126
36,276.3588888888889,4.38182737121297,LOWER MANAIR,18.3996537,79.1310126
37,275.67571428571426,4.3248809507424895,LOWER MANAIR,18.3996537,79.1310126
38,275.70000000000005,4.473158839120289,LOWER MANAIR,18.3996537,79.1310126
39,277.32375,4.165909050169678,LOWER MANAIR,18.3996537,79.1310126
40,276.7825,4.521149506170207,LOWER MANAIR,18.3996537,79.1310126
41,277.0466666666667,4.4988776378114546,LOWER MANAIR,18.3996537,79.1310126
42,277.0711111111111,4.367735238211123,LOWER MANAIR,18.3996537,79.1310126
43,276.9322222222222,4.196721273142203,LOWER MANAIR,18.3996537,79.1310126
44,276.85,4.118364359791396,LOWER MANAIR,18.3996537,79.1310126
45,245.9022222222222,91.91794353903073,LOWER MANAIR,18.3996537,79.1310126
46,277.1144444444445,3.9279610203994886,LOWER MANAIR,18.3996537,79.1310126
47,277.1744444444444,3.811200962659634,LOWER MANAIR,18.3996537,79.1310126
48,276.98625,3.967600705356176,LOWER MANAIR,18.3996537,79.1310126
49,276.84125,3.8948736913318087,LOWER MANAIR,18.3996537,79.1310126
50,276.76375,3.9017246644455446,LOWER MANAIR,18.3996537,79.1310126
51,277.1844444444444,3.8235883379069104,LOWER MANAIR,18.3996537,79.1310126
52,277.13875,3.90550687217055,LOWER MANAIR,18.3996537,79.1310126
53,273.705,7.078138879677335,LOWER MANAIR,18.3996537,79.1310126
