WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,55.732000000000006,1.1947049845045448,MACHCHHU-II,,
2,55.55800000000001,1.4185097814255625,MACHCHHU-II,,
3,55.318000000000005,1.6705597864189137,MACHCHHU-II,,
4,55.188,1.7522899303482862,MACHCHHU-II,,
5,55.146,1.7110756850589643,MACHCHHU-II,,
6,55.212,1.6844643065378375,MACHCHHU-II,,
7,55.2675,1.187528947015606,MACHCHHU-II,,
8,55.658,0.992506926927969,MACHCHHU-II,,
9,55.3125,1.0352898144964042,MACHCHHU-II,,
10,55.0925,1.271649191666736,MACHCHHU-II,,
11,55.194,1.3875986451420312,MACHCHHU-II,,
12,55.188,1.290608383670275,MACHCHHU-II,,
13,54.89,1.0175460677531996,MACHCHHU-II,,
14,54.7825,1.1922632539278721,MACHCHHU-II,,
15,54.5625,1.435719912332022,MACHCHHU-II,,
16,55.03,1.4632498077908673,MACHCHHU-II,,
17,54.5975,1.4036470354045585,MACHCHHU-II,,
18,54.784000000000006,1.1499695648146528,MACHCHHU-II,,
19,54.79600000000001,1.0275358874511407,MACHCHHU-II,,
20,53.6775,2.8363048143667475,MACHCHHU-II,,
21,53.504,2.744071792063759,MACHCHHU-II,,
22,52.91,3.0777914159344832,MACHCHHU-II,,
23,52.827999999999996,2.653181109536248,MACHCHHU-II,,
24,52.325,2.997004059612422,MACHCHHU-II,,
25,53.6325,0.7800160254764008,MACHCHHU-II,,
26,53.6025,0.6620360010351914,MACHCHHU-II,,
27,53.485,0.7523075612185958,MACHCHHU-II,,
28,54.0375,0.6535735102751152,MACHCHHU-II,,
29,54.195,0.5022947341949752,MACHCHHU-II,,
30,54.722500000000004,0.7605863965827082,MACHCHHU-II,,
31,54.8125,1.1014044065041106,MACHCHHU-II,,
32,43.912,24.568438493319025,MACHCHHU-II,,
33,55.482000000000006,1.309454084723857,MACHCHHU-II,,
34,55.822,1.0823446770784235,MACHCHHU-II,,
35,56.084,1.2724110970908715,MACHCHHU-II,,
36,56.096000000000004,1.2551015895137698,MACHCHHU-II,,
37,55.541999999999994,1.6048738268163016,MACHCHHU-II,,
38,56.50599999999999,1.0200392149324442,MACHCHHU-II,,
39,56.572,0.9551806111935046,MACHCHHU-II,,
40,57.06,0.47999999999999804,MACHCHHU-II,,
41,56.98199999999999,0.48282502006420497,MACHCHHU-II,,
42,56.903999999999996,0.5461043856260449,MACHCHHU-II,,
43,45.586,25.488457779944238,MACHCHHU-II,,
44,45.604,25.496695472158745,MACHCHHU-II,,
45,56.85,0.46314144707637706,MACHCHHU-II,,
46,56.8425,0.6002430063454854,MACHCHHU-II,,
47,56.519999999999996,0.7894723976597692,MACHCHHU-II,,
48,56.455999999999996,0.8506056665694166,MACHCHHU-II,,
49,56.325,0.9416828907156959,MACHCHHU-II,,
50,56.2375,1.0067232324063355,MACHCHHU-II,,
51,56.09400000000001,0.9574079590226942,MACHCHHU-II,,
52,55.924,1.0617108834329643,MACHCHHU-II,,
53,56.04,,MACHCHHU-II,,
