WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,277.37142857142857,1.06921199287806,MAHI BAJAJ SAGAR,23.6284854,74.5472827
2,276.93333333333334,0.982344135219426,MAHI BAJAJ SAGAR,23.6284854,74.5472827
3,276.3722222222222,1.0158466638447028,MAHI BAJAJ SAGAR,23.6284854,74.5472827
4,275.8666666666667,1.0467210707729098,MAHI BAJAJ SAGAR,23.6284854,74.5472827
5,275.32222222222225,1.1082393443857066,MAHI BAJAJ SAGAR,23.6284854,74.5472827
6,274.7055555555555,1.1681835377104761,MAHI BAJAJ SAGAR,23.6284854,74.5472827
7,273.90625,1.1184930870212333,MAHI BAJAJ SAGAR,23.6284854,74.5472827
8,273.4888888888889,1.2927146286443545,MAHI BAJAJ SAGAR,23.6284854,74.5472827
9,272.775,1.3902723268687747,MAHI BAJAJ SAGAR,23.6284854,74.5472827
10,272.1375,1.422711194465392,MAHI BAJAJ SAGAR,23.6284854,74.5472827
11,271.4888888888889,1.3706243508383784,MAHI BAJAJ SAGAR,23.6284854,74.5472827
12,270.8555555555556,1.3540320445904541,MAHI BAJAJ SAGAR,23.6284854,74.5472827
13,270.375,1.3562026818605277,MAHI BAJAJ SAGAR,23.6284854,74.5472827
14,269.93125,1.287838027748163,MAHI BAJAJ SAGAR,23.6284854,74.5472827
15,269.56875,1.2273483322070333,MAHI BAJAJ SAGAR,23.6284854,74.5472827
16,269.33125,1.2716517661237654,MAHI BAJAJ SAGAR,23.6284854,74.5472827
17,269.2375,1.2164791114406732,MAHI BAJAJ SAGAR,23.6284854,74.5472827
18,269.2111111111111,1.1760042989339425,MAHI BAJAJ SAGAR,23.6284854,74.5472827
19,269.1444444444444,1.1657734676075517,MAHI BAJAJ SAGAR,23.6284854,74.5472827
20,269.03125,1.2223915376950967,MAHI BAJAJ SAGAR,23.6284854,74.5472827
21,268.91875,1.1847053581858662,MAHI BAJAJ SAGAR,23.6284854,74.5472827
22,268.76625,1.2543517107596844,MAHI BAJAJ SAGAR,23.6284854,74.5472827
23,268.74375,1.1824422365837384,MAHI BAJAJ SAGAR,23.6284854,74.5472827
24,268.75,1.2484275824297586,MAHI BAJAJ SAGAR,23.6284854,74.5472827
25,268.81875,1.242674966122902,MAHI BAJAJ SAGAR,23.6284854,74.5472827
26,268.79999999999995,1.1575836902790204,MAHI BAJAJ SAGAR,23.6284854,74.5472827
27,269.1388888888889,1.1373702612215348,MAHI BAJAJ SAGAR,23.6284854,74.5472827
28,269.70714285714286,1.3752056123323744,MAHI BAJAJ SAGAR,23.6284854,74.5472827
29,271.1,1.322166782217736,MAHI BAJAJ SAGAR,23.6284854,74.5472827
30,272.15000000000003,1.904205871222957,MAHI BAJAJ SAGAR,23.6284854,74.5472827
31,275.5,3.3012984458500005,MAHI BAJAJ SAGAR,23.6284854,74.5472827
32,276.95,3.4630704790484836,MAHI BAJAJ SAGAR,23.6284854,74.5472827
33,277.82142857142856,3.744090581932319,MAHI BAJAJ SAGAR,23.6284854,74.5472827
34,278.5111111111111,3.378773610514779,MAHI BAJAJ SAGAR,23.6284854,74.5472827
35,279.85555555555555,1.9521533694302409,MAHI BAJAJ SAGAR,23.6284854,74.5472827
36,279.9,1.835366837602611,MAHI BAJAJ SAGAR,23.6284854,74.5472827
37,280.325,1.402294038862242,MAHI BAJAJ SAGAR,23.6284854,74.5472827
38,280.93888888888887,0.9489394665156953,MAHI BAJAJ SAGAR,23.6284854,74.5472827
39,281.2375,0.34820970692959025,MAHI BAJAJ SAGAR,23.6284854,74.5472827
40,281.2375,0.3652298689084326,MAHI BAJAJ SAGAR,23.6284854,74.5472827
41,281.21666666666664,0.2904737509655505,MAHI BAJAJ SAGAR,23.6284854,74.5472827
42,281.1722222222222,0.2884344716646138,MAHI BAJAJ SAGAR,23.6284854,74.5472827
43,281.20500000000004,0.3148632860288634,MAHI BAJAJ SAGAR,23.6284854,74.5472827
44,281.1,0.3565709706956845,MAHI BAJAJ SAGAR,23.6284854,74.5472827
45,281.03125,0.4636327826446835,MAHI BAJAJ SAGAR,23.6284854,74.5472827
46,280.78000000000003,0.5457919831665581,MAHI BAJAJ SAGAR,23.6284854,74.5472827
47,280.2857142857143,0.6908414469050862,MAHI BAJAJ SAGAR,23.6284854,74.5472827
48,280.0055555555556,0.7555810861699732,MAHI BAJAJ SAGAR,23.6284854,74.5472827
49,279.41875,0.76808551421236,MAHI BAJAJ SAGAR,23.6284854,74.5472827
50,278.95625,0.8200337536607122,MAHI BAJAJ SAGAR,23.6284854,74.5472827
51,278.56666666666666,0.8070006195784444,MAHI BAJAJ SAGAR,23.6284854,74.5472827
52,278.03125,0.8202514858261508,MAHI BAJAJ SAGAR,23.6284854,74.5472827
53,277.05,1.4849242404917657,MAHI BAJAJ SAGAR,23.6284854,74.5472827
