WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,218.86142857142858,285.7121524325121,MALAMPUZHA,10.8190998,76.6652482
2,193.39111111111112,252.19360219107685,MALAMPUZHA,10.8190998,76.6652482
3,183.78900000000002,239.39527171836775,MALAMPUZHA,10.8190998,76.6652482
4,203.005,267.1785778944755,MALAMPUZHA,10.8190998,76.6652482
5,191.22777777777776,252.03740668687345,MALAMPUZHA,10.8190998,76.6652482
6,190.39111111111112,252.08876712600883,MALAMPUZHA,10.8190998,76.6652482
7,199.8625,267.45100842423994,MALAMPUZHA,10.8190998,76.6652482
8,180.401,239.1718251452987,MALAMPUZHA,10.8190998,76.6652482
9,212.18714285714285,285.8810090296477,MALAMPUZHA,10.8190998,76.6652482
10,198.07,267.45338894308827,MALAMPUZHA,10.8190998,76.6652482
11,187.7188888888889,251.98845997606935,MALAMPUZHA,10.8190998,76.6652482
12,187.59777777777776,251.9629809008546,MALAMPUZHA,10.8190998,76.6652482
13,198.08375,267.1915265945546,MALAMPUZHA,10.8190998,76.6652482
14,197.58875,267.3649004871432,MALAMPUZHA,10.8190998,76.6652482
15,197.5025,267.41200778413605,MALAMPUZHA,10.8190998,76.6652482
16,197.42375,267.4197098696835,MALAMPUZHA,10.8190998,76.6652482
17,197.35999999999999,267.445272372285,MALAMPUZHA,10.8190998,76.6652482
18,178.62,239.12185285145125,MALAMPUZHA,10.8190998,76.6652482
19,197.69375000000002,267.28958762989095,MALAMPUZHA,10.8190998,76.6652482
20,187.00333333333333,252.12042097973736,MALAMPUZHA,10.8190998,76.6652482
21,197.88375,267.27304492049217,MALAMPUZHA,10.8190998,76.6652482
22,197.08375,267.5697770108628,MALAMPUZHA,10.8190998,76.6652482
23,197.89625,267.2681625493392,MALAMPUZHA,10.8190998,76.6652482
24,197.67999999999998,267.445825168388,MALAMPUZHA,10.8190998,76.6652482
25,198.355,267.213147292034,MALAMPUZHA,10.8190998,76.6652482
26,272.4433333333334,333.7659834374977,MALAMPUZHA,10.8190998,76.6652482
27,272.95444444444445,334.22108914276754,MALAMPUZHA,10.8190998,76.6652482
28,321.58,369.7810761337939,MALAMPUZHA,10.8190998,76.6652482
29,296.14375,349.77580202742524,MALAMPUZHA,10.8190998,76.6652482
30,323.0571428571429,368.61922185883026,MALAMPUZHA,10.8190998,76.6652482
31,297.3175,348.9277733592277,MALAMPUZHA,10.8190998,76.6652482
32,283.48,359.05046036137355,MALAMPUZHA,10.8190998,76.6652482
33,217.0942857142857,284.2363078412715,MALAMPUZHA,10.8190998,76.6652482
34,277.5333333333333,331.0645502768304,MALAMPUZHA,10.8190998,76.6652482
35,277.7988888888889,330.94101186784195,MALAMPUZHA,10.8190998,76.6652482
36,204.98375000000001,264.9462480761765,MALAMPUZHA,10.8190998,76.6652482
37,205.245,264.789574244477,MALAMPUZHA,10.8190998,76.6652482
38,278.4422222222222,330.0550118077961,MALAMPUZHA,10.8190998,76.6652482
39,299.19874999999996,346.34848814607443,MALAMPUZHA,10.8190998,76.6652482
40,299.32875,346.1341015699593,MALAMPUZHA,10.8190998,76.6652482
41,278.93888888888887,329.5138081493871,MALAMPUZHA,10.8190998,76.6652482
42,195.7111111111111,249.69866191293679,MALAMPUZHA,10.8190998,76.6652482
43,195.79222222222222,249.71321164376633,MALAMPUZHA,10.8190998,76.6652482
44,195.92333333333332,249.76552354158093,MALAMPUZHA,10.8190998,76.6652482
45,196.22666666666666,250.37070375744844,MALAMPUZHA,10.8190998,76.6652482
46,187.61399999999998,238.00501022737595,MALAMPUZHA,10.8190998,76.6652482
47,206.3825,266.34859122961393,MALAMPUZHA,10.8190998,76.6652482
48,207.2775,266.8049998326761,MALAMPUZHA,10.8190998,76.6652482
49,206.41125,267.4052927373139,MALAMPUZHA,10.8190998,76.6652482
50,206.12875,267.75458712557236,MALAMPUZHA,10.8190998,76.6652482
51,195.38,252.52643237886997,MALAMPUZHA,10.8190998,76.6652482
52,205.92499999999998,267.7476414728722,MALAMPUZHA,10.8190998,76.6652482
53,489.72,534.5303001701587,MALAMPUZHA,10.8190998,76.6652482
