WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,584.8140000000001,2.7796906302680964,MANI DAM,13.6759636,75.0477553
2,583.79,2.9158463608359035,MANI DAM,13.6759636,75.0477553
3,585.125,1.3255816333469217,MANI DAM,13.6759636,75.0477553
4,583.652,2.3318919357465657,MANI DAM,13.6759636,75.0477553
5,583.17,2.3745525894366195,MANI DAM,13.6759636,75.0477553
6,582.198,2.1860054894716225,MANI DAM,13.6759636,75.0477553
7,580.9925000000001,1.7595714440358596,MANI DAM,13.6759636,75.0477553
8,581.4300000000001,2.145809870421901,MANI DAM,13.6759636,75.0477553
9,580.485,2.219737221684937,MANI DAM,13.6759636,75.0477553
10,579.8025,2.010246668114846,MANI DAM,13.6759636,75.0477553
11,579.332,1.6053410852525978,MANI DAM,13.6759636,75.0477553
12,578.424,1.3705947614083605,MANI DAM,13.6759636,75.0477553
13,577.62,1.4795494809795138,MANI DAM,13.6759636,75.0477553
14,576.925,1.5056670725407328,MANI DAM,13.6759636,75.0477553
15,576.015,1.54784796841728,MANI DAM,13.6759636,75.0477553
16,575.3399999999999,1.5657160236347587,MANI DAM,13.6759636,75.0477553
17,574.79,1.6028724216230799,MANI DAM,13.6759636,75.0477553
18,573.8799999999999,1.6245614792921477,MANI DAM,13.6759636,75.0477553
19,573.3879999999999,1.6328870138500031,MANI DAM,13.6759636,75.0477553
20,572.812,1.4368437632533138,MANI DAM,13.6759636,75.0477553
21,572.1600000000001,1.4146377628213158,MANI DAM,13.6759636,75.0477553
22,571.5625,1.4685678965123115,MANI DAM,13.6759636,75.0477553
23,570.616,1.5388404725636624,MANI DAM,13.6759636,75.0477553
24,571.1324999999999,1.104396516956986,MANI DAM,13.6759636,75.0477553
25,571.375,2.0737325446322044,MANI DAM,13.6759636,75.0477553
26,571.605,1.8183050715799935,MANI DAM,13.6759636,75.0477553
27,573.0450000000001,1.7692465439653517,MANI DAM,13.6759636,75.0477553
28,575.955,3.267838225290063,MANI DAM,13.6759636,75.0477553
29,578.125,3.80537777362512,MANI DAM,13.6759636,75.0477553
30,580.485,3.128892242738108,MANI DAM,13.6759636,75.0477553
31,581.32,3.6332905196254246,MANI DAM,13.6759636,75.0477553
32,583.07,3.614507804206098,MANI DAM,13.6759636,75.0477553
33,584.235,3.089999999999986,MANI DAM,13.6759636,75.0477553
34,584.88,3.3323065085112704,MANI DAM,13.6759636,75.0477553
35,585.135,3.7409936291490182,MANI DAM,13.6759636,75.0477553
36,585.25,4.219368041148683,MANI DAM,13.6759636,75.0477553
37,585.985,4.347853876722764,MANI DAM,13.6759636,75.0477553
38,586.355,4.080894509785825,MANI DAM,13.6759636,75.0477553
39,586.8275,4.026838089618169,MANI DAM,13.6759636,75.0477553
40,587.1625,4.081947043589203,MANI DAM,13.6759636,75.0477553
41,587.634,3.7594121880953724,MANI DAM,13.6759636,75.0477553
42,587.462,3.8302049553516224,MANI DAM,13.6759636,75.0477553
43,586.976,3.706680455609833,MANI DAM,13.6759636,75.0477553
44,587.0300000000001,5.294024933828712,MANI DAM,13.6759636,75.0477553
45,586.855,4.1452744179366166,MANI DAM,13.6759636,75.0477553
46,587.01,3.559957864919147,MANI DAM,13.6759636,75.0477553
47,586.41,3.8893529881802413,MANI DAM,13.6759636,75.0477553
48,586.54,3.344009569364293,MANI DAM,13.6759636,75.0477553
49,586.0174999999999,3.612703281477719,MANI DAM,13.6759636,75.0477553
50,585.775,3.464270004873524,MANI DAM,13.6759636,75.0477553
51,584.8233333333334,3.458240400357802,MANI DAM,13.6759636,75.0477553
52,586.575,1.268213967225841,MANI DAM,13.6759636,75.0477553
53,586.18,,MANI DAM,13.6759636,75.0477553
