WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,195.02,,MUSI PROJECT,,
2,194.88,,MUSI PROJECT,,
3,194.6,,MUSI PROJECT,,
4,194.18,,MUSI PROJECT,,
5,194.04,,MUSI PROJECT,,
6,193.47,,MUSI PROJECT,,
7,193.3,,MUSI PROJECT,,
8,192.97,,MUSI PROJECT,,
9,192.15,,MUSI PROJECT,,
10,191.36,,MUSI PROJECT,,
11,190.99,,MUSI PROJECT,,
12,190.27,,MUSI PROJECT,,
13,189.11,,MUSI PROJECT,,
14,188.44,,MUSI PROJECT,,
15,188.43,,MUSI PROJECT,,
16,189.06,,MUSI PROJECT,,
17,189.69,,MUSI PROJECT,,
18,190.32,,MUSI PROJECT,,
19,190.84,,MUSI PROJECT,,
20,191.87,,MUSI PROJECT,,
21,192.83,,MUSI PROJECT,,
22,193.4,,MUSI PROJECT,,
23,193.75,,MUSI PROJECT,,
24,194.22,,MUSI PROJECT,,
35,196.14,,MUSI PROJECT,,
36,196.11,,MUSI PROJECT,,
37,196.35,,MUSI PROJECT,,
38,196.35,,MUSI PROJECT,,
39,196.41,,MUSI PROJECT,,
40,196.41,,MUSI PROJECT,,
41,196.41,,MUSI PROJECT,,
42,196.38,,MUSI PROJECT,,
43,196.36,,MUSI PROJECT,,
44,196.56,,MUSI PROJECT,,
45,196.48,,MUSI PROJECT,,
46,196.44,,MUSI PROJECT,,
47,196.47,,MUSI PROJECT,,
48,196.46,,MUSI PROJECT,,
49,196.41,,MUSI PROJECT,,
50,196.17,,MUSI PROJECT,,
51,195.74,,MUSI PROJECT,,
52,195.37,,MUSI PROJECT,,
