WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,212.67666666666665,0.28290163190291984,NANAK SAGAR,28.962642,79.840101245
2,212.63,0.18000000000000682,NANAK SAGAR,28.962642,79.840101245
3,212.64,0.1652271164185818,NANAK SAGAR,28.962642,79.840101245
4,212.67999999999998,0.11357816691601227,NANAK SAGAR,28.962642,79.840101245
5,212.72,0.18248287590895002,NANAK SAGAR,28.962642,79.840101245
6,212.75,0.15588457268121308,NANAK SAGAR,28.962642,79.840101245
7,212.6933333333333,0.05773502691895929,NANAK SAGAR,28.962642,79.840101245
8,212.17999999999998,0.6053098380168704,NANAK SAGAR,28.962642,79.840101245
9,211.10000000000002,0.9050966799187716,NANAK SAGAR,28.962642,79.840101245
10,210.995,0.9687362902255733,NANAK SAGAR,28.962642,79.840101245
11,210.58333333333334,0.988753423930026,NANAK SAGAR,28.962642,79.840101245
12,210.58333333333334,0.9887534239300211,NANAK SAGAR,28.962642,79.840101245
13,210.995,0.9687362902255733,NANAK SAGAR,28.962642,79.840101245
14,211.055,0.8838834764831844,NANAK SAGAR,28.962642,79.840101245
15,211.055,0.8838834764831844,NANAK SAGAR,28.962642,79.840101245
16,210.89,0.8626702730475772,NANAK SAGAR,28.962642,79.840101245
17,209.41,2.1778888860545553,NANAK SAGAR,28.962642,79.840101245
18,208.26999999999998,1.16863167850269,NANAK SAGAR,28.962642,79.840101245
19,207.67999999999998,0.41509035161034796,NANAK SAGAR,28.962642,79.840101245
20,207.26,0.0,NANAK SAGAR,28.962642,79.840101245
21,207.26,0.0,NANAK SAGAR,28.962642,79.840101245
22,207.26,0.0,NANAK SAGAR,28.962642,79.840101245
23,207.26,0.0,NANAK SAGAR,28.962642,79.840101245
24,207.26,0.0,NANAK SAGAR,28.962642,79.840101245
25,207.26,0.0,NANAK SAGAR,28.962642,79.840101245
26,207.26,0.0,NANAK SAGAR,28.962642,79.840101245
27,207.64499999999998,0.5444722215136388,NANAK SAGAR,28.962642,79.840101245
28,208.74,0.367695526217022,NANAK SAGAR,28.962642,79.840101245
29,208.68,0.7071067811865476,NANAK SAGAR,28.962642,79.840101245
30,208.76999999999998,1.4424978336205614,NANAK SAGAR,28.962642,79.840101245
31,210.635,0.8838834764831844,NANAK SAGAR,28.962642,79.840101245
32,212.23000000000002,0.7353910524340138,NANAK SAGAR,28.962642,79.840101245
33,212.03,0.41012193308818634,NANAK SAGAR,28.962642,79.840101245
34,212.81,0.08485281374238891,NANAK SAGAR,28.962642,79.840101245
35,213.23000000000002,0.38183766184072,NANAK SAGAR,28.962642,79.840101245
36,213.28500000000003,0.1060660171779761,NANAK SAGAR,28.962642,79.840101245
37,213.51,0.12727922061358338,NANAK SAGAR,28.962642,79.840101245
38,213.755,0.21920310216783134,NANAK SAGAR,28.962642,79.840101245
39,213.985,0.31819805153396846,NANAK SAGAR,28.962642,79.840101245
40,214.3,,NANAK SAGAR,28.962642,79.840101245
41,214.14,0.32526911934582753,NANAK SAGAR,28.962642,79.840101245
42,214.2,0.32526911934580743,NANAK SAGAR,28.962642,79.840101245
43,145.29666666666665,119.76842753135459,NANAK SAGAR,28.962642,79.840101245
44,145.29666666666665,119.76842753135459,NANAK SAGAR,28.962642,79.840101245
45,145.30666666666667,119.77709060305871,NANAK SAGAR,28.962642,79.840101245
46,214.29666666666665,0.28448784391136506,NANAK SAGAR,28.962642,79.840101245
47,214.29666666666665,0.28448784391136767,NANAK SAGAR,28.962642,79.840101245
48,214.29666666666665,0.28448784391136767,NANAK SAGAR,28.962642,79.840101245
49,214.29666666666665,0.2844878439113766,NANAK SAGAR,28.962642,79.840101245
50,214.29666666666665,0.28448784391136506,NANAK SAGAR,28.962642,79.840101245
51,214.17333333333332,0.30566866593312697,NANAK SAGAR,28.962642,79.840101245
52,213.35,0.2882707061079973,NANAK SAGAR,28.962642,79.840101245
