WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,127.702,0.853416662598053,PANCHET HILL,23.6894152,86.7619917
2,127.72,0.8903089351455504,PANCHET HILL,23.6894152,86.7619917
3,127.61399999999999,0.831973557272102,PANCHET HILL,23.6894152,86.7619917
4,127.526,0.7725477331531042,PANCHET HILL,23.6894152,86.7619917
5,127.4075,0.8732840316872833,PANCHET HILL,23.6894152,86.7619917
6,126.72000000000001,0.9865089964110851,PANCHET HILL,23.6894152,86.7619917
7,126.48666666666666,1.1031470134725232,PANCHET HILL,23.6894152,86.7619917
8,126.10333333333334,1.5016435440321205,PANCHET HILL,23.6894152,86.7619917
9,125.15,0.6929646455628244,PANCHET HILL,23.6894152,86.7619917
10,125.00999999999999,0.3915354390090315,PANCHET HILL,23.6894152,86.7619917
11,125.44,1.16352911437574,PANCHET HILL,23.6894152,86.7619917
12,125.27,0.9326306878931174,PANCHET HILL,23.6894152,86.7619917
13,124.63666666666666,0.6390878917123525,PANCHET HILL,23.6894152,86.7619917
14,124.41000000000001,0.9127978965795218,PANCHET HILL,23.6894152,86.7619917
15,124.27666666666669,0.8931591870060618,PANCHET HILL,23.6894152,86.7619917
16,123.81,0.9878765105011873,PANCHET HILL,23.6894152,86.7619917
17,123.7,0.946942448092811,PANCHET HILL,23.6894152,86.7619917
18,123.63666666666666,0.9555277773740168,PANCHET HILL,23.6894152,86.7619917
19,124.045,0.9545941546018352,PANCHET HILL,23.6894152,86.7619917
20,123.75999999999999,1.3576450198781675,PANCHET HILL,23.6894152,86.7619917
21,123.38333333333333,1.118808890442574,PANCHET HILL,23.6894152,86.7619917
22,124.14,1.3696349878708567,PANCHET HILL,23.6894152,86.7619917
23,123.83,1.2922461065911577,PANCHET HILL,23.6894152,86.7619917
24,123.50999999999999,1.2264990827554683,PANCHET HILL,23.6894152,86.7619917
25,124.93,4.2284985514955515,PANCHET HILL,23.6894152,86.7619917
26,123.365,2.057680733252851,PANCHET HILL,23.6894152,86.7619917
27,122.935,1.5627059864222757,PANCHET HILL,23.6894152,86.7619917
28,122.87,1.2445079348883221,PANCHET HILL,23.6894152,86.7619917
29,123.75,1.6358789686281725,PANCHET HILL,23.6894152,86.7619917
30,123.65666666666668,1.6557274332852427,PANCHET HILL,23.6894152,86.7619917
31,124.64666666666666,4.369168494500214,PANCHET HILL,23.6894152,86.7619917
32,124.54333333333334,3.6689553463258937,PANCHET HILL,23.6894152,86.7619917
33,124.41333333333334,2.066793006890941,PANCHET HILL,23.6894152,86.7619917
34,124.74000000000001,1.0454185764563302,PANCHET HILL,23.6894152,86.7619917
35,125.36,0.7597367965289064,PANCHET HILL,23.6894152,86.7619917
36,125.38666666666667,0.9707900562600185,PANCHET HILL,23.6894152,86.7619917
37,125.80333333333334,0.4382160806421127,PANCHET HILL,23.6894152,86.7619917
38,126.25333333333333,1.220341482263604,PANCHET HILL,23.6894152,86.7619917
39,126.54666666666667,1.128376414736386,PANCHET HILL,23.6894152,86.7619917
40,128.3425,0.9103250335273859,PANCHET HILL,23.6894152,86.7619917
41,127.32,1.1452219581082679,PANCHET HILL,23.6894152,86.7619917
42,127.52,0.7437293414497884,PANCHET HILL,23.6894152,86.7619917
43,127.08500000000001,0.5907340066956289,PANCHET HILL,23.6894152,86.7619917
44,127.3775,1.1915081479648661,PANCHET HILL,23.6894152,86.7619917
45,127.665,1.2248129108834076,PANCHET HILL,23.6894152,86.7619917
46,127.7925,1.2573351449262342,PANCHET HILL,23.6894152,86.7619917
47,127.6175,1.1166131827987782,PANCHET HILL,23.6894152,86.7619917
48,127.65799999999999,0.9615456307425092,PANCHET HILL,23.6894152,86.7619917
49,127.7,1.1652896635600944,PANCHET HILL,23.6894152,86.7619917
50,127.61749999999999,0.9625443712716114,PANCHET HILL,23.6894152,86.7619917
51,127.66799999999998,0.8695228576639038,PANCHET HILL,23.6894152,86.7619917
52,127.686,0.8622818564715404,PANCHET HILL,23.6894152,86.7619917
53,127.81,,PANCHET HILL,23.6894152,86.7619917
