WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,865.5014285714286,2.7321873323489005,PERIYAR,10.1643734,76.4425439
2,864.2011111111111,3.0177617717624865,PERIYAR,10.1643734,76.4425439
3,864.1466666666666,3.038363046115476,PERIYAR,10.1643734,76.4425439
4,863.7144444444444,2.938460953931098,PERIYAR,10.1643734,76.4425439
5,863.298888888889,2.6562400326610307,PERIYAR,10.1643734,76.4425439
6,862.84,2.5221320346088434,PERIYAR,10.1643734,76.4425439
7,862.60875,2.394937741511101,PERIYAR,10.1643734,76.4425439
8,862.0522222222222,2.1405009797812538,PERIYAR,10.1643734,76.4425439
9,861.365,1.8626248759670865,PERIYAR,10.1643734,76.4425439
10,861.14375,1.832866120120554,PERIYAR,10.1643734,76.4425439
11,861.3588888888888,1.85765607987888,PERIYAR,10.1643734,76.4425439
12,861.2344444444444,1.8020274076100606,PERIYAR,10.1643734,76.4425439
13,860.7155555555556,1.541153067601589,PERIYAR,10.1643734,76.4425439
14,860.6128571428571,1.7286865368993591,PERIYAR,10.1643734,76.4425439
15,860.5175,1.5737285117107824,PERIYAR,10.1643734,76.4425439
16,860.5325,1.6019251810600237,PERIYAR,10.1643734,76.4425439
17,860.49375,1.6306522577527827,PERIYAR,10.1643734,76.4425439
18,861.0144444444445,2.2051310114770506,PERIYAR,10.1643734,76.4425439
19,861.0533333333334,2.3233972970630346,PERIYAR,10.1643734,76.4425439
20,861.1877777777777,2.4245452036298465,PERIYAR,10.1643734,76.4425439
21,861.62875,2.5448628225730103,PERIYAR,10.1643734,76.4425439
22,861.2242857142857,2.101228665510257,PERIYAR,10.1643734,76.4425439
23,861.5433333333334,2.6971512749565725,PERIYAR,10.1643734,76.4425439
24,861.355,2.4198701263851663,PERIYAR,10.1643734,76.4425439
25,861.86875,2.983150001017606,PERIYAR,10.1643734,76.4425439
26,861.7455555555556,2.385671347394177,PERIYAR,10.1643734,76.4425439
27,861.9622222222222,2.1463793803623155,PERIYAR,10.1643734,76.4425439
28,862.4742857142857,2.23705801700103,PERIYAR,10.1643734,76.4425439
29,863.2075,2.77601847461946,PERIYAR,10.1643734,76.4425439
30,863.0028571428572,2.8275826795203978,PERIYAR,10.1643734,76.4425439
31,863.56,2.9956015374927105,PERIYAR,10.1643734,76.4425439
32,863.0875,2.896489254252444,PERIYAR,10.1643734,76.4425439
33,864.28,2.9719914759859813,PERIYAR,10.1643734,76.4425439
34,864.271111111111,2.8765015402587593,PERIYAR,10.1643734,76.4425439
35,864.0944444444444,2.583230105464445,PERIYAR,10.1643734,76.4425439
36,864.335,2.476074081513498,PERIYAR,10.1643734,76.4425439
37,864.2275,2.269095162645888,PERIYAR,10.1643734,76.4425439
38,863.5911111111111,2.185923400101511,PERIYAR,10.1643734,76.4425439
39,863.285,2.1868241813186207,PERIYAR,10.1643734,76.4425439
40,863.1,2.0326829560952153,PERIYAR,10.1643734,76.4425439
41,863.2233333333334,2.1280624990821964,PERIYAR,10.1643734,76.4425439
42,863.7333333333333,2.5345463104863577,PERIYAR,10.1643734,76.4425439
43,863.76875,2.834554323749219,PERIYAR,10.1643734,76.4425439
44,864.0177777777777,2.6976368258986434,PERIYAR,10.1643734,76.4425439
45,864.38,2.527043727362065,PERIYAR,10.1643734,76.4425439
46,864.54,2.7208592392845343,PERIYAR,10.1643734,76.4425439
47,865.09875,2.905302725805266,PERIYAR,10.1643734,76.4425439
48,865.3411111111111,2.9726479965026433,PERIYAR,10.1643734,76.4425439
49,865.8925,3.0107462292831686,PERIYAR,10.1643734,76.4425439
50,865.82125,3.1748675450436648,PERIYAR,10.1643734,76.4425439
51,863.2977777777778,8.118352323251559,PERIYAR,10.1643734,76.4425439
52,865.93,2.821711739858844,PERIYAR,10.1643734,76.4425439
53,864.995,3.811305550595562,PERIYAR,10.1643734,76.4425439
