WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,250.85,115.35514552892731,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
2,250.39333333333332,115.43553799993022,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
3,216.4025,116.10956101171573,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
4,216.025,116.22185006845027,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
5,195.67600000000002,110.3123185777545,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
6,201.1942857142857,108.23941778254706,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
7,235.4,111.44681758578842,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
8,214.66833333333332,111.63063296724006,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
9,213.615,117.88405334621528,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
10,247.06333333333336,118.35423791877217,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
11,233.628,112.67783819367497,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
12,212.91833333333332,112.56445378833706,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
13,245.87,119.39917378273604,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
14,245.53,119.97125197312899,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
15,245.08,120.4040061625858,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
16,244.61333333333334,121.03917809260494,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
17,209.49,121.14775359039886,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
18,315.2833333333333,1.83753458017348,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
19,262.61249999999995,106.18288982537001,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
20,262.5575,106.7146720231103,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
21,272.884,95.62716157034046,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
22,209.6,152.87648609253156,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
23,194.45428571428573,114.52575676198242,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
24,245.45000000000002,124.62157557983289,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
25,188.28,118.17375533509968,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
26,209.5575,124.54607537641108,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
27,209.8075,123.93778583762635,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
28,212.695,119.73230878366401,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
29,193.542,112.65255820441894,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
30,194.724,112.67679809969754,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
31,194.968,112.27676015097693,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
32,217.0675,116.33074067072727,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
33,217.1925,116.24184742022413,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
34,197.704,109.52810703193953,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
35,197.892,109.16992406336097,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
36,198.294,109.37677943695363,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
37,198.352,109.20503431618893,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
38,198.262,109.21890619302135,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
39,198.384,109.36286494967109,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
40,185.13666666666666,115.33150061164268,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
41,218.2725,115.32296602007195,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
42,198.148,109.15415140982957,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
43,237.844,108.85537598116134,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
44,185.16666666666666,115.29684875716828,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
45,218.05499999999998,114.98731538739392,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
46,198.294,109.42240369321084,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
47,251.5233333333333,115.20248449288466,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
48,218.10750000000002,115.27752639463887,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
49,218.135,115.42465666687802,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
50,251.46666666666667,115.15307392047045,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
51,217.9825,115.42175946645993,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
52,217.85000000000002,115.4075656098854,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
53,117.2,,PRIYADARSHINI JURALA,16.3389148,77.7040906894285
