WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,368.95,1.082820391385377,RAJGHAT DAM,24.76354165,78.2306857680294
2,368.68333333333334,1.3503086067019203,RAJGHAT DAM,24.76354165,78.2306857680294
3,368.45,1.5305227865013953,RAJGHAT DAM,24.76354165,78.2306857680294
4,368.25,1.6889345754054628,RAJGHAT DAM,24.76354165,78.2306857680294
5,368.2,1.6703293088490008,RAJGHAT DAM,24.76354165,78.2306857680294
6,367.84999999999997,1.8754999333511198,RAJGHAT DAM,24.76354165,78.2306857680294
7,367.2166666666667,1.8509006816502658,RAJGHAT DAM,24.76354165,78.2306857680294
8,366.59999999999997,1.8794946129212438,RAJGHAT DAM,24.76354165,78.2306857680294
9,365.0,1.1313708498984922,RAJGHAT DAM,24.76354165,78.2306857680294
10,364.3,1.1313708498984922,RAJGHAT DAM,24.76354165,78.2306857680294
11,364.9666666666667,1.7009801096230652,RAJGHAT DAM,24.76354165,78.2306857680294
12,364.81666666666666,1.7764665303161085,RAJGHAT DAM,24.76354165,78.2306857680294
13,363.92499999999995,1.3788582233137796,RAJGHAT DAM,24.76354165,78.2306857680294
14,363.9,1.4142135623730951,RAJGHAT DAM,24.76354165,78.2306857680294
15,363.875,1.4495689014323903,RAJGHAT DAM,24.76354165,78.2306857680294
16,363.875,1.4495689014323903,RAJGHAT DAM,24.76354165,78.2306857680294
17,363.82500000000005,1.4495689014324105,RAJGHAT DAM,24.76354165,78.2306857680294
18,364.55,1.6209565077447288,RAJGHAT DAM,24.76354165,78.2306857680294
19,364.40000000000003,1.4908051515875689,RAJGHAT DAM,24.76354165,78.2306857680294
20,364.06666666666666,1.6825080485196309,RAJGHAT DAM,24.76354165,78.2306857680294
21,363.6666666666667,1.8339392937971872,RAJGHAT DAM,24.76354165,78.2306857680294
22,362.70000000000005,1.5556349186104166,RAJGHAT DAM,24.76354165,78.2306857680294
23,363.45,1.7691806012953917,RAJGHAT DAM,24.76354165,78.2306857680294
24,362.25,1.979898987322301,RAJGHAT DAM,24.76354165,78.2306857680294
25,364.275,0.954594154601795,RAJGHAT DAM,24.76354165,78.2306857680294
26,364.70000000000005,0.14142135623732158,RAJGHAT DAM,24.76354165,78.2306857680294
27,367.525,4.914392129246477,RAJGHAT DAM,24.76354165,78.2306857680294
28,366.0,0.49497474683061543,RAJGHAT DAM,24.76354165,78.2306857680294
29,367.125,1.6617009357884027,RAJGHAT DAM,24.76354165,78.2306857680294
30,367.20000000000005,1.5556349186104166,RAJGHAT DAM,24.76354165,78.2306857680294
31,367.45,1.7677669529663689,RAJGHAT DAM,24.76354165,78.2306857680294
32,368.475,0.8838834764831844,RAJGHAT DAM,24.76354165,78.2306857680294
33,368.9,1.4142135623730951,RAJGHAT DAM,24.76354165,78.2306857680294
34,369.675,0.6010407640085815,RAJGHAT DAM,24.76354165,78.2306857680294
35,369.925,0.8131727983645135,RAJGHAT DAM,24.76354165,78.2306857680294
36,369.8666666666666,0.8082903768654875,RAJGHAT DAM,24.76354165,78.2306857680294
37,370.8,,RAJGHAT DAM,24.76354165,78.2306857680294
38,370.945,0.07778174593052987,RAJGHAT DAM,24.76354165,78.2306857680294
39,371.0,0.0,RAJGHAT DAM,24.76354165,78.2306857680294
40,370.95,,RAJGHAT DAM,24.76354165,78.2306857680294
41,371.0,0.0,RAJGHAT DAM,24.76354165,78.2306857680294
42,370.95,0.07071067811867082,RAJGHAT DAM,24.76354165,78.2306857680294
43,207.925,230.41074464963654,RAJGHAT DAM,24.76354165,78.2306857680294
44,208.0,230.5168106668145,RAJGHAT DAM,24.76354165,78.2306857680294
45,208.0,230.5168106668145,RAJGHAT DAM,24.76354165,78.2306857680294
46,370.95,0.07071067811867082,RAJGHAT DAM,24.76354165,78.2306857680294
47,370.875,0.1767766952966369,RAJGHAT DAM,24.76354165,78.2306857680294
48,370.225,0.5303300858899106,RAJGHAT DAM,24.76354165,78.2306857680294
49,369.975,0.6717514421272323,RAJGHAT DAM,24.76354165,78.2306857680294
50,369.825,0.8131727983645135,RAJGHAT DAM,24.76354165,78.2306857680294
51,369.45,0.7778174593052183,RAJGHAT DAM,24.76354165,78.2306857680294
52,368.975,0.7424621202459031,RAJGHAT DAM,24.76354165,78.2306857680294
