WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,348.8675,1.959327508538152,RANA PRATAP SAGAR,24.8132257,75.600809123949
2,347.80875000000003,1.0993431480401703,RANA PRATAP SAGAR,24.8132257,75.600809123949
3,348.1644444444444,1.5831385845142443,RANA PRATAP SAGAR,24.8132257,75.600809123949
4,347.94444444444446,1.5250173040912713,RANA PRATAP SAGAR,24.8132257,75.600809123949
5,348.02777777777777,1.3505441290252151,RANA PRATAP SAGAR,24.8132257,75.600809123949
6,347.9111111111111,1.2929080056643931,RANA PRATAP SAGAR,24.8132257,75.600809123949
7,347.8925,1.3894063480494179,RANA PRATAP SAGAR,24.8132257,75.600809123949
8,347.6433333333333,1.191312301623715,RANA PRATAP SAGAR,24.8132257,75.600809123949
9,347.25,0.776181127609491,RANA PRATAP SAGAR,24.8132257,75.600809123949
10,347.01,0.676946927651745,RANA PRATAP SAGAR,24.8132257,75.600809123949
11,347.555,0.7518643494673869,RANA PRATAP SAGAR,24.8132257,75.600809123949
12,347.54125,0.7829876390193935,RANA PRATAP SAGAR,24.8132257,75.600809123949
13,347.6171428571429,0.7374667062702982,RANA PRATAP SAGAR,24.8132257,75.600809123949
14,347.7057142857143,0.8319827150219129,RANA PRATAP SAGAR,24.8132257,75.600809123949
15,347.765,0.9116546965349726,RANA PRATAP SAGAR,24.8132257,75.600809123949
16,347.89750000000004,1.1055800029202478,RANA PRATAP SAGAR,24.8132257,75.600809123949
17,347.74875,1.0753662166908606,RANA PRATAP SAGAR,24.8132257,75.600809123949
18,347.699,1.1236789774862077,RANA PRATAP SAGAR,24.8132257,75.600809123949
19,347.925,1.2214511276112758,RANA PRATAP SAGAR,24.8132257,75.600809123949
20,347.84625,1.3867015076895888,RANA PRATAP SAGAR,24.8132257,75.600809123949
21,347.9866666666667,1.2884389779884713,RANA PRATAP SAGAR,24.8132257,75.600809123949
22,348.1583333333333,1.6799573407282318,RANA PRATAP SAGAR,24.8132257,75.600809123949
23,347.6933333333333,1.6159672026374934,RANA PRATAP SAGAR,24.8132257,75.600809123949
24,347.99,1.5342098943756106,RANA PRATAP SAGAR,24.8132257,75.600809123949
25,348.27875,1.6309457160100291,RANA PRATAP SAGAR,24.8132257,75.600809123949
26,348.1166666666667,1.8239928727930874,RANA PRATAP SAGAR,24.8132257,75.600809123949
27,348.22,1.819807682146663,RANA PRATAP SAGAR,24.8132257,75.600809123949
28,348.85857142857145,1.8050708995440972,RANA PRATAP SAGAR,24.8132257,75.600809123949
29,348.935,1.9623309754327642,RANA PRATAP SAGAR,24.8132257,75.600809123949
30,349.3275,1.7965900239859283,RANA PRATAP SAGAR,24.8132257,75.600809123949
31,350.42571428571426,1.6080200780551723,RANA PRATAP SAGAR,24.8132257,75.600809123949
32,350.56374999999997,1.7500362241148797,RANA PRATAP SAGAR,24.8132257,75.600809123949
33,350.4942857142857,1.5927529327431518,RANA PRATAP SAGAR,24.8132257,75.600809123949
34,350.87333333333333,1.6151160948984506,RANA PRATAP SAGAR,24.8132257,75.600809123949
35,350.9566666666667,1.6076146926424884,RANA PRATAP SAGAR,24.8132257,75.600809123949
36,351.15,1.624710963305676,RANA PRATAP SAGAR,24.8132257,75.600809123949
37,351.3225,1.669428901493817,RANA PRATAP SAGAR,24.8132257,75.600809123949
38,351.8211111111111,1.2109959170497386,RANA PRATAP SAGAR,24.8132257,75.600809123949
39,352.00875,1.2095387255360697,RANA PRATAP SAGAR,24.8132257,75.600809123949
40,351.7,1.29868064918646,RANA PRATAP SAGAR,24.8132257,75.600809123949
41,351.7511111111111,1.3977342777191737,RANA PRATAP SAGAR,24.8132257,75.600809123949
42,351.9241666666667,1.4199645215371464,RANA PRATAP SAGAR,24.8132257,75.600809123949
43,350.93,1.8215012123703564,RANA PRATAP SAGAR,24.8132257,75.600809123949
44,350.37857142857143,2.1315755407008896,RANA PRATAP SAGAR,24.8132257,75.600809123949
45,350.082,2.232063320487726,RANA PRATAP SAGAR,24.8132257,75.600809123949
46,350.13125,2.2034741238067004,RANA PRATAP SAGAR,24.8132257,75.600809123949
47,349.4866666666667,2.0981122467589755,RANA PRATAP SAGAR,24.8132257,75.600809123949
48,349.265,2.1985124841258243,RANA PRATAP SAGAR,24.8132257,75.600809123949
49,349.33375,2.166346084341749,RANA PRATAP SAGAR,24.8132257,75.600809123949
50,349.4511111111111,2.184527663159962,RANA PRATAP SAGAR,24.8132257,75.600809123949
51,348.585,1.5059690757591477,RANA PRATAP SAGAR,24.8132257,75.600809123949
52,348.67125,1.712770833641043,RANA PRATAP SAGAR,24.8132257,75.600809123949
53,347.53499999999997,0.629325035256078,RANA PRATAP SAGAR,24.8132257,75.600809123949
