WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,515.7700000000001,1.2055081915938926,SANJAY SAROVAR,22.34751275,79.6170499015841
2,515.35,1.2369316876853103,SANJAY SAROVAR,22.34751275,79.6170499015841
3,515.1625,1.456236587921093,SANJAY SAROVAR,22.34751275,79.6170499015841
4,514.61,1.393018305694501,SANJAY SAROVAR,22.34751275,79.6170499015841
5,513.6583333333334,1.3354462425222247,SANJAY SAROVAR,22.34751275,79.6170499015841
6,513.525,1.5542951242712548,SANJAY SAROVAR,22.34751275,79.6170499015841
7,511.65,0.5522680508593646,SANJAY SAROVAR,22.34751275,79.6170499015841
8,511.89,1.965769569405346,SANJAY SAROVAR,22.34751275,79.6170499015841
9,510.975,2.5522865565344466,SANJAY SAROVAR,22.34751275,79.6170499015841
10,511.30625,3.1410232068092365,SANJAY SAROVAR,22.34751275,79.6170499015841
11,509.0,0.4924428900897917,SANJAY SAROVAR,22.34751275,79.6170499015841
12,508.65,1.015709932346165,SANJAY SAROVAR,22.34751275,79.6170499015841
13,509.725,2.5542448329529095,SANJAY SAROVAR,22.34751275,79.6170499015841
14,508.56666666666666,1.227124008946643,SANJAY SAROVAR,22.34751275,79.6170499015841
15,509.63750000000005,2.5843680723405416,SANJAY SAROVAR,22.34751275,79.6170499015841
16,509.575,2.5937424698685696,SANJAY SAROVAR,22.34751275,79.6170499015841
17,509.4625,2.63545536862226,SANJAY SAROVAR,22.34751275,79.6170499015841
18,509.16999999999996,2.3416340448498603,SANJAY SAROVAR,22.34751275,79.6170499015841
19,509.0200000000001,2.3933762763093034,SANJAY SAROVAR,22.34751275,79.6170499015841
20,508.96000000000004,2.4055664613558037,SANJAY SAROVAR,22.34751275,79.6170499015841
21,509.0,2.3966121922413848,SANJAY SAROVAR,22.34751275,79.6170499015841
22,509.28749999999997,2.633557479911879,SANJAY SAROVAR,22.34751275,79.6170499015841
23,508.93,2.4245102598256643,SANJAY SAROVAR,22.34751275,79.6170499015841
24,509.48749999999995,2.712125550191181,SANJAY SAROVAR,22.34751275,79.6170499015841
25,509.7375,2.7554113425524487,SANJAY SAROVAR,22.34751275,79.6170499015841
26,510.825,2.345385540446026,SANJAY SAROVAR,22.34751275,79.6170499015841
27,511.4875,2.37464909688427,SANJAY SAROVAR,22.34751275,79.6170499015841
28,513.8874999999999,2.066549055793219,SANJAY SAROVAR,22.34751275,79.6170499015841
29,514.9625,2.2848687051994885,SANJAY SAROVAR,22.34751275,79.6170499015841
30,515.65,1.8524758208048206,SANJAY SAROVAR,22.34751275,79.6170499015841
31,516.025,1.4014873052106818,SANJAY SAROVAR,22.34751275,79.6170499015841
32,515.07,3.034715802179843,SANJAY SAROVAR,22.34751275,79.6170499015841
33,515.91,1.881289451413573,SANJAY SAROVAR,22.34751275,79.6170499015841
34,516.64,1.345083640522,SANJAY SAROVAR,22.34751275,79.6170499015841
35,517.33,0.8460200943240037,SANJAY SAROVAR,22.34751275,79.6170499015841
36,517.58,0.8700574693662304,SANJAY SAROVAR,22.34751275,79.6170499015841
37,518.27,0.3365263734092602,SANJAY SAROVAR,22.34751275,79.6170499015841
38,518.69,0.29664793948382046,SANJAY SAROVAR,22.34751275,79.6170499015841
39,518.87,0.18234582528813487,SANJAY SAROVAR,22.34751275,79.6170499015841
40,518.925,0.3403429642777263,SANJAY SAROVAR,22.34751275,79.6170499015841
41,519.15,0.17320508075688917,SANJAY SAROVAR,22.34751275,79.6170499015841
42,519.2183333333334,0.10888832199402462,SANJAY SAROVAR,22.34751275,79.6170499015841
43,389.54499999999996,259.44333440400175,SANJAY SAROVAR,22.34751275,79.6170499015841
44,415.496,232.05689998360316,SANJAY SAROVAR,22.34751275,79.6170499015841
45,415.436,232.02342495963637,SANJAY SAROVAR,22.34751275,79.6170499015841
46,519.1,0.33726843908079607,SANJAY SAROVAR,22.34751275,79.6170499015841
47,518.8375,0.6019066926581277,SANJAY SAROVAR,22.34751275,79.6170499015841
48,518.25,0.6585969936159973,SANJAY SAROVAR,22.34751275,79.6170499015841
49,517.95,0.7842193570678707,SANJAY SAROVAR,22.34751275,79.6170499015841
50,517.1166666666667,0.7182153808805646,SANJAY SAROVAR,22.34751275,79.6170499015841
51,516.8199999999999,0.8243178998420151,SANJAY SAROVAR,22.34751275,79.6170499015841
52,516.38,1.025670512396628,SANJAY SAROVAR,22.34751275,79.6170499015841
53,515.45,,SANJAY SAROVAR,22.34751275,79.6170499015841
