WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,126.46166666666666,7.989666868316019,SARDAR SAROVAR,21.8378767,73.7559923648656
2,125.49666666666667,7.579285916232477,SARDAR SAROVAR,21.8378767,73.7559923648656
3,124.90111111111112,7.799840454208734,SARDAR SAROVAR,21.8378767,73.7559923648656
4,124.41666666666667,7.859592864773596,SARDAR SAROVAR,21.8378767,73.7559923648656
5,123.78333333333333,7.775663958788342,SARDAR SAROVAR,21.8378767,73.7559923648656
6,123.33,7.724711968740319,SARDAR SAROVAR,21.8378767,73.7559923648656
7,122.24125000000001,7.825400834096984,SARDAR SAROVAR,21.8378767,73.7559923648656
8,122.05666666666667,7.442689366082666,SARDAR SAROVAR,21.8378767,73.7559923648656
9,121.4175,8.05990561802237,SARDAR SAROVAR,21.8378767,73.7559923648656
10,120.66499999999999,7.934366479346123,SARDAR SAROVAR,21.8378767,73.7559923648656
11,119.81222222222222,7.271479866192609,SARDAR SAROVAR,21.8378767,73.7559923648656
12,119.39111111111112,6.698077045772996,SARDAR SAROVAR,21.8378767,73.7559923648656
13,118.83624999999999,6.588483323193583,SARDAR SAROVAR,21.8378767,73.7559923648656
14,118.75,6.334968711164133,SARDAR SAROVAR,21.8378767,73.7559923648656
15,118.345,6.0158742388071005,SARDAR SAROVAR,21.8378767,73.7559923648656
16,117.8425,5.781027466759575,SARDAR SAROVAR,21.8378767,73.7559923648656
17,117.76875,5.747378128950873,SARDAR SAROVAR,21.8378767,73.7559923648656
18,118.25111111111111,5.4501684479574655,SARDAR SAROVAR,21.8378767,73.7559923648656
19,118.19666666666666,5.4264214727571645,SARDAR SAROVAR,21.8378767,73.7559923648656
20,117.6925,5.37633637871952,SARDAR SAROVAR,21.8378767,73.7559923648656
21,118.69125,5.896816180908859,SARDAR SAROVAR,21.8378767,73.7559923648656
22,118.61,5.9271915778047894,SARDAR SAROVAR,21.8378767,73.7559923648656
23,118.51777777777778,5.094400793463785,SARDAR SAROVAR,21.8378767,73.7559923648656
24,118.36625000000001,5.895470264775924,SARDAR SAROVAR,21.8378767,73.7559923648656
25,117.06,5.853221335299049,SARDAR SAROVAR,21.8378767,73.7559923648656
26,116.5611111111111,4.735777244667568,SARDAR SAROVAR,21.8378767,73.7559923648656
27,116.39999999999999,4.425980117442918,SARDAR SAROVAR,21.8378767,73.7559923648656
28,118.01857142857143,3.693320225178734,SARDAR SAROVAR,21.8378767,73.7559923648656
29,118.4425,4.852792274262613,SARDAR SAROVAR,21.8378767,73.7559923648656
30,121.78714285714285,5.622560846819749,SARDAR SAROVAR,21.8378767,73.7559923648656
31,121.79375,6.843626727526441,SARDAR SAROVAR,21.8378767,73.7559923648656
32,125.00874999999999,5.72087265446203,SARDAR SAROVAR,21.8378767,73.7559923648656
33,125.60714285714286,7.391165253836753,SARDAR SAROVAR,21.8378767,73.7559923648656
34,124.94444444444444,7.200935895963647,SARDAR SAROVAR,21.8378767,73.7559923648656
35,126.79555555555557,6.873181779771132,SARDAR SAROVAR,21.8378767,73.7559923648656
36,129.115,7.0928354193308545,SARDAR SAROVAR,21.8378767,73.7559923648656
37,130.3675,7.426861959901276,SARDAR SAROVAR,21.8378767,73.7559923648656
38,130.56444444444446,7.987211827526414,SARDAR SAROVAR,21.8378767,73.7559923648656
39,129.7875,7.353638069496136,SARDAR SAROVAR,21.8378767,73.7559923648656
40,130.20374999999999,6.596652695550542,SARDAR SAROVAR,21.8378767,73.7559923648656
41,131.16666666666666,7.06060903888609,SARDAR SAROVAR,21.8378767,73.7559923648656
42,131.0,6.992385143854708,SARDAR SAROVAR,21.8378767,73.7559923648656
43,131.17555555555555,7.013784839712281,SARDAR SAROVAR,21.8378767,73.7559923648656
44,130.95555555555555,7.094956150518326,SARDAR SAROVAR,21.8378767,73.7559923648656
45,130.91,7.123582315099617,SARDAR SAROVAR,21.8378767,73.7559923648656
46,130.49111111111108,7.0255488120936915,SARDAR SAROVAR,21.8378767,73.7559923648656
47,129.18375,7.376226169254838,SARDAR SAROVAR,21.8378767,73.7559923648656
48,129.2911111111111,7.273493734864362,SARDAR SAROVAR,21.8378767,73.7559923648656
49,127.77,7.413414482255409,SARDAR SAROVAR,21.8378767,73.7559923648656
50,127.11,7.273116840215657,SARDAR SAROVAR,21.8378767,73.7559923648656
51,127.25666666666666,7.280164833298759,SARDAR SAROVAR,21.8378767,73.7559923648656
52,128.42333333333332,7.2064831922373935,SARDAR SAROVAR,21.8378767,73.7559923648656
53,124.815,12.947125163525687,SARDAR SAROVAR,21.8378767,73.7559923648656
