WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,222.14,,SATHANUR,12.2047442,78.8891979
2,221.965,0.09192388155424797,SATHANUR,12.2047442,78.8891979
3,221.815,0.4879036790187162,SATHANUR,12.2047442,78.8891979
4,221.60500000000002,0.7848885271170674,SATHANUR,12.2047442,78.8891979
5,221.38,1.0748023074035393,SATHANUR,12.2047442,78.8891979
6,219.48666666666668,3.085714395943562,SATHANUR,12.2047442,78.8891979
7,219.33666666666667,3.03330402916247,SATHANUR,12.2047442,78.8891979
8,219.17999999999998,3.0331666620876723,SATHANUR,12.2047442,78.8891979
9,220.45,2.333452377915585,SATHANUR,12.2047442,78.8891979
10,220.16500000000002,2.6799347006969994,SATHANUR,12.2047442,78.8891979
11,218.45000000000002,3.002315772865998,SATHANUR,12.2047442,78.8891979
12,217.6833333333333,2.974312245433107,SATHANUR,12.2047442,78.8891979
13,216.98000000000002,3.959797974644652,SATHANUR,12.2047442,78.8891979
14,215.64499999999998,4.0092954493277055,SATHANUR,12.2047442,78.8891979
15,214.71,4.327493500861674,SATHANUR,12.2047442,78.8891979
16,213.925,4.532554467405757,SATHANUR,12.2047442,78.8891979
17,213.48000000000002,4.440630585851509,SATHANUR,12.2047442,78.8891979
18,212.55999999999997,3.3552198139615137,SATHANUR,12.2047442,78.8891979
19,212.68666666666664,4.237939751026838,SATHANUR,12.2047442,78.8891979
20,212.84,5.089960707117496,SATHANUR,12.2047442,78.8891979
21,213.43666666666664,4.330869812558824,SATHANUR,12.2047442,78.8891979
22,214.115,5.409366876077103,SATHANUR,12.2047442,78.8891979
23,213.45666666666668,3.611555528208487,SATHANUR,12.2047442,78.8891979
24,214.16,4.624478348960035,SATHANUR,12.2047442,78.8891979
25,216.45499999999998,2.0011121907579486,SATHANUR,12.2047442,78.8891979
26,217.4,1.6404877323527856,SATHANUR,12.2047442,78.8891979
27,217.62,1.7394826817189226,SATHANUR,12.2047442,78.8891979
28,217.775,1.6334166645409265,SATHANUR,12.2047442,78.8891979
29,218.11,1.612203461105319,SATHANUR,12.2047442,78.8891979
30,219.05,0.3394112549695255,SATHANUR,12.2047442,78.8891979
31,219.525,0.38890872965260914,SATHANUR,12.2047442,78.8891979
32,220.345,1.5485638507985375,SATHANUR,12.2047442,78.8891979
33,220.45999999999998,1.612203461105319,SATHANUR,12.2047442,78.8891979
34,220.45499999999998,1.6192745289171782,SATHANUR,12.2047442,78.8891979
35,220.475,1.590990257669732,SATHANUR,12.2047442,78.8891979
36,220.615,1.138441917710321,SATHANUR,12.2047442,78.8891979
37,220.87,0.7636753236814601,SATHANUR,12.2047442,78.8891979
38,220.82999999999998,0.07071067811866079,SATHANUR,12.2047442,78.8891979
39,221.22,0.4242640687119446,SATHANUR,12.2047442,78.8891979
40,221.46,,SATHANUR,12.2047442,78.8891979
41,221.39999999999998,0.028284271247446226,SATHANUR,12.2047442,78.8891979
42,221.26,0.32526911934580743,SATHANUR,12.2047442,78.8891979
43,110.7385,156.31514636944178,SATHANUR,12.2047442,78.8891979
44,221.3,0.014142135623748234,SATHANUR,12.2047442,78.8891979
45,110.9035,156.5484916072333,SATHANUR,12.2047442,78.8891979
46,221.575,0.03535533905932537,SATHANUR,12.2047442,78.8891979
47,221.6,0.0,SATHANUR,12.2047442,78.8891979
48,221.635,0.03535533905932537,SATHANUR,12.2047442,78.8891979
49,221.60500000000002,0.007071067811869092,SATHANUR,12.2047442,78.8891979
50,221.695,0.13435028842544242,SATHANUR,12.2047442,78.8891979
51,221.875,0.007071067811859044,SATHANUR,12.2047442,78.8891979
52,221.89,0.017320508075691483,SATHANUR,12.2047442,78.8891979
