WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,188.555,1.13294601224714,SHARDA SAGAR,23.8728109,78.9006882
2,188.62199999999999,0.9744588241685825,SHARDA SAGAR,23.8728109,78.9006882
3,189.124,0.787356336102024,SHARDA SAGAR,23.8728109,78.9006882
4,189.38600000000002,0.5079665343307518,SHARDA SAGAR,23.8728109,78.9006882
5,189.348,0.5190086704478072,SHARDA SAGAR,23.8728109,78.9006882
6,189.054,0.8394224204773063,SHARDA SAGAR,23.8728109,78.9006882
7,188.55,1.2137270423506776,SHARDA SAGAR,23.8728109,78.9006882
8,188.18,1.5876082640248492,SHARDA SAGAR,23.8728109,78.9006882
9,187.1825,1.1813657350710722,SHARDA SAGAR,23.8728109,78.9006882
10,187.26250000000002,1.0963994101907772,SHARDA SAGAR,23.8728109,78.9006882
11,187.49714285714285,1.2283147572414612,SHARDA SAGAR,23.8728109,78.9006882
12,187.165,2.3275237198934557,SHARDA SAGAR,23.8728109,78.9006882
13,187.35333333333332,2.5486140024204027,SHARDA SAGAR,23.8728109,78.9006882
14,187.9825,1.7732150649784943,SHARDA SAGAR,23.8728109,78.9006882
15,187.84,1.6135055004554448,SHARDA SAGAR,23.8728109,78.9006882
16,187.6025,1.4385264451282567,SHARDA SAGAR,23.8728109,78.9006882
17,187.22,1.1505650785592347,SHARDA SAGAR,23.8728109,78.9006882
18,187.00799999999998,0.8495999058380388,SHARDA SAGAR,23.8728109,78.9006882
19,187.05599999999998,1.0080327375636342,SHARDA SAGAR,23.8728109,78.9006882
20,186.64499999999998,0.7375025423684926,SHARDA SAGAR,23.8728109,78.9006882
21,186.6225,0.5854556629953593,SHARDA SAGAR,23.8728109,78.9006882
22,186.47,1.1691307312130055,SHARDA SAGAR,23.8728109,78.9006882
23,186.214,1.6881735692753954,SHARDA SAGAR,23.8728109,78.9006882
24,185.85500000000002,2.3346734246998997,SHARDA SAGAR,23.8728109,78.9006882
25,186.7375,2.0944430445029134,SHARDA SAGAR,23.8728109,78.9006882
26,186.6975,2.0925801458167985,SHARDA SAGAR,23.8728109,78.9006882
27,186.595,1.9688321411435772,SHARDA SAGAR,23.8728109,78.9006882
28,186.35500000000002,1.8499279265239759,SHARDA SAGAR,23.8728109,78.9006882
29,186.16500000000002,2.0086064821163867,SHARDA SAGAR,23.8728109,78.9006882
30,185.84,1.8925643978475168,SHARDA SAGAR,23.8728109,78.9006882
31,185.465,1.8815684946341902,SHARDA SAGAR,23.8728109,78.9006882
32,185.42000000000002,1.6990781814462386,SHARDA SAGAR,23.8728109,78.9006882
33,185.26999999999998,1.562540666137474,SHARDA SAGAR,23.8728109,78.9006882
34,185.215,1.346811048365725,SHARDA SAGAR,23.8728109,78.9006882
35,185.4375,1.3785832099175734,SHARDA SAGAR,23.8728109,78.9006882
36,185.324,1.1928453378372164,SHARDA SAGAR,23.8728109,78.9006882
37,185.084,1.2721359990189784,SHARDA SAGAR,23.8728109,78.9006882
38,185.10999999999999,1.0721007415350472,SHARDA SAGAR,23.8728109,78.9006882
39,184.322,2.4922018377330635,SHARDA SAGAR,23.8728109,78.9006882
40,185.48000000000002,0.9062376435939171,SHARDA SAGAR,23.8728109,78.9006882
41,186.336,1.0607685892785506,SHARDA SAGAR,23.8728109,78.9006882
42,187.31199999999998,1.3068167430822097,SHARDA SAGAR,23.8728109,78.9006882
43,188.0,1.6550075528528543,SHARDA SAGAR,23.8728109,78.9006882
44,150.572,83.9833785340885,SHARDA SAGAR,23.8728109,78.9006882
45,151.29000000000002,83.46425881777182,SHARDA SAGAR,23.8728109,78.9006882
46,189.28,0.805326020938114,SHARDA SAGAR,23.8728109,78.9006882
47,189.545,0.3291909273759944,SHARDA SAGAR,23.8728109,78.9006882
48,189.732,0.2072920644887297,SHARDA SAGAR,23.8728109,78.9006882
49,189.70499999999998,0.2624880949681252,SHARDA SAGAR,23.8728109,78.9006882
50,189.68,0.30897680603350997,SHARDA SAGAR,23.8728109,78.9006882
51,189.616,0.2339444378479661,SHARDA SAGAR,23.8728109,78.9006882
52,189.14,0.38423950864012807,SHARDA SAGAR,23.8728109,78.9006882
53,188.18,,SHARDA SAGAR,23.8728109,78.9006882
