WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,520.884,4.876205491978376,SINGUR,22.8130387,88.2283646
2,520.8199999999999,4.851474002816059,SINGUR,22.8130387,88.2283646
3,520.7139999999999,4.844092278229241,SINGUR,22.8130387,88.2283646
4,520.618,4.841288051748204,SINGUR,22.8130387,88.2283646
5,520.524,4.8168070337102025,SINGUR,22.8130387,88.2283646
6,520.426,4.796871897393095,SINGUR,22.8130387,88.2283646
7,522.47,0.35242020373409494,SINGUR,22.8130387,88.2283646
8,520.2239999999999,4.756882382401335,SINGUR,22.8130387,88.2283646
9,519.45,5.21641000433571,SINGUR,22.8130387,88.2283646
10,519.2974999999999,5.141811451229996,SINGUR,22.8130387,88.2283646
11,519.856,4.668321968330783,SINGUR,22.8130387,88.2283646
12,519.698,4.654521457679601,SINGUR,22.8130387,88.2283646
13,518.885,5.081663113587888,SINGUR,22.8130387,88.2283646
14,517.208,5.552861424527001,SINGUR,22.8130387,88.2283646
15,521.0433333333334,0.30435724623095967,SINGUR,22.8130387,88.2283646
16,518.38,5.0328984359578115,SINGUR,22.8130387,88.2283646
17,518.26,5.053592781378469,SINGUR,22.8130387,88.2283646
18,518.904,4.728364410660421,SINGUR,22.8130387,88.2283646
19,518.8100000000001,4.769355302344299,SINGUR,22.8130387,88.2283646
20,518.702,4.847073343781771,SINGUR,22.8130387,88.2283646
21,518.606,4.914257827993994,SINGUR,22.8130387,88.2283646
22,517.725,5.383465426655946,SINGUR,22.8130387,88.2283646
23,518.3779999999999,5.028396364647483,SINGUR,22.8130387,88.2283646
24,517.64,5.581833629432764,SINGUR,22.8130387,88.2283646
25,517.99,5.864679587723998,SINGUR,22.8130387,88.2283646
26,517.9,5.93920870150224,SINGUR,22.8130387,88.2283646
27,518.215,5.418994371652378,SINGUR,22.8130387,88.2283646
28,518.56,5.712471735889224,SINGUR,22.8130387,88.2283646
29,518.8775,6.060117573116845,SINGUR,22.8130387,88.2283646
30,519.3475,6.366633725918282,SINGUR,22.8130387,88.2283646
31,519.5975,6.400132160093769,SINGUR,22.8130387,88.2283646
32,520.25,5.045995111637218,SINGUR,22.8130387,88.2283646
33,520.3375,4.9576094709715175,SINGUR,22.8130387,88.2283646
34,520.4375,4.740551128297239,SINGUR,22.8130387,88.2283646
35,520.76,4.407833935165925,SINGUR,22.8130387,88.2283646
36,521.0799999999999,4.534989893410311,SINGUR,22.8130387,88.2283646
37,521.2075,4.6053112453629925,SINGUR,22.8130387,88.2283646
38,522.0625,2.94204435724549,SINGUR,22.8130387,88.2283646
39,522.9375,0.9191073568051233,SINGUR,22.8130387,88.2283646
40,519.96,6.590725807273936,SINGUR,22.8130387,88.2283646
41,520.778,5.600961524595591,SINGUR,22.8130387,88.2283646
42,520.9559999999999,5.661764742551589,SINGUR,22.8130387,88.2283646
43,521.01,5.680048415286605,SINGUR,22.8130387,88.2283646
44,520.5,6.034484236453045,SINGUR,22.8130387,88.2283646
45,521.22,5.073603256069631,SINGUR,22.8130387,88.2283646
46,521.248,4.962350249629728,SINGUR,22.8130387,88.2283646
47,520.6225,5.487412110154205,SINGUR,22.8130387,88.2283646
48,521.158,4.923918155290574,SINGUR,22.8130387,88.2283646
49,520.5225,5.4610888718886885,SINGUR,22.8130387,88.2283646
50,520.4725,5.454352237739462,SINGUR,22.8130387,88.2283646
51,521.006,4.889164550309228,SINGUR,22.8130387,88.2283646
52,520.964,4.8654681172524485,SINGUR,22.8130387,88.2283646
53,523.19,,SINGUR,22.8130387,88.2283646
