WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,97.52142857142857,3.2127113604733095,SOMASILA,14.4986502,79.3138784
2,96.03666666666668,3.9660339131177387,SOMASILA,14.4986502,79.3138784
3,95.75777777777778,4.212329455828978,SOMASILA,14.4986502,79.3138784
4,95.41555555555556,4.3958392574999605,SOMASILA,14.4986502,79.3138784
5,95.00666666666667,4.666010072856676,SOMASILA,14.4986502,79.3138784
6,194.50444444444443,302.09360788963704,SOMASILA,14.4986502,79.3138784
7,93.52375,5.300325967064935,SOMASILA,14.4986502,79.3138784
8,93.36666666666666,5.466392777691699,SOMASILA,14.4986502,79.3138784
9,91.92625,5.6225767796320145,SOMASILA,14.4986502,79.3138784
10,91.04125,5.617168675460211,SOMASILA,14.4986502,79.3138784
11,91.053,6.321815931096596,SOMASILA,14.4986502,79.3138784
12,92.09625,6.474252163101817,SOMASILA,14.4986502,79.3138784
13,89.8425,6.702683364572309,SOMASILA,14.4986502,79.3138784
14,89.48875,6.778342480703841,SOMASILA,14.4986502,79.3138784
15,89.23125,6.83369893040574,SOMASILA,14.4986502,79.3138784
16,88.98,6.969951834225868,SOMASILA,14.4986502,79.3138784
17,88.77625,7.040032340631885,SOMASILA,14.4986502,79.3138784
18,89.57777777777777,7.2448546876003235,SOMASILA,14.4986502,79.3138784
19,89.34555555555556,7.171044399372924,SOMASILA,14.4986502,79.3138784
20,89.11222222222221,7.093656986663822,SOMASILA,14.4986502,79.3138784
21,88.87222222222222,6.945802289472719,SOMASILA,14.4986502,79.3138784
22,88.47285714285714,6.188625895640363,SOMASILA,14.4986502,79.3138784
23,88.74375,7.092287435759254,SOMASILA,14.4986502,79.3138784
24,86.87375,6.000126040342824,SOMASILA,14.4986502,79.3138784
25,88.48125,6.7583270066319985,SOMASILA,14.4986502,79.3138784
26,87.72333333333333,6.458258279133785,SOMASILA,14.4986502,79.3138784
27,87.52111111111111,6.463366855680638,SOMASILA,14.4986502,79.3138784
28,89.16714285714285,5.844495171486059,SOMASILA,14.4986502,79.3138784
29,88.5275,5.883436192275007,SOMASILA,14.4986502,79.3138784
30,89.25428571428571,6.3510415343806885,SOMASILA,14.4986502,79.3138784
31,88.6275,6.23733860369492,SOMASILA,14.4986502,79.3138784
32,78.43,31.965520263469607,SOMASILA,14.4986502,79.3138784
33,88.41428571428571,8.595281374379894,SOMASILA,14.4986502,79.3138784
34,87.96222222222222,6.8171379217707235,SOMASILA,14.4986502,79.3138784
35,89.57777777777778,6.368796546008077,SOMASILA,14.4986502,79.3138784
36,91.9,5.9226562573609804,SOMASILA,14.4986502,79.3138784
37,92.77875,5.587837397930823,SOMASILA,14.4986502,79.3138784
38,93.24333333333334,6.137847749822408,SOMASILA,14.4986502,79.3138784
39,93.94125,6.49815454571527,SOMASILA,14.4986502,79.3138784
40,93.92125,5.731774687775904,SOMASILA,14.4986502,79.3138784
41,95.04333333333334,5.164501428018008,SOMASILA,14.4986502,79.3138784
42,95.55222222222223,4.817625913709418,SOMASILA,14.4986502,79.3138784
43,84.77111111111111,31.749189928423544,SOMASILA,14.4986502,79.3138784
44,84.90444444444444,31.81266458154327,SOMASILA,14.4986502,79.3138784
45,95.35374999999999,4.917226098116704,SOMASILA,14.4986502,79.3138784
46,95.705,3.8925348781710105,SOMASILA,14.4986502,79.3138784
47,96.16,3.2246240090900526,SOMASILA,14.4986502,79.3138784
48,96.76111111111112,3.257638885928133,SOMASILA,14.4986502,79.3138784
49,96.605,3.2860962510901204,SOMASILA,14.4986502,79.3138784
50,96.57625,3.265105281610379,SOMASILA,14.4986502,79.3138784
51,96.82222222222222,3.347453426777501,SOMASILA,14.4986502,79.3138784
52,96.98125,3.5303275343797766,SOMASILA,14.4986502,79.3138784
53,99.14,1.598061325481591,SOMASILA,14.4986502,79.3138784
