WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,329.5357142857143,4.4345268712038,SRIRAMSAGAR,18.8812115,78.1441131
2,329.1611111111111,3.9079420557514837,SRIRAMSAGAR,18.8812115,78.1441131
3,328.82444444444445,3.783761723176783,SRIRAMSAGAR,18.8812115,78.1441131
4,328.52555555555557,3.6386677201659743,SRIRAMSAGAR,18.8812115,78.1441131
5,328.14444444444445,3.515992431416456,SRIRAMSAGAR,18.8812115,78.1441131
6,327.7966666666667,3.4111544966477254,SRIRAMSAGAR,18.8812115,78.1441131
7,327.21,3.15752672197718,SRIRAMSAGAR,18.8812115,78.1441131
8,326.92125,3.3608945981688083,SRIRAMSAGAR,18.8812115,78.1441131
9,325.50333333333333,3.726345394619251,SRIRAMSAGAR,18.8812115,78.1441131
10,326.69428571428574,1.7712129285027345,SRIRAMSAGAR,18.8812115,78.1441131
11,325.68111111111114,2.842043474528697,SRIRAMSAGAR,18.8812115,78.1441131
12,325.11333333333334,2.7603441814382608,SRIRAMSAGAR,18.8812115,78.1441131
13,324.3175,2.6042753310662117,SRIRAMSAGAR,18.8812115,78.1441131
14,323.84,2.3895815533268716,SRIRAMSAGAR,18.8812115,78.1441131
15,323.0785714285715,2.650147345409489,SRIRAMSAGAR,18.8812115,78.1441131
16,322.8525,2.5713851186804977,SRIRAMSAGAR,18.8812115,78.1441131
17,322.655,2.5245084387149386,SRIRAMSAGAR,18.8812115,78.1441131
18,322.75444444444446,2.5147420897137276,SRIRAMSAGAR,18.8812115,78.1441131
19,322.6144444444445,2.5518773046088628,SRIRAMSAGAR,18.8812115,78.1441131
20,322.5577777777778,2.5568084489152567,SRIRAMSAGAR,18.8812115,78.1441131
21,322.6625,2.6866375692622664,SRIRAMSAGAR,18.8812115,78.1441131
22,322.3442857142857,2.7857007325677694,SRIRAMSAGAR,18.8812115,78.1441131
23,322.44444444444446,2.549260241281339,SRIRAMSAGAR,18.8812115,78.1441131
24,322.435,2.551011004064303,SRIRAMSAGAR,18.8812115,78.1441131
25,322.90625,2.743433393708392,SRIRAMSAGAR,18.8812115,78.1441131
26,322.787,2.5503248159139758,SRIRAMSAGAR,18.8812115,78.1441131
27,323.32222222222225,2.7496716975748914,SRIRAMSAGAR,18.8812115,78.1441131
28,326.36333333333334,3.720476671969165,SRIRAMSAGAR,18.8812115,78.1441131
29,326.03499999999997,4.1095394250103325,SRIRAMSAGAR,18.8812115,78.1441131
30,327.33714285714285,4.680134308207105,SRIRAMSAGAR,18.8812115,78.1441131
31,327.24875,4.728731142102037,SRIRAMSAGAR,18.8812115,78.1441131
32,287.01,115.13163435203823,SRIRAMSAGAR,18.8812115,78.1441131
33,328.21999999999997,4.292342018059617,SRIRAMSAGAR,18.8812115,78.1441131
34,328.5788888888889,4.16759056423627,SRIRAMSAGAR,18.8812115,78.1441131
35,328.8544444444444,4.190331463951003,SRIRAMSAGAR,18.8812115,78.1441131
36,330.0575,2.7598227168735776,SRIRAMSAGAR,18.8812115,78.1441131
37,329.02,3.647523621778016,SRIRAMSAGAR,18.8812115,78.1441131
38,329.53222222222223,3.7612989038953626,SRIRAMSAGAR,18.8812115,78.1441131
39,330.00875,3.9591176415964124,SRIRAMSAGAR,18.8812115,78.1441131
40,332.49375000000003,8.998776008038957,SRIRAMSAGAR,18.8812115,78.1441131
41,330.2322222222222,3.9310583109951955,SRIRAMSAGAR,18.8812115,78.1441131
42,330.34444444444443,3.9043216795978646,SRIRAMSAGAR,18.8812115,78.1441131
43,330.3066666666667,3.987358147947098,SRIRAMSAGAR,18.8812115,78.1441131
44,330.22444444444443,4.011751834021854,SRIRAMSAGAR,18.8812115,78.1441131
45,330.1266666666667,4.028687751613427,SRIRAMSAGAR,18.8812115,78.1441131
46,330.10333333333335,4.035514217544041,SRIRAMSAGAR,18.8812115,78.1441131
47,330.0155555555555,4.021542338180444,SRIRAMSAGAR,18.8812115,78.1441131
48,329.77375,4.279465712646185,SRIRAMSAGAR,18.8812115,78.1441131
49,329.6925,4.24012044977162,SRIRAMSAGAR,18.8812115,78.1441131
50,329.61625,4.338459033541095,SRIRAMSAGAR,18.8812115,78.1441131
51,329.84555555555556,4.1702221496915355,SRIRAMSAGAR,18.8812115,78.1441131
52,329.4775,4.348269770839885,SRIRAMSAGAR,18.8812115,78.1441131
53,326.105,8.534778848921604,SRIRAMSAGAR,18.8812115,78.1441131
