WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,350.56666666666666,2.6576505915312945,TAWA,53.4631552,-113.427559
2,349.7422222222222,2.9862509011207465,TAWA,53.4631552,-113.427559
3,349.01666666666665,3.281550700507315,TAWA,53.4631552,-113.427559
4,348.31444444444446,3.6786142469383556,TAWA,53.4631552,-113.427559
5,347.4166666666667,4.138496103658926,TAWA,53.4631552,-113.427559
6,346.40666666666664,4.72663728246623,TAWA,53.4631552,-113.427559
7,345.15250000000003,4.880403232755033,TAWA,53.4631552,-113.427559
8,345.14000000000004,4.666701190348495,TAWA,53.4631552,-113.427559
9,344.3675,4.703131935210837,TAWA,53.4631552,-113.427559
10,344.1775,4.617255678430633,TAWA,53.4631552,-113.427559
11,344.4988888888889,4.443873435541454,TAWA,53.4631552,-113.427559
12,344.79200000000003,4.2941557183377945,TAWA,53.4631552,-113.427559
13,343.44,4.620930642197509,TAWA,53.4631552,-113.427559
14,343.61625,4.354655759725946,TAWA,53.4631552,-113.427559
15,343.185,4.114615066182637,TAWA,53.4631552,-113.427559
16,342.6925,3.8781503323105033,TAWA,53.4631552,-113.427559
17,342.12625,3.6293523133316423,TAWA,53.4631552,-113.427559
18,341.59777777777776,3.2786536023868766,TAWA,53.4631552,-113.427559
19,340.84666666666664,3.2400038580223907,TAWA,53.4631552,-113.427559
20,340.13444444444445,2.8548253497854774,TAWA,53.4631552,-113.427559
21,339.1575,2.339864159671303,TAWA,53.4631552,-113.427559
22,338.7957142857143,1.7049814968972266,TAWA,53.4631552,-113.427559
23,338.9344444444444,1.8900271896927234,TAWA,53.4631552,-113.427559
24,339.4075,1.8078459953373012,TAWA,53.4631552,-113.427559
25,339.23125,1.8858983270579648,TAWA,53.4631552,-113.427559
26,340.4177777777778,2.6355539160571997,TAWA,53.4631552,-113.427559
27,341.87888888888887,1.9880105912975135,TAWA,53.4631552,-113.427559
28,344.95142857142855,3.5388342175139256,TAWA,53.4631552,-113.427559
29,346.90375,4.001217448655915,TAWA,53.4631552,-113.427559
30,349.1228571428572,3.6093291818366073,TAWA,53.4631552,-113.427559
31,349.80125,3.3253976668749283,TAWA,53.4631552,-113.427559
32,307.595,123.92733066484683,TAWA,53.4631552,-113.427559
33,351.8257142857143,3.241516399993761,TAWA,53.4631552,-113.427559
34,352.7555555555556,2.553972939907111,TAWA,53.4631552,-113.427559
35,353.52777777777777,2.1748263021318484,TAWA,53.4631552,-113.427559
36,353.8125,2.3396016144390295,TAWA,53.4631552,-113.427559
37,354.25625,2.0802193393967,TAWA,53.4631552,-113.427559
38,354.5811111111111,1.6289140895428105,TAWA,53.4631552,-113.427559
39,355.04875,1.1524562278641493,TAWA,53.4631552,-113.427559
40,354.74,1.3608085831592969,TAWA,53.4631552,-113.427559
41,354.8388888888889,1.2510040412049643,TAWA,53.4631552,-113.427559
42,319.2877777777778,106.44233706305234,TAWA,53.4631552,-113.427559
43,320.2055555555555,103.58408928391356,TAWA,53.4631552,-113.427559
44,323.544,98.22955486455636,TAWA,53.4631552,-113.427559
45,315.325,109.64180693773442,TAWA,53.4631552,-113.427559
46,353.91,1.6234377105389677,TAWA,53.4631552,-113.427559
47,361.91125,24.549269664725834,TAWA,53.4631552,-113.427559
48,353.0577777777778,1.7848303685349103,TAWA,53.4631552,-113.427559
49,352.60125,2.054266900867554,TAWA,53.4631552,-113.427559
50,352.12125000000003,2.2088163443023374,TAWA,53.4631552,-113.427559
51,351.75777777777773,2.325584753227557,TAWA,53.4631552,-113.427559
52,351.39444444444445,2.585382520591055,TAWA,53.4631552,-113.427559
53,350.795,1.1667261889577873,TAWA,53.4631552,-113.427559
