WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,504.6914285714286,8.625685341991542,THEIN DAM,32.4425,75.728611
2,504.72333333333336,8.23801402038139,THEIN DAM,32.4425,75.728611
3,503.8633333333334,8.210939349428914,THEIN DAM,32.4425,75.728611
4,503.66444444444437,8.21685784091326,THEIN DAM,32.4425,75.728611
5,503.82444444444445,8.302331165267859,THEIN DAM,32.4425,75.728611
6,503.8566666666667,8.48989693694806,THEIN DAM,32.4425,75.728611
7,505.0244444444445,9.2401936006654,THEIN DAM,32.4425,75.728611
8,502.5475,6.502271581092686,THEIN DAM,32.4425,75.728611
9,504.48125000000005,9.11956051181038,THEIN DAM,32.4425,75.728611
10,504.44125,8.807954906949568,THEIN DAM,32.4425,75.728611
11,503.879,7.842918178558021,THEIN DAM,32.4425,75.728611
12,505.21400000000006,6.917766498902166,THEIN DAM,32.4425,75.728611
13,506.1766666666667,8.237236591640844,THEIN DAM,32.4425,75.728611
14,505.99625000000003,8.06683322092911,THEIN DAM,32.4425,75.728611
15,506.51374999999996,8.657282545431238,THEIN DAM,32.4425,75.728611
16,507.26374999999996,8.834977463792097,THEIN DAM,32.4425,75.728611
17,508.18375000000003,8.541167430242092,THEIN DAM,32.4425,75.728611
18,508.2733333333333,7.604018674358967,THEIN DAM,32.4425,75.728611
19,508.16444444444437,7.075547878276134,THEIN DAM,32.4425,75.728611
20,508.43,6.58894528737339,THEIN DAM,32.4425,75.728611
21,508.4957142857143,6.762691419700809,THEIN DAM,32.4425,75.728611
22,507.9857142857143,5.999594033884995,THEIN DAM,32.4425,75.728611
23,509.0055555555556,5.333772377762059,THEIN DAM,32.4425,75.728611
24,509.5375,4.740035412767057,THEIN DAM,32.4425,75.728611
25,508.81875,4.446277536161183,THEIN DAM,32.4425,75.728611
26,509.1544444444445,7.199550526093824,THEIN DAM,32.4425,75.728611
27,509.47999999999996,7.260711053333548,THEIN DAM,32.4425,75.728611
28,511.7271428571429,9.243844283784613,THEIN DAM,32.4425,75.728611
29,512.625,9.317600856137028,THEIN DAM,32.4425,75.728611
30,514.4085714285715,8.175990110421752,THEIN DAM,32.4425,75.728611
31,515.11,7.052993285528772,THEIN DAM,32.4425,75.728611
32,517.11,6.246146240454446,THEIN DAM,32.4425,75.728611
33,517.2114285714285,6.540480177508491,THEIN DAM,32.4425,75.728611
34,518.5344444444445,6.289326496356986,THEIN DAM,32.4425,75.728611
35,518.5455555555556,6.119336383773814,THEIN DAM,32.4425,75.728611
36,518.66625,6.182151584544458,THEIN DAM,32.4425,75.728611
37,518.64,5.332091522095252,THEIN DAM,32.4425,75.728611
38,517.6533333333333,4.817862596629372,THEIN DAM,32.4425,75.728611
39,516.6455555555555,5.153273501161925,THEIN DAM,32.4425,75.728611
40,517.6514285714286,6.112755594032902,THEIN DAM,32.4425,75.728611
41,517.5288888888889,5.594540741750912,THEIN DAM,32.4425,75.728611
42,517.2133333333334,5.801803598881978,THEIN DAM,32.4425,75.728611
43,464.14040000000006,162.33354901231397,THEIN DAM,32.4425,75.728611
44,516.6,5.778385834914674,THEIN DAM,32.4425,75.728611
45,515.1644444444445,5.599049274455227,THEIN DAM,32.4425,75.728611
46,514.2033333333334,5.771433963929557,THEIN DAM,32.4425,75.728611
47,514.1575,6.002932021699294,THEIN DAM,32.4425,75.728611
48,512.5677777777778,6.290071100110443,THEIN DAM,32.4425,75.728611
49,512.7175,6.074757490750464,THEIN DAM,32.4425,75.728611
50,511.66125,6.360225596852452,THEIN DAM,32.4425,75.728611
51,509.2033333333333,7.2140921119708485,THEIN DAM,32.4425,75.728611
52,507.84875,8.088548231914048,THEIN DAM,32.4425,75.728611
53,497.71,0.5374011537017697,THEIN DAM,32.4425,75.728611
