WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,663.54,1.6689667462235576,THOKARWADI,,
2,663.31,1.359579767007856,THOKARWADI,,
3,662.9749999999999,3.104198769408974,THOKARWADI,,
4,662.77,1.6768422704595574,THOKARWADI,,
5,662.51,1.6360165035841854,THOKARWADI,,
6,662.08,1.4971439476549766,THOKARWADI,,
7,661.63,1.6988525539316242,THOKARWADI,,
8,661.654,1.6748522322879622,THOKARWADI,,
9,661.61,1.832229971009816,THOKARWADI,,
10,661.195,2.1890104309177185,THOKARWADI,,
11,660.688,1.798963590515385,THOKARWADI,,
12,660.318,1.7983798263992852,THOKARWADI,,
13,660.2325000000001,1.9321210279551815,THOKARWADI,,
14,659.8325,1.892588615274508,THOKARWADI,,
15,659.4175,1.9114109099475727,THOKARWADI,,
16,659.02,1.9668418001117114,THOKARWADI,,
17,658.004,2.127352815120221,THOKARWADI,,
18,658.5375,1.3763084683310818,THOKARWADI,,
19,657.23,1.7941571837495192,THOKARWADI,,
20,657.31,2.0266392542005818,THOKARWADI,,
21,656.658,1.7751816808428285,THOKARWADI,,
22,656.3425,2.010213504415259,THOKARWADI,,
23,655.9616666666667,1.9116214757809182,THOKARWADI,,
24,654.9066666666666,2.0280368175486903,THOKARWADI,,
25,654.865,1.9090049764209804,THOKARWADI,,
26,654.6775,1.939353414586114,THOKARWADI,,
27,654.72,2.006339951254515,THOKARWADI,,
28,656.5550000000001,2.0344450512773244,THOKARWADI,,
29,658.6675,1.9181827337352082,THOKARWADI,,
30,660.5475,2.454402507060897,THOKARWADI,,
31,661.265,3.066751810412195,THOKARWADI,,
32,661.96,2.940884220774415,THOKARWADI,,
33,662.8125,2.4220841576350445,THOKARWADI,,
34,663.655,1.6510299815569482,THOKARWADI,,
35,664.0175,1.4558245086547756,THOKARWADI,,
36,664.976,1.6140879777756816,THOKARWADI,,
37,665.5060000000001,1.6006811050300018,THOKARWADI,,
38,665.812,1.6183695498865867,THOKARWADI,,
39,665.926,1.5610669428310875,THOKARWADI,,
40,663.2925,5.6942624632168055,THOKARWADI,,
41,665.9399999999999,1.5408439246075016,THOKARWADI,,
42,665.844,1.5516217322530454,THOKARWADI,,
43,665.758,1.5598461462592847,THOKARWADI,,
44,665.85,1.4607190010402595,THOKARWADI,,
45,665.46,1.575864841920126,THOKARWADI,,
46,665.476,1.911682505020103,THOKARWADI,,
47,665.9175,0.7969682135024471,THOKARWADI,,
48,664.824,1.6635894926333605,THOKARWADI,,
49,665.1525,1.2594542468862941,THOKARWADI,,
50,664.9,1.2725564820470938,THOKARWADI,,
51,664.112,1.7927827531522238,THOKARWADI,,
52,663.874,1.609077375392518,THOKARWADI,,
53,661.51,,THOKARWADI,,
