WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,367.23400000000004,0.8758310339329063,TILAIYA,23.7452169,85.8300721
2,367.03000000000003,0.9228217596047248,TILAIYA,23.7452169,85.8300721
3,366.752,1.006165990281928,TILAIYA,23.7452169,85.8300721
4,366.504,0.992637899739867,TILAIYA,23.7452169,85.8300721
5,366.255,1.1275489641991927,TILAIYA,23.7452169,85.8300721
6,365.52750000000003,0.4275024366402407,TILAIYA,23.7452169,85.8300721
7,365.305,0.34510867853473665,TILAIYA,23.7452169,85.8300721
8,365.2125,0.2854674529025376,TILAIYA,23.7452169,85.8300721
9,365.01,0.1951922129594249,TILAIYA,23.7452169,85.8300721
10,364.9266666666667,0.13051181300300715,TILAIYA,23.7452169,85.8300721
11,364.9375,0.15945218719102458,TILAIYA,23.7452169,85.8300721
12,364.90999999999997,0.15121728296286602,TILAIYA,23.7452169,85.8300721
13,364.81,0.14000000000002288,TILAIYA,23.7452169,85.8300721
14,364.74,0.14422205101858016,TILAIYA,23.7452169,85.8300721
15,364.68,0.14177446878759464,TILAIYA,23.7452169,85.8300721
16,364.6133333333333,0.13868429375142982,TILAIYA,23.7452169,85.8300721
17,364.54333333333335,0.13868429375142574,TILAIYA,23.7452169,85.8300721
18,364.52750000000003,0.1372042273401265,TILAIYA,23.7452169,85.8300721
19,364.48,0.15362291495736813,TILAIYA,23.7452169,85.8300721
20,364.39000000000004,0.1824828759089208,TILAIYA,23.7452169,85.8300721
21,364.3925,0.19602295783911075,TILAIYA,23.7452169,85.8300721
22,364.6566666666667,0.7574518686579043,TILAIYA,23.7452169,85.8300721
23,364.5425,0.6193746846618935,TILAIYA,23.7452169,85.8300721
24,364.60999999999996,0.9127978965795418,TILAIYA,23.7452169,85.8300721
25,365.0933333333333,1.4174742796020758,TILAIYA,23.7452169,85.8300721
26,365.1333333333334,1.4087346568226855,TILAIYA,23.7452169,85.8300721
27,365.08666666666664,1.2761008319617015,TILAIYA,23.7452169,85.8300721
28,364.98333333333335,1.0570871928716659,TILAIYA,23.7452169,85.8300721
29,365.40250000000003,1.2721733372461406,TILAIYA,23.7452169,85.8300721
30,365.4425,1.3515022505838932,TILAIYA,23.7452169,85.8300721
31,366.225,2.352877670711637,TILAIYA,23.7452169,85.8300721
32,366.41499999999996,2.629252111659629,TILAIYA,23.7452169,85.8300721
33,366.4675,2.5898439463926315,TILAIYA,23.7452169,85.8300721
34,366.6225,2.3661413736292474,TILAIYA,23.7452169,85.8300721
35,366.815,2.3451154911147962,TILAIYA,23.7452169,85.8300721
36,366.95500000000004,2.2928366710256483,TILAIYA,23.7452169,85.8300721
37,367.1025,2.2054988097933816,TILAIYA,23.7452169,85.8300721
38,367.3175,2.22729095539852,TILAIYA,23.7452169,85.8300721
39,367.74,1.8725561851828807,TILAIYA,23.7452169,85.8300721
40,368.72,1.4117365193264362,TILAIYA,23.7452169,85.8300721
41,368.652,1.311857461769388,TILAIYA,23.7452169,85.8300721
42,368.776,1.2977018147478925,TILAIYA,23.7452169,85.8300721
43,295.3044,165.0033810768737,TILAIYA,23.7452169,85.8300721
44,295.2384,164.96592821792018,TILAIYA,23.7452169,85.8300721
45,295.1244,164.9018304834728,TILAIYA,23.7452169,85.8300721
46,368.452,0.9210428871665017,TILAIYA,23.7452169,85.8300721
47,368.3175,0.9694801012226281,TILAIYA,23.7452169,85.8300721
48,368.206,0.7413029070494658,TILAIYA,23.7452169,85.8300721
49,368.155,0.7910541490104627,TILAIYA,23.7452169,85.8300721
50,367.995,0.6759930966116695,TILAIYA,23.7452169,85.8300721
51,367.704,0.6086706827176617,TILAIYA,23.7452169,85.8300721
52,367.504,0.6826272775094552,TILAIYA,23.7452169,85.8300721
53,366.21,,TILAIYA,23.7452169,85.8300721
