WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,109.44666666666666,1.792047246400976,TILLARI,15.8084943,74.1968244
2,108.8875,1.6137611347408267,TILLARI,15.8084943,74.1968244
3,108.2175,1.6871746599962163,TILLARI,15.8084943,74.1968244
4,107.4775,1.724149548811429,TILLARI,15.8084943,74.1968244
5,107.454,1.9417981357494385,TILLARI,15.8084943,74.1968244
6,106.724,2.0194504202876593,TILLARI,15.8084943,74.1968244
7,105.3525,1.7531376633529523,TILLARI,15.8084943,74.1968244
8,105.266,2.3406580271368225,TILLARI,15.8084943,74.1968244
9,103.8325,2.423239911083228,TILLARI,15.8084943,74.1968244
10,102.955,2.663712947497663,TILLARI,15.8084943,74.1968244
11,102.86600000000001,2.9551023670932293,TILLARI,15.8084943,74.1968244
12,102.032,3.2315739199343696,TILLARI,15.8084943,74.1968244
13,100.295,3.348885386712026,TILLARI,15.8084943,74.1968244
14,99.44,3.561834733205157,TILLARI,15.8084943,74.1968244
15,98.5675,3.744652854404533,TILLARI,15.8084943,74.1968244
16,97.7,3.8687724151208487,TILLARI,15.8084943,74.1968244
17,96.80250000000001,4.029047654223013,TILLARI,15.8084943,74.1968244
18,97.084,4.538582377791552,TILLARI,15.8084943,74.1968244
19,96.208,4.805009885525735,TILLARI,15.8084943,74.1968244
20,95.42,5.138375229583766,TILLARI,15.8084943,74.1968244
21,94.574,5.501947836902856,TILLARI,15.8084943,74.1968244
22,92.20750000000001,5.568598716613243,TILLARI,15.8084943,74.1968244
23,92.914,6.301172906689673,TILLARI,15.8084943,74.1968244
24,91.575,7.688608456671463,TILLARI,15.8084943,74.1968244
25,96.9075,9.272243076336308,TILLARI,15.8084943,74.1968244
26,97.6225,9.315325633957551,TILLARI,15.8084943,74.1968244
27,99.4075,8.725317090704118,TILLARI,15.8084943,74.1968244
28,104.315,8.329499784901058,TILLARI,15.8084943,74.1968244
29,106.07,3.499799994285389,TILLARI,15.8084943,74.1968244
30,107.97,0.7757576941287758,TILLARI,15.8084943,74.1968244
31,107.62,0.7027564774989062,TILLARI,15.8084943,74.1968244
32,108.43,1.2742056348957242,TILLARI,15.8084943,74.1968244
33,107.67,0.551059585404941,TILLARI,15.8084943,74.1968244
34,107.7525,0.5261416159172346,TILLARI,15.8084943,74.1968244
35,107.9,0.3958956091362141,TILLARI,15.8084943,74.1968244
36,108.55250000000001,1.2194363452021586,TILLARI,15.8084943,74.1968244
37,109.68,1.0962359843269702,TILLARI,15.8084943,74.1968244
38,110.655,0.9297490700900639,TILLARI,15.8084943,74.1968244
39,111.0575,1.025292641151784,TILLARI,15.8084943,74.1968244
40,112.38666666666666,0.24090108620205614,TILLARI,15.8084943,74.1968244
41,112.2925,0.7279365814867875,TILLARI,15.8084943,74.1968244
42,112.44,0.3744329045369802,TILLARI,15.8084943,74.1968244
43,112.55333333333333,0.6813467056743773,TILLARI,15.8084943,74.1968244
44,112.1675,0.8392605872631805,TILLARI,15.8084943,74.1968244
45,111.598,0.9711179125111433,TILLARI,15.8084943,74.1968244
46,112.07333333333334,0.4705670338361274,TILLARI,15.8084943,74.1968244
47,111.36666666666667,1.0070915218257632,TILLARI,15.8084943,74.1968244
48,111.315,0.7479081940095773,TILLARI,15.8084943,74.1968244
49,111.29333333333334,0.8964559851623184,TILLARI,15.8084943,74.1968244
50,111.10333333333334,0.7880566815485734,TILLARI,15.8084943,74.1968244
51,110.64750000000001,0.922004157618967,TILLARI,15.8084943,74.1968244
52,110.26400000000001,0.8445590565496323,TILLARI,15.8084943,74.1968244
53,108.2,,TILLARI,15.8084943,74.1968244
