WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,492.1742857142857,4.629214681933497,TUNGABHADRA,15.3444252,76.4933824
2,490.4333333333333,4.783199765847133,TUNGABHADRA,15.3444252,76.4933824
3,489.8577777777778,4.672533514534118,TUNGABHADRA,15.3444252,76.4933824
4,489.33444444444444,4.554124809200756,TUNGABHADRA,15.3444252,76.4933824
5,488.8266666666666,4.415968183762202,TUNGABHADRA,15.3444252,76.4933824
6,488.3755555555556,4.208052135819828,TUNGABHADRA,15.3444252,76.4933824
7,487.41125,3.9688589130162644,TUNGABHADRA,15.3444252,76.4933824
8,487.31777777777774,3.6474195596948245,TUNGABHADRA,15.3444252,76.4933824
9,486.03125,3.0238832058889304,TUNGABHADRA,15.3444252,76.4933824
10,485.43,2.759839539849054,TUNGABHADRA,15.3444252,76.4933824
11,485.31444444444446,2.859532790121103,TUNGABHADRA,15.3444252,76.4933824
12,484.60999999999996,2.451392461439015,TUNGABHADRA,15.3444252,76.4933824
13,483.25125,1.495750528282411,TUNGABHADRA,15.3444252,76.4933824
14,482.395,0.998341481801549,TUNGABHADRA,15.3444252,76.4933824
15,481.50374999999997,0.6571570262447692,TUNGABHADRA,15.3444252,76.4933824
16,480.93375,0.8589019152382847,TUNGABHADRA,15.3444252,76.4933824
17,480.7175,0.734530948487357,TUNGABHADRA,15.3444252,76.4933824
18,480.97999999999996,1.516369018412077,TUNGABHADRA,15.3444252,76.4933824
19,481.0477777777778,1.8296090960761056,TUNGABHADRA,15.3444252,76.4933824
20,481.2433333333334,2.1735627435158054,TUNGABHADRA,15.3444252,76.4933824
21,482.39750000000004,3.7404612015097793,TUNGABHADRA,15.3444252,76.4933824
22,481.42285714285714,1.811322852555685,TUNGABHADRA,15.3444252,76.4933824
23,482.37777777777774,3.905460209046373,TUNGABHADRA,15.3444252,76.4933824
24,481.82,2.0966980844038754,TUNGABHADRA,15.3444252,76.4933824
25,484.195,5.059570845719718,TUNGABHADRA,15.3444252,76.4933824
26,484.61555555555555,4.88478789486072,TUNGABHADRA,15.3444252,76.4933824
27,486.7622222222222,4.896636033487133,TUNGABHADRA,15.3444252,76.4933824
28,489.12857142857143,4.5941282400161905,TUNGABHADRA,15.3444252,76.4933824
29,491.53,4.54582382915509,TUNGABHADRA,15.3444252,76.4933824
30,493.29857142857145,3.1587995007145344,TUNGABHADRA,15.3444252,76.4933824
31,494.62625,2.7852106229665483,TUNGABHADRA,15.3444252,76.4933824
32,433.12375,173.95340393643187,TUNGABHADRA,15.3444252,76.4933824
33,496.0214285714286,2.0887271129520366,TUNGABHADRA,15.3444252,76.4933824
34,496.2077777777778,1.7917364327502183,TUNGABHADRA,15.3444252,76.4933824
35,496.31777777777774,1.7864264452936505,TUNGABHADRA,15.3444252,76.4933824
36,496.34875,2.0055952981596192,TUNGABHADRA,15.3444252,76.4933824
37,496.1825,2.2417642924395635,TUNGABHADRA,15.3444252,76.4933824
38,495.99777777777774,2.1829439856405997,TUNGABHADRA,15.3444252,76.4933824
39,495.81875,2.2670713486787397,TUNGABHADRA,15.3444252,76.4933824
40,495.70125,2.1904431221624048,TUNGABHADRA,15.3444252,76.4933824
41,495.7855555555555,2.4268297793165976,TUNGABHADRA,15.3444252,76.4933824
42,495.59333333333336,2.8258140420063182,TUNGABHADRA,15.3444252,76.4933824
43,440.36622222222223,163.93766166883205,TUNGABHADRA,15.3444252,76.4933824
44,439.9028888888889,163.77425507420605,TUNGABHADRA,15.3444252,76.4933824
45,439.8,162.1983628154119,TUNGABHADRA,15.3444252,76.4933824
46,493.79333333333335,4.654884531328346,TUNGABHADRA,15.3444252,76.4933824
47,492.8625,4.942011591591892,TUNGABHADRA,15.3444252,76.4933824
48,492.87888888888887,4.883642197285861,TUNGABHADRA,15.3444252,76.4933824
49,492.10125,5.038770931487155,TUNGABHADRA,15.3444252,76.4933824
50,491.7425,5.089607759234241,TUNGABHADRA,15.3444252,76.4933824
51,491.8744444444444,5.01660271277065,TUNGABHADRA,15.3444252,76.4933824
52,492.47875,4.3549067154188315,TUNGABHADRA,15.3444252,76.4933824
53,491.75,4.596194077712559,TUNGABHADRA,15.3444252,76.4933824
