WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
2,607.8,0.0,UMRONG,,
4,608.25,,UMRONG,,
5,608.8,,UMRONG,,
6,608.6,,UMRONG,,
7,608.35,,UMRONG,,
8,608.1,,UMRONG,,
9,607.85,,UMRONG,,
10,607.65,,UMRONG,,
11,607.45,,UMRONG,,
12,607.2,,UMRONG,,
13,607.0,,UMRONG,,
14,606.8,,UMRONG,,
15,607.45,,UMRONG,,
16,608.1,,UMRONG,,
17,608.0,,UMRONG,,
18,608.55,,UMRONG,,
19,608.55,,UMRONG,,
20,608.35,,UMRONG,,
21,608.35,,UMRONG,,
22,608.8,,UMRONG,,
23,600.45,,UMRONG,,
24,608.25,,UMRONG,,
35,605.4,,UMRONG,,
36,605.4,,UMRONG,,
37,605.25,,UMRONG,,
38,605.0,,UMRONG,,
39,604.75,,UMRONG,,
40,604.5,,UMRONG,,
41,604.25,,UMRONG,,
42,604.15,,UMRONG,,
43,603.85,,UMRONG,,
44,603.4,,UMRONG,,
45,602.7,,UMRONG,,
46,603.35,0.0,UMRONG,,
48,604.6,,UMRONG,,
49,605.15,,UMRONG,,
50,605.95,,UMRONG,,
51,606.45,,UMRONG,,
52,607.15,0.0,UMRONG,,
