WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,97.16,0.493051721424843,UND-I,,
2,97.0,0.5231634543811386,UND-I,,
3,96.86600000000001,0.5371498859722477,UND-I,,
4,96.75,0.5558327086453275,UND-I,,
5,96.606,0.5664185731418063,UND-I,,
6,96.464,0.6009409288773773,UND-I,,
7,96.075,0.29894258088580444,UND-I,,
8,96.184,0.6621782237434256,UND-I,,
9,96.0075,0.8129114342903558,UND-I,,
10,95.7825,0.8330016006387194,UND-I,,
11,95.50800000000001,0.7526087961218663,UND-I,,
12,95.52833333333332,0.8384847444448067,UND-I,,
13,94.69749999999999,0.3773040330202274,UND-I,,
14,94.97999999999999,0.7123201527403286,UND-I,,
15,94.69999999999999,0.5303457991411514,UND-I,,
16,94.53333333333335,0.4750087718488344,UND-I,,
17,94.1975,0.4324638713233699,UND-I,,
18,93.784,0.4931835358160271,UND-I,,
19,93.586,0.5137898403043806,UND-I,,
20,93.4075,0.720063654593579,UND-I,,
21,93.066,0.6073549209482022,UND-I,,
22,92.995,0.5521171373298741,UND-I,,
23,92.532,0.5884895920914831,UND-I,,
24,92.44,0.4417389877895515,UND-I,,
25,92.295,0.47444704657105174,UND-I,,
26,92.39750000000001,0.7911331535630843,UND-I,,
27,93.1425,2.3759401647909133,UND-I,,
28,95.575,2.447604270846626,UND-I,,
29,95.69749999999999,2.381405397379173,UND-I,,
30,96.4075,1.0945737374278048,UND-I,,
31,96.5875,1.2328118266791563,UND-I,,
32,77.638,42.602790636295175,UND-I,,
33,96.902,1.1955626290579682,UND-I,,
34,96.91799999999999,1.3887656389758514,UND-I,,
35,96.168,1.9411645988941764,UND-I,,
36,96.97200000000001,1.5077367144166747,UND-I,,
37,97.9,0.1968501968502913,UND-I,,
38,98.0,0.0,UND-I,,
39,98.0,0.0,UND-I,,
40,98.0125,0.024999999999998974,UND-I,,
41,98.0,0.0,UND-I,,
42,98.0,0.0,UND-I,,
43,79.99199999999999,40.24475518623514,UND-I,,
44,79.978,40.23693850182939,UND-I,,
45,97.926,0.09316651759081677,UND-I,,
46,97.9375,0.0946484724300045,UND-I,,
47,97.775,0.21763884457207266,UND-I,,
48,97.702,0.2789623630527981,UND-I,,
49,97.565,0.4163732300072418,UND-I,,
50,97.5275,0.41451779213924733,UND-I,,
51,97.438,0.44946635024215176,UND-I,,
52,97.332,0.47309618472357656,UND-I,,
53,97.22,,UND-I,,
