WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,854.5314285714286,1.9051459136719564,UPPER KOLAB,18.7889976,82.6012044563014
2,854.6422222222222,1.7973784922615406,UPPER KOLAB,18.7889976,82.6012044563014
3,854.3355555555556,1.8425329787490226,UPPER KOLAB,18.7889976,82.6012044563014
4,854.2355555555555,1.8405509440865058,UPPER KOLAB,18.7889976,82.6012044563014
5,853.9611111111111,1.8578713925110857,UPPER KOLAB,18.7889976,82.6012044563014
6,853.6811111111111,1.8828266280013737,UPPER KOLAB,18.7889976,82.6012044563014
7,853.15,1.9058781253195238,UPPER KOLAB,18.7889976,82.6012044563014
8,853.0722222222222,1.925849019119736,UPPER KOLAB,18.7889976,82.6012044563014
9,853.08875,1.7291239524271484,UPPER KOLAB,18.7889976,82.6012044563014
10,852.81,1.7489997141223197,UPPER KOLAB,18.7889976,82.6012044563014
11,851.9155555555556,2.0193817810849506,UPPER KOLAB,18.7889976,82.6012044563014
12,849.0777777777778,7.132045249747386,UPPER KOLAB,18.7889976,82.6012044563014
13,851.69625,1.7968220954944354,UPPER KOLAB,18.7889976,82.6012044563014
14,851.33625,1.873018476760373,UPPER KOLAB,18.7889976,82.6012044563014
15,850.95625,1.8665777508584718,UPPER KOLAB,18.7889976,82.6012044563014
16,850.57,1.8109587042700437,UPPER KOLAB,18.7889976,82.6012044563014
17,850.14125,1.8726637826521606,UPPER KOLAB,18.7889976,82.6012044563014
18,849.358,2.0729946132748687,UPPER KOLAB,18.7889976,82.6012044563014
19,848.985,2.1982655500579136,UPPER KOLAB,18.7889976,82.6012044563014
20,849.04625,1.7076210477905118,UPPER KOLAB,18.7889976,82.6012044563014
21,848.3011111111111,1.7085260053950797,UPPER KOLAB,18.7889976,82.6012044563014
22,848.4050000000001,1.5939228337658073,UPPER KOLAB,18.7889976,82.6012044563014
23,847.9611111111111,1.5878794384684982,UPPER KOLAB,18.7889976,82.6012044563014
24,848.07875,1.287849120488416,UPPER KOLAB,18.7889976,82.6012044563014
25,847.33,1.4519937032528007,UPPER KOLAB,18.7889976,82.6012044563014
26,847.8477777777778,2.0358584048121684,UPPER KOLAB,18.7889976,82.6012044563014
27,847.9722222222222,2.095022540318971,UPPER KOLAB,18.7889976,82.6012044563014
28,848.6899999999999,1.894113688949741,UPPER KOLAB,18.7889976,82.6012044563014
29,848.735,1.7919422822337965,UPPER KOLAB,18.7889976,82.6012044563014
30,849.1342857142857,1.9359051039316175,UPPER KOLAB,18.7889976,82.6012044563014
31,849.5175,1.9173325965294123,UPPER KOLAB,18.7889976,82.6012044563014
32,743.5925,300.4642230069045,UPPER KOLAB,18.7889976,82.6012044563014
33,850.5600000000001,2.4882323042674446,UPPER KOLAB,18.7889976,82.6012044563014
34,851.6077777777778,2.599787384469041,UPPER KOLAB,18.7889976,82.6012044563014
35,852.0188888888889,2.371452321070622,UPPER KOLAB,18.7889976,82.6012044563014
36,852.6125,2.605032218062377,UPPER KOLAB,18.7889976,82.6012044563014
37,853.42125,2.4390714714532318,UPPER KOLAB,18.7889976,82.6012044563014
38,853.9433333333333,2.296377582193322,UPPER KOLAB,18.7889976,82.6012044563014
39,854.26875,2.1863893098635523,UPPER KOLAB,18.7889976,82.6012044563014
40,854.9955555555556,2.288504484980921,UPPER KOLAB,18.7889976,82.6012044563014
41,854.775,2.0944893683868773,UPPER KOLAB,18.7889976,82.6012044563014
42,855.1122222222223,2.053459141167517,UPPER KOLAB,18.7889976,82.6012044563014
43,760.01,285.0099725448216,UPPER KOLAB,18.7889976,82.6012044563014
44,759.978888888889,284.99836212004993,UPPER KOLAB,18.7889976,82.6012044563014
45,855.0775,2.068993889378528,UPPER KOLAB,18.7889976,82.6012044563014
46,854.9933333333333,1.7809898932897075,UPPER KOLAB,18.7889976,82.6012044563014
47,855.21125,1.5983244574955775,UPPER KOLAB,18.7889976,82.6012044563014
48,854.9966666666667,1.7373974789897244,UPPER KOLAB,18.7889976,82.6012044563014
49,855.32,1.6029971927610993,UPPER KOLAB,18.7889976,82.6012044563014
50,855.3175,1.5937534313688178,UPPER KOLAB,18.7889976,82.6012044563014
51,854.9877777777778,1.7332251568808015,UPPER KOLAB,18.7889976,82.6012044563014
52,854.74875,1.7523570860823137,UPPER KOLAB,18.7889976,82.6012044563014
53,854.095,2.609224022578399,UPPER KOLAB,18.7889976,82.6012044563014
