WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,340.8228571428572,0.7187190987146214,UPPER WARDHA,20.9411536,77.773286825
2,340.1877777777778,1.5817694030560876,UPPER WARDHA,20.9411536,77.773286825
3,339.9922222222222,1.5407853336673645,UPPER WARDHA,20.9411536,77.773286825
4,339.8233333333333,1.5033545822592758,UPPER WARDHA,20.9411536,77.773286825
5,339.67555555555555,1.5251156604591454,UPPER WARDHA,20.9411536,77.773286825
6,339.46,1.4954012839368567,UPPER WARDHA,20.9411536,77.773286825
7,338.69,1.6562457547115381,UPPER WARDHA,20.9411536,77.773286825
8,339.46375,0.9835059372324456,UPPER WARDHA,20.9411536,77.773286825
9,338.7125,1.4478136225751828,UPPER WARDHA,20.9411536,77.773286825
10,338.54,1.3726616480400406,UPPER WARDHA,20.9411536,77.773286825
11,338.5244444444445,1.3318043316410233,UPPER WARDHA,20.9411536,77.773286825
12,338.4288888888889,1.3101664440486591,UPPER WARDHA,20.9411536,77.773286825
13,338.19375,1.3355569999067984,UPPER WARDHA,20.9411536,77.773286825
14,338.10249999999996,1.328132415945696,UPPER WARDHA,20.9411536,77.773286825
15,338.02125,1.3274297129630213,UPPER WARDHA,20.9411536,77.773286825
16,337.9325,1.323920045060978,UPPER WARDHA,20.9411536,77.773286825
17,337.83875,1.3300530333142997,UPPER WARDHA,20.9411536,77.773286825
18,337.89000000000004,1.3182943525631976,UPPER WARDHA,20.9411536,77.773286825
19,337.80333333333334,1.3265085751701648,UPPER WARDHA,20.9411536,77.773286825
20,337.7088888888889,1.3421200062256287,UPPER WARDHA,20.9411536,77.773286825
21,337.625,1.443557114511623,UPPER WARDHA,20.9411536,77.773286825
22,337.3885714285715,1.504431549029166,UPPER WARDHA,20.9411536,77.773286825
23,337.45000000000005,1.363983137725681,UPPER WARDHA,20.9411536,77.773286825
24,337.28249999999997,1.4520502746117236,UPPER WARDHA,20.9411536,77.773286825
25,337.27875,1.5076228924085389,UPPER WARDHA,20.9411536,77.773286825
26,337.5111111111111,1.5454161611394814,UPPER WARDHA,20.9411536,77.773286825
27,337.7288888888889,1.505651390963761,UPPER WARDHA,20.9411536,77.773286825
28,339.02714285714285,1.0830776254992762,UPPER WARDHA,20.9411536,77.773286825
29,339.15,1.1306256169547484,UPPER WARDHA,20.9411536,77.773286825
30,339.9585714285714,1.207275563288792,UPPER WARDHA,20.9411536,77.773286825
31,340.10625,1.4393940937571048,UPPER WARDHA,20.9411536,77.773286825
32,340.2075,1.9245611744721878,UPPER WARDHA,20.9411536,77.773286825
33,340.5142857142857,1.7317318609112773,UPPER WARDHA,20.9411536,77.773286825
34,340.67333333333335,1.6588776326179184,UPPER WARDHA,20.9411536,77.773286825
35,341.11888888888893,1.3746858226922822,UPPER WARDHA,20.9411536,77.773286825
36,341.405,1.4583160543194171,UPPER WARDHA,20.9411536,77.773286825
37,341.625,1.4538323739099155,UPPER WARDHA,20.9411536,77.773286825
38,341.96666666666664,1.2996441820744749,UPPER WARDHA,20.9411536,77.773286825
39,342.46875,0.051112620750652614,UPPER WARDHA,20.9411536,77.773286825
40,342.0625,1.2374368670764588,UPPER WARDHA,20.9411536,77.773286825
41,342.1033333333333,1.1899999999999955,UPPER WARDHA,20.9411536,77.773286825
42,342.0888888888889,1.2146958924401872,UPPER WARDHA,20.9411536,77.773286825
43,342.02777777777777,1.3026873932162166,UPPER WARDHA,20.9411536,77.773286825
44,341.9244444444445,1.4380378220957153,UPPER WARDHA,20.9411536,77.773286825
45,341.80111111111114,1.5316775480208469,UPPER WARDHA,20.9411536,77.773286825
46,341.69,1.5265893357416198,UPPER WARDHA,20.9411536,77.773286825
47,341.43375000000003,1.577692143607233,UPPER WARDHA,20.9411536,77.773286825
48,341.3077777777778,1.4903672179850227,UPPER WARDHA,20.9411536,77.773286825
49,340.94625,1.6085125116081642,UPPER WARDHA,20.9411536,77.773286825
50,340.7325,1.6740861046297288,UPPER WARDHA,20.9411536,77.773286825
51,340.67555555555555,1.6108158733318343,UPPER WARDHA,20.9411536,77.773286825
52,340.47625,1.69035868974604,UPPER WARDHA,20.9411536,77.773286825
53,340.435,1.1525840533340692,UPPER WARDHA,20.9411536,77.773286825
