WEEK,MEAN,STD,NAME OF RESERVOIR,Latitude,Longitude
1,83.92999999999999,2.8435892811726484,YELERU,17.7392653,81.9868603
2,83.44833333333334,2.6598602720193147,YELERU,17.7392653,81.9868603
3,83.4675,3.6707889705983794,YELERU,17.7392653,81.9868603
4,82.89,3.130023961569625,YELERU,17.7392653,81.9868603
5,82.488,3.1655599820568856,YELERU,17.7392653,81.9868603
6,82.05799999999999,3.2742816005957693,YELERU,17.7392653,81.9868603
7,81.0325,3.665254652362735,YELERU,17.7392653,81.9868603
8,81.03999999999999,3.488918170436216,YELERU,17.7392653,81.9868603
9,80.1425,4.041133298139686,YELERU,17.7392653,81.9868603
10,79.52,4.154676080434343,YELERU,17.7392653,81.9868603
11,79.26599999999999,3.77036205158072,YELERU,17.7392653,81.9868603
12,78.65,3.8797100407118013,YELERU,17.7392653,81.9868603
13,77.75,4.3444907641747825,YELERU,17.7392653,81.9868603
14,77.2575,4.419595569732596,YELERU,17.7392653,81.9868603
15,76.825,4.463858570041544,YELERU,17.7392653,81.9868603
16,76.4975,4.5471117206420155,YELERU,17.7392653,81.9868603
17,76.2525,4.691974531047675,YELERU,17.7392653,81.9868603
18,76.392,4.173663858050861,YELERU,17.7392653,81.9868603
19,76.38,4.156386651888876,YELERU,17.7392653,81.9868603
20,76.346,4.137382022487163,YELERU,17.7392653,81.9868603
21,75.08333333333333,4.632997589754037,YELERU,17.7392653,81.9868603
22,78.17,1.4464784823840267,YELERU,17.7392653,81.9868603
23,76.10799999999999,4.0028452380775335,YELERU,17.7392653,81.9868603
24,75.635,4.886720099753339,YELERU,17.7392653,81.9868603
25,77.5275,1.453762360222612,YELERU,17.7392653,81.9868603
26,77.355,1.5761873831073114,YELERU,17.7392653,81.9868603
27,77.2775,1.42759412999633,YELERU,17.7392653,81.9868603
28,77.3775,1.6441689896925593,YELERU,17.7392653,81.9868603
29,77.5525,1.920284267150743,YELERU,17.7392653,81.9868603
30,77.92,1.6986072726403545,YELERU,17.7392653,81.9868603
31,77.9825,1.6859690586326506,YELERU,17.7392653,81.9868603
32,62.576,34.575266882556384,YELERU,17.7392653,81.9868603
33,78.858,2.6559781625608334,YELERU,17.7392653,81.9868603
34,79.60799999999999,3.7533811423834895,YELERU,17.7392653,81.9868603
35,79.924,4.2230178782477354,YELERU,17.7392653,81.9868603
36,80.282,3.8547529103692115,YELERU,17.7392653,81.9868603
37,81.336,3.6839693266909843,YELERU,17.7392653,81.9868603
38,81.952,3.7006445384554265,YELERU,17.7392653,81.9868603
39,82.82000000000001,3.5598033653560135,YELERU,17.7392653,81.9868603
40,83.69749999999999,3.802826799456772,YELERU,17.7392653,81.9868603
41,83.91,3.230371495664239,YELERU,17.7392653,81.9868603
42,84.19,3.340740935780561,YELERU,17.7392653,81.9868603
43,69.28666666666668,33.18354994069602,YELERU,17.7392653,81.9868603
44,85.5975,0.6361014070099279,YELERU,17.7392653,81.9868603
45,84.184,3.4682315378301993,YELERU,17.7392653,81.9868603
46,84.22200000000001,3.4000102941020622,YELERU,17.7392653,81.9868603
47,83.8625,3.6473769113341397,YELERU,17.7392653,81.9868603
48,84.428,3.350458177622878,YELERU,17.7392653,81.9868603
49,84.1925,3.26646980699348,YELERU,17.7392653,81.9868603
50,84.3125,3.029888611813974,YELERU,17.7392653,81.9868603
51,84.568,2.849319216935864,YELERU,17.7392653,81.9868603
52,84.284,2.8766178056877845,YELERU,17.7392653,81.9868603
53,85.93,,YELERU,17.7392653,81.9868603
