NAME OF RESERVOIR,Latitude,Longitude
ALIYAR,10.4625785,76.9905585
ALMATTI,16.3450459,75.9012249
ATAL SAGAR(MADIKHEDA),25.5579443,77.8534397
BALIMELA,18.2296614,82.0630683
BANSAGAR,24.18925565,81.2871821733634
BARGI,22.59238445,79.189308180866
BARNA DAM,23.0524678,78.0640063
BARVI DAM,19.1881163,73.3362814
BHADAR,23.5779856,77.9285465333822
BHADRA,29.1012943,75.1675355
BHAMA ASKHED,18.8382955,73.725155
BHANDARDARA,19.5551306,73.7558419
BHATGHAR,22.3578313,91.7843113
BHATSA,19.3256654,73.1931999
BHIMA(UJJANI),18.0713009,75.1195389
BISALPUR,28.3176982,79.842240707502
BRAHMANI(GUJ),21.2778977,85.0278819
CHANDAN DAM,18.2454718,75.5261242
CHASKAMAN,18.9607567,73.7854046
DAMANGANGA,20.3161771,72.8311695
DANTIWADA,24.3239388,72.3255763
DARNA DAM,19.7394692,73.6697073
DHOM,73.8181253712423,17.981520187933
DIMBHE DAM,19.096012,73.7440799
DONKARAYI,17.9273073,81.80064565
DOYANG HEP,26.2323405,94.2608939305724
DUDHAWA,20.30560355,81.784390153548
DUDHGANGA,33.8893255,74.6836692
GANDHI SAGAR,21.1457864,79.0987312544945
GERUSOPPA,14.2433775,74.6532531
GETALSUD,23.4454661,85.5456769
GHATAPRABHA(HIDKAL),16.1363007,74.6547609
GIRNA,74.7157151595633,20.4787568156919
GOBIND SAGAR(BHAKRA),76.4333723933508,31.4114628637911
GUMTI,22.93108075,80.0367816265992
HARANGI,12.4948912,75.8392181
HARIHARJHOR,84.0151588306839,21.0375606778149
HATHMATI,23.5378487,72.899316
HEMAVATHY,13.1463734,76.4483751
HIRAKUD,21.54901785,83.8937312620797
IDAMALAYAR,10.1925052,76.7211181
IDUKKI,9.8154785,76.9991599480914
INDIRA SAGAR,22.28453935,76.4718831695605
ISAPUR,20.5899347,77.2098188093994
JAISAMAND,24.2408582,73.9493619
JAWAI DAM,25.09880775,73.1498723820145
JAYAKWADI(PAITHAN),19.47248495,75.3639212430826
JHAKAM,24.0984575,74.7282574
JIRGO,25.0699961,82.9374163
KABINI,12.0140065,76.4152088
KADANA,73.8243772355057,23.305111026678
KADDAM (K.N.R.),19.0991812,78.7800368
KAKKI,77.1421299966909,9.32523000371765
KALLADA(PARAPPAR),80.95,77.0722222222222
KANDALERU,14.34397655,79.5958785963203
KANGSABATI,22.792957,86.9767406
KANHER,22.6329916,78.8144437915916
KARJAN,21.7118499,73.5043874
KHADAKVASLA,18.4372365,73.7651846
KHANDONG,25.523157,92.6523398
KOL DAM,31.3826712,76.8815127
KOLAR DAM,7.3458828410971,22.9591081723033
KONAR,23.8836171,85.7962407
KOYANA,,
KRISHNARAJA SAGARA,12.4726381,76.4773086532637
LINGANAMAKKI,14.1731954,74.8292508
LOWER BHAWANI,27.709805,85.6071765
LOWER MANAIR,18.3996537,79.1310126
MACHCHHU-I,70.9687616491141,22.4683032331794
MACHCHHU-II,70.8654774481862,22.7633457042978
MACHKUND(JALAPUT),18.459192,82.548478
MAHANADI,20.860055,84.149394
MAHI BAJAJ SAGAR,23.6284854,74.5472827
MAITHON,23.838125,86.8075539772727
MALAMPUZHA,10.8190998,76.6652482
MALAPRABHA(RENUKA),31.258165,77.6557982
MANDIRA DAM,22.3073212,84.6193753164174
MANI DAM,13.6759636,75.0477553
MANIKDOH,19.8500056,77.5023636
MATATILA,25.1002237,78.3719184832803
MAUDAHA,25.70656655,80.0434571115807
MAYURAKSHI,24.157345,87.283314
MEJA,25.1648519,82.1401075344574
METTUR(STANLEY),11.908625,77.8007315102992
MINIMATA BANGO,82.5980006249313,22.605059906809
MULA,74.601434290761,19.3454409908784
MULSHI,18.5134117,73.5668845512146
MUSI PROJECT,,
NAGARJUNA SAGAR,16.495012,79.2208086604122
NANAK SAGAR,28.962642,79.840101245
NARAYANPUR,24.04358345,86.5806128001105
NIRA DEOGHAR,18.0938071,73.7113388394077
NIZAM SAGAR,18.1735195,77.9340163606773
OMKARESHWAR,22.2429799,76.1495705
PANAM,75.9599443500744,11.6716293709237
PANCHET HILL,23.6894152,86.7619917
PANSHET(TANAJISAGAR),73.6114934619132,18.3792612616443
PARAMBIKULAM,10.3865889,76.7681666
PENCH(TOTLADOH),79.1703496663008,22.119633649312
PERIYAR,10.1643734,76.4425439
PONG DAM(BEAS),75.9467632428616,31.9688132919361
PRIYADARSHINI JURALA,16.3389148,77.7040906894285
RAJGHAT DAM,24.76354165,78.2306857680294
RAMGANGA,21.8098071,88.376534
RANA PRATAP SAGAR,24.8132257,75.600809123949
RANGAWAN,26.184431,78.6049569
RENGALI,21.65591265,84.0289177970114
RIHAND,24.150983,82.8978537
SABARMATI(DHAROI),72.8565341258961,24.0037910547676
SALANADI,86.2959661276919,21.2883980007912
SANJAY SAROVAR,22.34751275,79.6170499015841
SAPUA,20.5138363,85.598098
SARDAR SAROVAR,21.8378767,73.7559923648656
SATHANUR,12.2047442,78.8891979
SHARDA SAGAR,23.8728109,78.9006882
SHETRUNJI,21.4016951,72.0033843
SHOLAYAR,10.3108449,76.8075228
SINGUR,22.8130387,88.2283646
SIRSI,14.6192362,74.8388611
SOMASILA,14.4986502,79.3138784
SRIRAMSAGAR,18.8812115,78.1441131
