S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
2,PONG DAM(BEAS),423.67,400.91,6.157,1.473,11-07-2024,24,67,26,0,396
3,KOL DAM,642,638.83,0.089,0.042,10-07-2024,47,40,43,0,800
5,MAHI BAJAJ SAGAR,280.75,268.15,1.711,0.459,11-07-2024,27,38,35,63,140
6,JHAKAM,359.50,343.60,0.132,0.024,11-07-2024,18,30,28,28,0
7,RANA PRATAP SAGAR,1.50,347.90,1.436,0.588,11-07-2024,41,81,47,229,172
8,BISALPUR,315.50,310.12,1.076,0.315,11-07-2024,29,64,38,81.8,0
9,JAWAI DAM,313.40,299.63,0.193,0.015,11-07-2024,8,67,17,38.67,0
10,JAISAMAND,295.54,289.88,0.296,0.067,11-07-2024,23,56,35,16,0
11,TENUGHAT,269.14,256.99,0.821,0.310,11-07-2024,38,39,42,0,0
12,MAITHON,146.3,142.69,0.471,0.262,11-07-2024,56,39,43,342,0
13,PANCHET HILL,124.97,124.34,0.184,0.154,11-07-2024,84,34,53,0,80
14,KONAR,425.81,416.66,0.176,0.045,11-07-2024,26,34,33,0,0
15,TILAIYA,368.81,363.92,0.142,0.009,11-07-2024,6,13,30,0,4
16,GETALSUD,590.06,584.79,0.218,0.074,11-07-2024,34,29,39,0,130
17,HIRAKUD,192.02,183.11,5.378,0.767,11-07-2024,14,24,15,153,307
18,BALIMELA,462.08,442.57,2.676,0.269,11-07-2024,10,12,22,0,360
19,SALANADI,82.30,71.40,0.558,0.247,11-07-2024,44,46,47,42,0
20,RENGALI,123.50,111.12,3.432,0.218,11-07-2024,6,5,8,3,200
21,MACHKUND(JALAPUT),838.16,823.14,0.893,0.097,11-07-2024,11,8,21,0,115
22,UPPER KOLAB,858.00,849.33,0.935,0.244,11-07-2024,26,29,22,89,320
