NAME OF RESERVOIR,CURRENT,WEEK
PONG DAM(BEAS),400.91,28
KOL DAM,638.83,28
MAHI BAJAJ SAGAR,268.15,28
JHAKAM,343.6,28
RANA PRATAP SAGAR,347.9,28
BISALPUR,310.12,28
JAWAI DAM,299.63,28
JAISAMAND,289.88,28
TENUGHAT,256.99,28
MAITHON,142.69,28
PANCHET HILL,124.34,28
KONAR,416.66,28
TILAIYA,363.92,28
GETALSUD,584.79,28
HIRAKUD,183.11,28
BALIMELA,442.57,28
SALANADI,71.4,28
RENGALI,111.12,28
MACHKUND(JALAPUT),823.14,28
UPPER KOLAB,849.33,28
UPPER INDRAVATI,627.36,28
SAPUA,167.0,28
HARIHARJHOR,142.35,28
MANDIRA DAM,205.03,28
MAYURAKSHI,112.12,28
KANGSABATI,123.49,28
GUMTI,90.75,28
DOYANG HEP,320.9,28
CHANDAN DAM,137.95,28
UMRONG,608.6,28
KHANDONG,719.85,28
UKAI,94.14,28
SABARMATI(DHAROI),183.0,28
KADANA,117.07,28
SHETRUNJI,50.5,28
BHADAR,101.41,28
DAMANGANGA,70.75,28
DANTIWADA,172.24,28
PANAM,122.65,28
SARDAR SAROVAR,118.88,28
KARJAN,103.27,28
SUKHI(GUJ),143.06,28
WATRAK,128.16,28
HATHMATI,175.08,28
MACHCHHU-I,126.71,28
MACHCHHU-II,52.43,28
UND-I,92.8,28
BRAHMANI(GUJ),59.71,28
JAYAKWADI(PAITHAN),456.08,28
KOYANA,634.57,28
BHIMA(UJJANI),487.9,28
ISAPUR,432.91,28
MULA,538.28,28
YELDARI,454.49,28
GIRNA,384.97,28
KHADAKVASLA,580.37,28
UPPER VAITARNA,594.97,28
UPPER TAPI,210.58,28
PENCH(TOTLADOH),483.15,28
UPPER WARDHA,338.39,28
BHATSA,115.5,28
DHOM,733.9,28
DUDHGANGA,628.77,28
MANIKDOH,687.44,28
BHANDARDARA,726.3,28
URMODI,677.2,28
BHATGHAR,606.0,28
NIRA DEOGHAR,641.01,28
THOKARWADI,656.42,28
KANHER,679.29,28
MULSHI,593.95,28
SURYA,103.5,28
TILLARI,103.38,28
DIMBHE DAM,692.04,28
VEER DAM,571.13,28
BARVI DAM,60.74,28
CHASKAMAN,633.64,28
PANSHET(TANAJISAGAR),618.94,28
BHAMA ASKHED,654.56,28
DARNA DAM,565.4,28
MATATILA,304.95,28
RIHAND,255.18,28
SHARDA SAGAR,183.31,28
SIRSI,208.6,28
MAUDAHA,143.7,28
JIRGO,88.35,28
RANGAWAN,219.76,28
MEJA,165.9,28
RAMGANGA,336.62,28
TEHRI,786.21,28
NANAK SAGAR,209.7,28
GANDHI SAGAR,394.35,28
TAWA,341.84,28
BARGI,411.61,28
BANSAGAR,332.3,28
INDIRA SAGAR,247.9,28
BARNA DAM,342.98,28
OMKARESHWAR,195.11,28
SANJAY SAROVAR,511.5,28
RAJGHAT DAM,359.1,28
KOLAR DAM,450.91,28
ATAL SAGAR(MADIKHEDA),330.45,28
MINIMATA BANGO,348.61,28
MAHANADI,337.27,28
DUDHAWA,415.62,28
TANDULA,322.42,28
SRISAILAM,248.02,28
NAGARJUNA SAGAR,153.38,28
SOMASILA,83.74,28
YELERU,71.27,28
KANDALERU,61.89,28
DONKARAYI,305.84,28
SRIRAMSAGAR,323.67,28
LOWER MANAIR,270.54,28
NIZAM SAGAR,422.89,28
SINGUR,519.55,28
PRIYADARSHINI JURALA,317.52,28
MUSI PROJECT,194.29,28
KADDAM (K.N.R.),208.21,28
KRISHNARAJA SAGARA,746.25,28
TUNGABHADRA,488.94,28
GHATAPRABHA(HIDKAL),650.22,28
BHADRA,642.52,28
LINGANAMAKKI,540.12,28
NARAYANPUR,489.2,28
MALAPRABHA(RENUKA),626.03,28
KABINI,695.76,28
HEMAVATHY,883.97,28
HARANGI,868.91,28
SUPA,533.62,28
VANI VILAS SAGAR,647.3,28
ALMATTI,517.01,28
GERUSOPPA,47.5,28
MANI DAM,576.6,28
TATTIHALLA,452.02,28
KALLADA(PARAPPAR),103.62,28
IDAMALAYAR,142.29,28
IDUKKI,713.37,28
KAKKI,955.18,28
PERIYAR,862.63,28
MALAMPUZHA,106.5,28
LOWER BHAWANI,269.6,28
METTUR(STANLEY),216.92,28
VAIGAI,273.4,28
PARAMBIKULAM,541.66,28
ALIYAR,310.04,28
SHOLAYAR,987.8,28
SATHANUR,210.84,28
