NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
ALIYAR,320.04,318.29,0.095,0.084,2020-12-17,88,91,74,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,312.24,0.095,0.048,2021-03-25,51,2,29,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,306.16,0.095,0.018,2023-10-26,19.0,98.0,79.0,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,319.58,0.095,0.092,2021-11-25,97.0,91.0,77.0,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,312.59,0.095,0.05,2022-06-09,53.0,43.0,24.0,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,319.39,0.095,0.091,2022-08-18,96.0,89.0,63.0,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,319.67,0.095,0.093,2021-11-18,98.0,89.0,77.0,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,319.29,0.095,0.091,2022-08-25,96.0,97.0,65.0,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,300.29,0.095,0.0,2023-09-06,0.0,97.0,76.0,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,301.42,0.095,0.002,2020-07-23,2,2,45,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,319.23,0.095,0.09,2021-01-20,95,55,48,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,317.08,0.095,0.077,2021-08-05,81,5,48,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,312.09,0.095,0.047,2021-03-18,49,3,28,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,304.47,0.095,0.012,2023-05-04,13.0,32.0,24.0,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,308.14,0.095,0.027,2024-01-04,28.0,88.0,64.0,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,319.9,0.095,0.095,2020-09-24,100,78,72,0,60.0,10.4625785,76.9905585
ALIYAR,320.04,305.64,0.095,0.016,2023-10-19,17.0,98.0,78.0,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,311.11,0.095,0.042,2022-06-23,44.0,41.0,24.0,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,310.5,0.095,0.039,2021-06-16,41,0,25,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,311.08,0.095,0.042,2021-06-02,44,2,27,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,318.03,0.095,0.082,2021-08-12,86,66,59,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,303.54,0.095,0.008,2024-03-14,8.0,9.0,20.0,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,300.4,0.095,0.0,2024-03-28,0.0,1.0,19.0,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,307.48,0.095,0.024,2023-12-21,25.0,99.0,76.0,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,308.78,0.095,0.03,2024-01-11,32.0,82.0,60.0,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,305.3,0.095,0.015,2023-05-11,16.0,34.0,25.0,0.0,60.0,10.4625785,76.9905585
ALIYAR,320.04,306.4,0.095,0.019,2022-03-17,20.0,49.0,25.0,0.0,60.0,10.4625785,76.9905585
