NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
ALMATTI,519.6,518.59,3.105,2.667,2020-12-17,86,91,61,0.0,290.0,16.3450459,75.9012249
ALMATTI,519.6,518.08,3.105,2.301,2023-10-26,74.0,100.0,87.0,0.0,290.0,16.3450459,75.9012249
ALMATTI,519.6,519.34,3.105,2.859,2023-09-06,92.0,100.0,93.0,0.0,290.0,16.3450459,75.9012249
ALMATTI,519.6,517.15,3.105,2.097,2020-07-23,68,93,66,0.0,290.0,16.3450459,75.9012249
ALMATTI,519.6,517.04,3.105,2.058,2021-01-21,66,68,44,0.0,290.0,16.3450459,75.9012249
ALMATTI,519.6,509.11,3.105,0.385,2023-05-03,12.0,27.0,12.0,0.0,290.0,16.3450459,75.9012249
ALMATTI,519.6,514.11,3.105,1.074,2024-01-04,35.0,75.0,57.0,0.0,290.0,16.3450459,75.9012249
ALMATTI,519.6,519.6,3.105,3.105,2020-09-24,100,100,94,0,290.0,16.3450459,75.9012249
ALMATTI,519.6,518.79,3.105,2.605,2023-10-19,84.0,100.0,91.0,0.0,290.0,16.3450459,75.9012249
ALMATTI,519.6,512.29,3.105,0.711,2024-03-14,23.0,29.0,23.0,0.0,290.0,16.3450459,75.9012249
ALMATTI,519.6,511.88,3.105,0.638,2024-03-28,21.0,20.0,18.0,0.0,290.0,16.3450459,75.9012249
ALMATTI,519.6,514.37,3.105,1.133,2023-12-21,36.0,79.0,65.0,0.0,290.0,16.3450459,75.9012249
ALMATTI,519.6,514.01,3.105,1.052,2024-01-11,34.0,68.0,54.0,0.0,290.0,16.3450459,75.9012249
ALMATTI,519.6,519.6,3.105,3.105,2019-11-21,100,50,72,0.0,290.0,16.3450459,75.9012249
ALMATTI,519.6,510.54,3.105,0.425,2024-04-25,14.0,14.0,13.0,0.0,290.0,16.3450459,75.9012249
ALMATTI,519.6,517.34,3.105,2.167,2020-07-30,70,95,82,0.0,290.0,16.3450459,75.9012249
