NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
ATAL SAGAR(MADIKHEDA),346.25,338.05,0.835,0.419,2023-10-19,50.0,100.0,83.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,338.45,0.835,0.436,2022-06-09,52.0,12.0,22.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,344.65,0.835,0.727,2022-08-18,87.0,89.0,74.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,345.2,0.835,0.762,2022-08-25,91.0,91.0,82.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,339.4,0.835,0.476,2023-09-06,57.0,99.0,88.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,335.4,0.835,0.32,2023-05-04,38.0,13.0,22.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,332.9,0.835,0.24,2024-01-04,29.0,73.0,53.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,338.05,0.835,0.419,2023-10-19,50.0,100.0,83.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,336.5,0.835,0.36,2022-06-23,43.0,12.0,22.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,330.75,0.835,0.181,2024-03-14,22.0,40.0,29.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,330.15,0.835,0.166,2024-03-28,20.0,39.0,25.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,333.2,0.835,0.249,2023-12-21,30.0,78.0,62.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,332.75,0.835,0.235,2024-01-11,28.0,70.0,56.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,335.35,0.835,0.318,2023-05-11,38.0,12.0,21.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,329.85,0.835,0.159,2024-04-25,19.0,39.0,23.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,346.05,0.835,0.821,2022-11-17,98.0,99.0,73.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,339.15,0.835,0.465,2023-09-29,56.0,99.0,89.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,339.4,0.835,0.476,2023-09-06,57.0,99.0,88.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,330.05,0.835,0.163,2024-04-18,20.0,39.0,23.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,339.95,0.835,0.499,2023-02-09,60.0,35.0,39.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,338.75,0.835,0.448,2023-02-23,54.0,35.0,35.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,330.95,0.835,0.186,2024-03-07,22.0,45.0,31.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,336.55,0.835,0.362,2023-07-13,43.0,45.0,33.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,336.45,0.835,0.358,2022-06-30,43.0,12.0,23.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,335.85,0.835,0.336,2023-07-06,40.0,45.0,27.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,339.45,0.835,0.478,2023-08-24,57.0,91.0,81.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,343.25,0.835,0.652,2022-12-22,78.0,99.0,61.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,335.15,0.835,0.311,2023-06-08,37.0,52.0,24.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,339.6,0.835,0.484,2023-08-31,58.0,91.0,84.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,332.45,0.835,0.226,2024-02-08,27.0,60.0,41.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,332.05,0.835,0.214,2024-02-22,26.0,54.0,36.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,335.1,0.835,0.309,2023-06-22,37.0,43.0,23.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,335.45,0.835,0.322,2023-04-27,39.0,13.0,23.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,344.7,0.835,0.73,2022-12-08,87.0,99.0,66.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,340.5,0.835,0.523,2022-07-27,63.0,17.0,43.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,336.95,0.835,0.377,2022-07-14,45.0,11.0,33.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,329.65,0.835,0.154,2024-05-16,18.0,38.0,21.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,329.8,0.835,0.157,2024-05-02,19.0,38.0,22.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,346.25,0.835,0.835,2022-10-20,100.0,99.0,84.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,346.25,0.835,0.835,2022-09-15,100.0,99.0,88.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,341.9,0.835,0.587,2023-01-11,70.0,99.0,55.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,345.55,0.835,0.786,2022-09-01,94.0,96.0,85.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,346.1,0.835,0.824,2022-09-29,99.0,99.0,88.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,335.85,0.835,0.336,2023-03-16,40.0,35.0,29.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,337.85,0.835,0.411,2023-03-02,49.0,35.0,32.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,336.75,0.835,0.37,2023-11-02,44.0,100.0,78.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,335.8,0.835,0.334,2023-11-16,40.0,98.0,73.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,342.3,0.835,0.606,2023-01-05,73.0,99.0,56.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,337.0,0.835,0.379,2022-07-07,45.0,12.0,27.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,335.7,0.835,0.331,2023-06-30,40.0,43.0,24.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,335.5,0.835,0.323,2023-04-20,39.0,13.0,23.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,329.75,0.835,0.156,2024-05-09,19.0,38.0,22.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,346.05,0.835,0.821,2022-10-13,98.0,99.0,86.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,335.1,0.835,0.309,2023-11-30,37.0,97.0,71.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,335.6,0.835,0.327,2023-03-31,39.0,13.0,25.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,339.5,0.835,0.48,2023-08-10,57.0,65.0,63.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,335.1,0.835,0.309,2023-06-15,37.0,48.0,24.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,335.2,0.835,0.313,2023-06-01,37.0,52.0,25.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,331.3,0.835,0.195,2024-02-29,23.0,49.0,34.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,332.3,0.835,0.222,2024-02-15,27.0,57.0,38.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,332.6,0.835,0.231,2024-02-01,28.0,63.0,44.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,335.55,0.835,0.325,2023-04-06,39.0,13.0,24.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,342.7,0.835,0.625,2022-12-29,75.0,99.0,58.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,345.6,0.835,0.79,2022-12-01,95.0,99.0,69.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,343.8,0.835,0.678,2022-12-15,81.0,99.0,63.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,335.55,0.835,0.325,2023-04-13,39.0,13.0,24.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,336.95,0.835,0.377,2022-07-21,45.0,12.0,37.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,339.1,0.835,0.463,2023-08-03,55.0,64.0,54.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,339.0,0.835,0.458,2023-08-17,55.0,87.0,74.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,346.1,0.835,0.824,2022-09-08,99.0,98.0,87.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,335.65,0.835,0.329,2023-03-23,39.0,35.0,28.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,335.65,0.835,0.329,2023-11-23,39.0,97.0,70.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,329.55,0.835,0.151,2024-05-30,18.0,38.0,21.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,329.6,0.835,0.153,2024-05-24,18.0,38.0,21.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,336.05,0.835,0.343,2023-11-09,41.0,100.0,78.0,98.25,60.0,25.5579443,77.8534397
ATAL SAGAR(MADIKHEDA),346.25,336.85,0.835,0.374,2023-03-09,45.0,35.0,31.0,98.25,60.0,25.5579443,77.8534397
